rcs_m2,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,sensing_allocated_w,communication_allocated_w,rho_mean,rho_std,rho_vector,power_search_seconds,table_builds,accepted_power_moves,predicted_objective_gain
0.2,39,node_power_fixed_set,0.7,0.04,3,50,10,1.0,1920.0,3.2,8.549999999999999,6.449999999999999,0.57,0.3627671429443411,"[0.95, 0.5, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2]",0.0,0,0,0.0
0.2,39,power_joint,0.8,0.04666666666666667,8,47,10,1.0,5120.0,8.533333333333335,8.25,6.749999999999999,0.55,0.3741657386773941,"[0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2]",33.228885999997146,188,9,2.192398503836981
0.2,39,balanced_fixed_power,0.6,0.04,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,41,v1,0.6,0.03333333333333333,8,42,10,0.9523809523809523,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,41,joint_fixed_power,0.6,0.04666666666666667,8,35,10,0.9428571428571428,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,41,uniform_power_joint,0.6,0.05333333333333334,4,43,10,0.9534883720930233,2560.0,4.266666666666667,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,41,node_power_fixed_set,0.8,0.03666666666666667,4,43,10,0.9534883720930233,2560.0,4.266666666666667,6.000000000000001,9.0,0.4000000000000001,0.33166247903553997,"[0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2]",0.0,0,0,0.0
0.2,41,power_joint,0.7,0.03666666666666667,8,46,10,0.9565217391304348,5120.0,8.533333333333335,4.800000000000001,10.200000000000003,0.32000000000000006,0.25806975801127874,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2]",34.87903880001977,188,13,2.961412781745646
0.2,41,balanced_fixed_power,0.6,0.043333333333333335,8,60,10,0.9666666666666667,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,45,v1,0.5,0.07666666666666666,8,35,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,45,joint_fixed_power,0.5,0.07666666666666666,8,35,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,45,uniform_power_joint,0.5,0.07666666666666666,8,35,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,45,node_power_fixed_set,0.7,0.07333333333333333,8,35,10,1.0,5120.0,8.533333333333335,5.700000000000001,9.3,0.38000000000000006,0.3009983388658482,"[0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2]",0.0,0,0,0.0
0.2,45,power_joint,0.6,0.07333333333333333,8,35,10,1.0,5120.0,8.533333333333335,5.850000000000001,9.150000000000002,0.39000000000000007,0.3168595903550972,"[0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2]",26.266374800004996,188,14,1.6098922314381827
0.2,45,balanced_fixed_power,0.5,0.05333333333333334,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,46,v1,0.9,0.04666666666666667,6,31,10,1.0,3840.0,6.400000000000001,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,46,joint_fixed_power,0.9,0.04666666666666667,2,31,10,1.0,1280.0,2.1333333333333333,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,46,uniform_power_joint,0.9,0.04666666666666667,2,30,10,1.0,1280.0,2.1333333333333333,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,46,node_power_fixed_set,0.9,0.05,2,30,10,1.0,1280.0,2.1333333333333333,9.6,5.3999999999999995,0.64,0.344093010681705,"[0.2, 0.95, 0.95, 0.5, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.5, 0.95, 0.95]",0.0,0,0,0.0
0.2,46,power_joint,0.8,0.05333333333333334,5,27,10,1.0,3200.0,5.333333333333334,8.25,6.749999999999999,0.55,0.3741657386773941,"[0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.95]",27.46469499997329,188,10,1.3140867962257459
0.2,46,balanced_fixed_power,1.0,0.043333333333333335,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,48,v1,0.5,0.06333333333333334,8,30,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,48,joint_fixed_power,0.5,0.07666666666666666,7,31,10,1.0,4480.0,7.466666666666669,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,48,uniform_power_joint,0.6,0.07666666666666666,0,29,10,1.0,0.0,0.0,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,48,node_power_fixed_set,0.7,0.07666666666666666,0,29,10,1.0,0.0,0.0,7.95,7.049999999999999,0.53,0.3203123475609393,"[0.5, 0.2, 0.95, 0.95, 0.2, 0.5, 0.2, 0.5, 0.2, 0.95, 0.95, 0.5, 0.2, 0.2, 0.95]",0.0,0,0,0.0
0.2,48,power_joint,0.6,0.03666666666666667,7,27,10,0.9259259259259259,4480.0,7.466666666666669,6.000000000000001,9.000000000000002,0.4000000000000001,0.3316624790355399,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95]",25.591713499976322,188,15,2.26653156694098
0.2,48,balanced_fixed_power,0.5,0.03333333333333333,8,60,10,0.9833333333333333,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,50,v1,0.7,0.04666666666666667,8,35,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,50,joint_fixed_power,0.7,0.05333333333333334,8,31,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,50,uniform_power_joint,0.7,0.05333333333333334,8,31,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,50,node_power_fixed_set,0.6,0.06,8,31,10,1.0,5120.0,8.533333333333335,6.750000000000001,8.25,0.45000000000000007,0.3535533905932738,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2]",0.0,0,0,0.0
0.2,50,power_joint,0.9,0.056666666666666664,8,31,10,1.0,5120.0,8.533333333333335,5.8500000000000005,9.150000000000002,0.39,0.3168595903550972,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.95, 0.2]",23.774244499974884,188,17,2.84144723188135
0.2,50,balanced_fixed_power,0.9,0.05,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,47,v1,0.5,0.04,8,30,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,47,joint_fixed_power,0.6,0.05,5,33,10,1.0,3200.0,5.333333333333334,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
