rcs_m2,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,sensing_allocated_w,communication_allocated_w,rho_mean,rho_std
0.05,v1,0.441,0.05006666666666666,7.6,43.52,10.0,0.9839384640329757,4864.0,8.106666666666666,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.05,joint_fixed_power,0.45199999999999996,0.05003333333333333,7.14,42.69,10.0,0.9829514625208884,4569.6,7.616000000000001,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.05,uniform_power_joint,0.46799999999999997,0.0498,5.74,45.01,10.0,0.9828349730624566,3673.6,6.122666666666667,12.7875,2.2125,0.8525,2.609024107869118e-16
0.05,node_power_fixed_set,0.524,0.049633333333333335,5.74,45.01,10.0,0.9828349730624566,3673.6,6.122666666666667,7.673999999999999,7.326000000000001,0.5116,0.34018117019221555
0.05,power_joint,0.562,0.04920000000000001,7.83,45.14,10.0,0.9837436603596907,5011.2,8.351999999999999,6.7935,8.2065,0.45290000000000014,0.34204903551408905
0.05,balanced_fixed_power,0.5130000000000001,0.048966666666666665,8.0,60.0,10.0,0.9854999999999999,5120.0,8.533333333333331,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.1,v1,0.583,0.049333333333333326,7.33,39.56,10.0,0.983508793397045,4691.2,7.818666666666667,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.1,joint_fixed_power,0.5890000000000001,0.05029999999999999,6.96,38.89,10.0,0.9837982237115463,4454.4,7.424000000000001,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.1,uniform_power_joint,0.5870000000000001,0.049833333333333334,5.64,39.69,10.0,0.9842675474509943,3609.6,6.016,12.8325,2.1675,0.8554999999999998,2.631228568361621e-16
0.1,node_power_fixed_set,0.602,0.049666666666666665,5.64,39.69,10.0,0.9842675474509943,3609.6,6.016,7.237499999999999,7.762500000000002,0.48250000000000015,0.3359457175242205
0.1,power_joint,0.6630000000000001,0.0502,7.69,38.91,10.0,0.984086153454663,4921.6,8.202666666666666,6.5325000000000015,8.4675,0.4355000000000001,0.3333747746254322
0.1,balanced_fixed_power,0.652,0.048966666666666665,8.0,60.0,10.0,0.9854999999999999,5120.0,8.533333333333331,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.2,v1,0.689,0.05033333333333332,6.95,33.93,10.0,0.9830879086079581,4448.0,7.413333333333332,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.2,joint_fixed_power,0.7,0.0504,6.46,33.18,10.0,0.9832961069341043,4134.4,6.890666666666667,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
0.2,uniform_power_joint,0.6970000000000002,0.05076666666666666,5.11,33.72,10.0,0.9848275511479185,3270.4,5.4506666666666685,12.585,2.415,0.8390000000000001,2.5091040356528535e-16
0.2,node_power_fixed_set,0.715,0.050100000000000006,5.11,33.72,10.0,0.9848275511479185,3270.4,5.4506666666666685,7.0785,7.921500000000001,0.47190000000000004,0.32340730924875677
0.2,power_joint,0.7660000000000001,0.04946666666666667,7.04,32.68,10.0,0.9841327582812137,4505.6,7.509333333333333,6.446999999999999,8.553,0.4298,0.32095891166927026
0.2,balanced_fixed_power,0.7730000000000002,0.048966666666666665,8.0,60.0,10.0,0.9854999999999999,5120.0,8.533333333333331,12.000000000000002,3.0,0.8000000000000004,2.220446049250313e-16
