method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f,0.864,0.8482769918445334,0.8783273465422932,0.01502517734887987,0.0489091831557585,0.04719986302849881,0.05067711305485445,0.0017386250131778205,0.0482,0.04651487036683798,0.04994298042516863,0.001714055029165322,10012.8,3849.5334990099777,16.688000000000006,6.415889165016631,15.645,6.01489609220309,0.9890000000000001,1.0,603.885,0.5290964551576377,3.87574226304725,3.3334893712505402,3.4030154405442055,0.9843990085144025,0.9266320827301471,0.9565009599304084,2.513211349775388,1.0,1.0,45818.1894871416,147.8579604929219,1.7288195307533634,3069.744860873689,603.885,209.265,0.9971974364753993,0.64,1448.4318894763107,0.85,0.8640000000000001,0.835,0.895,,,,proposed_c2f_adaptive_pd,0.007000000000000002,-0.0006745096581125152,0.014674509658112518,0.08628954937679771,0.0517737296260786,4575.961717715485,2745.5770306292898
proposed_c2f_adaptive_pd,0.871,0.8555948290650491,0.8849826696753703,0.01469392030516059,0.04869215291750503,0.046993694434882084,0.05044874797144342,0.0017275267682806683,0.0484,0.04671148675614253,0.05014633842683707,0.0017174258353472721,10012.8,3849.5334990099777,16.688000000000006,6.415889165016631,15.645,6.01489609220309,0.9990000000000001,1.0,603.885,0.5290964551576377,3.9133915653296043,3.3761477683900294,3.4465095921829687,0.9940351196492494,0.9747988063284773,0.9837147066663863,2.6880665696181723,1.0,1.0,3122720.2793305153,384.96688228985477,1.5639517607370745,48764.861268024186,603.885,124.58,0.9956962130611324,0.635,36087.47010238613,0.85,0.8710000000000001,0.835,0.905,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,0.08698865452221158,0.052193192713326925,311872.8307097431,187123.69842584577
