trial,arm,p_d,p_fa,links,overhead_bits,overhead_delay_s,weak_detected,d_fuse_median,pd_per_mbit,kappa_median_db
0,baseline,0.7,0.04666666666666667,25,5760.0,0.009600000000000003,0,26.982208047511588,121.52777777777776,47.77985507597264
0,robust,0.8,0.07,60,8960.0,0.014933333333333338,0,179.78687245833981,89.28571428571429,47.77985507597264
0,links12,0.7,0.043333333333333335,43,9600.0,0.016000000000000004,0,32.24394028806357,72.91666666666667,47.77985507597264
0,robust_links12,0.8,0.05333333333333334,60,8320.0,0.013866666666666671,0,149.97403353441538,96.15384615384617,47.77985507597264
1,baseline,0.8,0.04,32,12160.0,0.020266666666666672,1,11.569307256741858,65.78947368421052,49.30874107451611
1,robust,0.9,0.04666666666666667,60,27520.0,0.04586666666666668,0,38.85348796945356,32.70348837209303,49.30874107451611
1,links12,0.9,0.04666666666666667,47,16000.0,0.026666666666666675,1,11.99618047801373,56.25,49.30874107451611
1,robust_links12,0.9,0.04,60,28160.0,0.04693333333333335,0,47.800036672356825,31.960227272727273,49.30874107451611
2,baseline,0.6,0.09,13,4480.0,0.007466666666666668,0,6.858793990459393,133.92857142857144,50.11575122235628
2,robust,0.9,0.04,54,30720.0,0.051200000000000016,1,108.9116125349336,29.296875,50.11575122235628
2,links12,0.6,0.09,13,4480.0,0.007466666666666668,0,6.858793990459393,133.92857142857144,50.11575122235628
2,robust_links12,0.8,0.040740740740740744,60,37120.0,0.06186666666666669,1,39.51869271454888,21.551724137931036,50.11575122235628
3,baseline,0.6,0.037037037037037035,25,4480.0,0.007466666666666668,1,9.031954048827174,133.92857142857144,48.70851091598719
3,robust,1.0,0.04666666666666667,55,17280.0,0.02880000000000001,1,52.91686486719958,57.87037037037037,48.70851091598719
3,links12,0.5,0.040740740740740744,43,10880.0,0.018133333333333338,1,9.912607127586938,45.955882352941174,48.70851091598719
3,robust_links12,1.0,0.07333333333333333,60,17920.0,0.029866666666666677,1,59.55469205382184,55.80357142857143,48.70851091598719
4,baseline,0.6,0.016666666666666666,30,16000.0,0.026666666666666675,0,13.336776811846,37.5,48.729973432498824
4,robust,0.9,0.043333333333333335,60,29440.0,0.04906666666666668,1,127.38387546640888,30.570652173913043,48.729973432498824
4,links12,0.6,0.016666666666666666,48,25600.0,0.04266666666666668,0,13.336776811846,23.437499999999996,48.729973432498824
4,robust_links12,0.8,0.04,60,34560.0,0.05760000000000002,0,82.42229663958862,23.14814814814815,48.729973432498824
5,baseline,0.9,0.04666666666666667,40,16000.0,0.026666666666666675,1,24.130051039707567,56.25,50.27114765896032
5,robust,1.0,0.04,55,17280.0,0.02880000000000001,1,52.842704157414,57.87037037037037,50.27114765896032
5,links12,0.9,0.04,60,23040.0,0.03840000000000001,1,24.827798299033542,39.0625,50.27114765896032
5,robust_links12,1.0,0.03333333333333333,60,20480.0,0.03413333333333334,1,65.39425512759202,48.82812499999999,50.27114765896032
6,baseline,0.7,0.05,34,16000.0,0.026666666666666675,1,15.680878005524555,43.74999999999999,50.29866601386249
6,robust,0.7,0.043333333333333335,57,29440.0,0.04906666666666668,1,53.06223415036545,23.777173913043477,50.29866601386249
6,links12,0.7,0.06,53,28160.0,0.04693333333333335,1,15.680878005524555,24.857954545454543,50.29866601386249
6,robust_links12,0.7,0.06333333333333334,60,31360.0,0.052266666666666683,1,46.10066424975301,22.32142857142857,50.29866601386249
7,baseline,0.7,0.05,23,8960.0,0.014933333333333338,0,23.637862642625496,78.125,47.801701902915866
7,robust,0.9,0.04666666666666667,52,22400.0,0.03733333333333334,0,627.8793606470771,40.17857142857143,47.801701902915866
7,links12,0.7,0.043333333333333335,35,16000.0,0.026666666666666675,0,23.637862642625496,43.74999999999999,47.801701902915866
7,robust_links12,0.9,0.05,60,28160.0,0.04693333333333335,0,1095.118917967477,31.960227272727273,47.801701902915866
8,baseline,0.5,0.04666666666666667,35,18560.0,0.030933333333333344,0,5.4646247809656145,26.939655172413794,49.97963266541626
8,robust,0.5,0.05925925925925926,54,18560.0,0.030933333333333344,0,16.47073510392426,26.939655172413794,49.97963266541626
8,links12,0.5,0.04666666666666667,60,31360.0,0.052266666666666683,0,6.3111630764591204,15.943877551020408,49.97963266541626
8,robust_links12,0.6,0.05925925925925926,60,22400.0,0.03733333333333334,0,16.323381086477212,26.785714285714285,49.97963266541626
9,baseline,0.8,0.043333333333333335,34,11520.0,0.019200000000000005,1,10.006468417669549,69.44444444444444,48.24814964879835
9,robust,0.9,0.07,58,26240.0,0.043733333333333346,1,20.911623136840355,34.298780487804876,48.24814964879835
9,links12,0.8,0.03666666666666667,48,18560.0,0.030933333333333344,1,10.006468417669549,43.10344827586207,48.24814964879835
9,robust_links12,0.9,0.05,60,28160.0,0.04693333333333335,1,17.554330375450075,31.960227272727273,48.24814964879835
10,baseline,0.6,0.03333333333333333,21,7680.0,0.012800000000000004,1,5.053852688575711,78.125,50.56114462057395
10,robust,0.9,0.056666666666666664,58,34560.0,0.05760000000000002,1,122.95097081391029,26.041666666666668,50.56114462057395
10,links12,0.6,0.03,27,10880.0,0.018133333333333338,1,5.053852688575711,55.147058823529406,50.56114462057395
10,robust_links12,0.8,0.07,60,36480.0,0.06080000000000002,1,121.36641588575726,21.92982456140351,50.56114462057395
11,baseline,0.5,0.07,59,11520.0,0.019200000000000005,0,1.612367960845643,43.40277777777778,49.84575506256816
11,robust,0.5,0.08666666666666667,60,5120.0,0.008533333333333335,0,1.4322031008864042,97.65624999999999,49.84575506256816
11,links12,0.5,0.07333333333333333,60,12800.0,0.02133333333333334,0,1.8088268313573832,39.0625,49.84575506256816
11,robust_links12,0.5,0.07666666666666666,60,5120.0,0.008533333333333335,0,1.6204863480607963,97.65624999999999,49.84575506256816
