trial,arm,n_nuisance_targets,rho_weighted,rho_min,ncp_unit,distance_bins
0,no_ic,0,1.0,1.0,2.441224024050174,0.0
0,no_ic,1,0.38127840780527394,0.05801336821283029,0.9307860089858341,1.6676370210144125
0,no_ic,2,0.19441461493052217,0.00823452605742,0.47460962859485434,2.0048891735050556
0,no_ic,3,0.11919899654749622,5.255292559795783e-05,0.2909914540144215,2.576089956507908
0,no_ic,5,0.08408753813784556,2.873519885753461e-07,0.2052765182253438,3.5920166062692833
0,no_ic,9,0.05222013658044144,9.101803800759093e-09,0.12748105195935494,7.449553019970395
0,plain_ls,0,1.0,1.0,2.441126395148947,0.0
0,plain_ls,1,0.3812403345441846,0.05800421008910368,0.9306558435512239,1.6676370210144125
0,plain_ls,2,0.19436969842514512,0.008231157043054192,0.4744810012427625,2.0048891735050556
0,plain_ls,3,0.11917928517535788,5.2437328261945945e-05,0.29093169879654973,2.576089956507908
0,plain_ls,5,0.0830095566520545,2.497760982148879e-07,0.20263681979294212,3.5920166062692833
0,plain_ls,9,0.0448849888693732,6.324860296461005e-09,0.1095699310749936,7.449553019970395
0,tp_uic_full,0,1.0,1.0,2.4435976937659314,0.0
0,tp_uic_full,1,0.38215608494953934,0.05819156056370933,0.9338357278413116,1.6676370210144125
0,tp_uic_full,2,0.1953959565898401,0.00824066464808283,0.4774691088941213,2.0048891735050556
0,tp_uic_full,3,0.11934105270656888,5.354059678931124e-05,0.29162152116537016,2.576089956507908
0,tp_uic_full,5,0.08218432277519412,2.4145624043096206e-07,0.20082542159717925,3.5920166062692833
0,tp_uic_full,9,0.05029204645275332,8.43978213775624e-09,0.1228935287267171,7.449553019970395
0,perfect_channel,0,1.0,1.0,2.4429265908102664,0.0
0,perfect_channel,1,0.3820598666145753,0.05856209080045596,0.9333442074341696,1.6676370210144125
0,perfect_channel,2,0.1954673513629853,0.008292756795985082,0.4775123902798901,2.0048891735050556
0,perfect_channel,3,0.12049691596112744,5.660929892296101e-05,0.2943651201120682,2.576089956507908
0,perfect_channel,5,0.08746132458751749,4.5172880784020003e-07,0.2136615955023342,3.5920166062692833
0,perfect_channel,9,0.054152727104372134,1.0868630056659725e-08,0.13229113700816253,7.449553019970395
1,no_ic,0,1.0,1.0,8.107369364151742,0.0
1,no_ic,1,0.39785479377609717,0.010187218838604904,3.2255557664412393,1.0345528817284964
1,no_ic,2,0.18733321641060197,0.000646497780816679,1.5187795796153227,1.7632485686312263
1,no_ic,3,0.04621011255698538,2.117212071790954e-05,0.374642450858507,2.278759306860737
1,no_ic,5,0.04392797652920658,1.6498360789629482e-05,0.3561403311420662,7.173910178113224
1,no_ic,9,0.03247153463031106,5.006239902455284e-06,0.26325872506877623,8.256778102897552
1,plain_ls,0,1.0,1.0,8.107114277678809,0.0
1,plain_ls,1,0.39784996597630107,0.010185626752803711,3.2254151395404986,1.0345528817284964
1,plain_ls,2,0.18730066706606974,0.0006458808102121676,1.518467912190099,1.7632485686312263
1,plain_ls,3,0.04619922461510905,2.11149394241536e-05,0.37454239349484086,2.278759306860737
1,plain_ls,5,0.043880200389627796,1.6344177743534963e-05,0.35574179908615877,7.173910178113224
1,plain_ls,9,0.032373277919483426,4.901022208804392e-06,0.26245386363630824,8.256778102897552
1,tp_uic_full,0,1.0,1.0,8.142965351603733,0.0
1,tp_uic_full,1,0.3987435726666437,0.01032913214135216,3.246955096399165,1.0345528817284964
1,tp_uic_full,2,0.18611804106207025,0.000681615690470905,1.5155527596767988,1.7632485686312263
1,tp_uic_full,3,0.04529814448785255,2.181512056045669e-05,0.3688612210565229,2.278759306860737
1,tp_uic_full,5,0.0428450190772362,1.6223234158227578e-05,0.3488855058347353,7.173910178113224
1,tp_uic_full,9,0.031550835255120306,4.595923322916439e-06,0.25691735829660217,8.256778102897552
1,perfect_channel,0,1.0,1.0,8.171141034005865,0.0
1,perfect_channel,1,0.3992018812968976,0.010549088487137639,3.2619348731174185,1.0345528817284964
1,perfect_channel,2,0.1901481745116351,0.0007240352925604068,1.5537275512933297,1.7632485686312263
1,perfect_channel,3,0.04775894100040222,2.7763792605882042e-05,0.3902450425490517,2.278759306860737
1,perfect_channel,5,0.04541797864944633,2.2552262832220008e-05,0.37111670902409316,7.173910178113224
1,perfect_channel,9,0.03411487210127712,7.105314405259251e-06,0.2787574312966074,8.256778102897552
2,no_ic,0,1.0,1.0,2.9174822552073705,0.0
2,no_ic,1,0.19390572839563255,0.019577495827660798,0.5657165217773179,0.39414686226077955
2,no_ic,2,0.13784555580295973,0.00010656585789691709,0.40216196301433244,2.240112819225521
2,no_ic,3,0.06546114516996854,7.390904177334294e-05,0.19098172943893688,2.250034332168452
2,no_ic,5,0.03475395423263488,2.777602428273657e-07,0.10139404477200134,3.5609805597430717
2,no_ic,9,0.016869765523709522,1.3400942266710302e-08,0.0492172415649316,5.907327565495724
2,plain_ls,0,1.0,1.0,2.917381320553989,0.0
2,plain_ls,1,0.19389424888629797,0.01957695673934042,0.5656634598637318,0.39414686226077955
2,plain_ls,2,0.13781739044529245,0.00010655942981435951,0.40206588053259196,2.240112819225521
2,plain_ls,3,0.06540653579701308,7.38786613085476e-05,0.1908158057763518,2.250034332168452
2,plain_ls,5,0.03446894916174485,2.687249253520887e-07,0.1005590684235995,3.5609805597430717
2,plain_ls,9,0.015725144304570487,7.90533367360993e-09,0.04587624225716988,5.907327565495724
2,tp_uic_full,0,1.0,1.0,2.940117239812025,0.0
2,tp_uic_full,1,0.19578671720381588,0.01953095000507274,0.5756359025771407,0.39414686226077955
2,tp_uic_full,2,0.13825829570204246,0.0001070288089201957,0.4064955987406038,2.240112819225521
2,tp_uic_full,3,0.06509173123294876,7.2605182734152e-05,0.1913773211672035,2.250034332168452
2,tp_uic_full,5,0.033767438877830756,2.672352905765739e-07,0.09928022918900903,3.5609805597430717
2,tp_uic_full,9,0.01622180113478994,9.605889310636343e-09,0.047693997177198175,5.907327565495724
2,perfect_channel,0,1.0,1.0,2.944064930028543,0.0
2,perfect_channel,1,0.19800416360503953,0.01974832841489111,0.5829371140692309,0.39414686226077955
2,perfect_channel,2,0.14152438076887583,0.00010727912795974729,0.4166569661656533,2.240112819225521
2,perfect_channel,3,0.06808493466407498,7.549903234050994e-05,0.20044646840778782,2.250034332168452
2,perfect_channel,5,0.03677243347618161,3.325827231079227e-07,0.10826043178903386,3.5609805597430717
2,perfect_channel,9,0.01816446426974154,1.6220001823301787e-08,0.0534773622293026,5.907327565495724
3,no_ic,0,1.0,1.0,6.418942264733076,0.0
3,no_ic,1,0.7073855992213482,0.0004888859035076529,4.540667320305445,1.2706635078387145
3,no_ic,2,0.545860702908148,0.00032883472571215895,3.5038483365540163,2.657499365964109
3,no_ic,3,0.2701533283066571,0.00024839409805783337,1.7340986170259116,2.662892869476556
3,no_ic,5,0.050737066424433847,8.333770363909417e-09,0.3256783000603679,2.8107546067090294
3,no_ic,9,0.0050186790167788395,1.826069302607999e-12,0.03221461085393073,5.491195501897152
3,plain_ls,0,1.0,1.0,6.418086423873971,0.0
3,plain_ls,1,0.7073077145474762,0.0004887971456142188,4.539562040238483,1.2706635078387145
3,plain_ls,2,0.5397016713626182,0.0003231944428982323,3.463851969914511,2.657499365964109
3,plain_ls,3,0.26099925077644875,0.00023076654501408744,1.6751157480496037,2.662892869476556
3,plain_ls,5,0.039077797308733765,2.5755664338834976e-09,0.250804680382083,2.8107546067090294
3,plain_ls,9,0.0035322389864099976,2.9444234999436786e-13,0.022670215084556362,5.491195501897152
3,tp_uic_full,0,1.0,1.0,6.472894856540506,0.0
3,tp_uic_full,1,0.7089878252591056,0.0004957542257617016,4.589203647469504,1.2706635078387145
3,tp_uic_full,2,0.544629861595604,0.000341908261684185,3.5253318298405527,2.657499365964109
3,tp_uic_full,3,0.2660706923324895,0.0002362615302047715,1.7222476158751425,2.662892869476556
3,tp_uic_full,5,0.046645773359702526,6.418763901515221e-09,0.30193318645937267,2.8107546067090294
3,tp_uic_full,9,0.004497899273419186,1.4013589855919601e-12,0.02911442907215233,5.491195501897152
3,perfect_channel,0,1.0,1.0,6.5334855040920194,0.0
3,perfect_channel,1,0.7118151439249787,0.0004949740748128366,4.650633924427023,1.2706635078387145
3,perfect_channel,2,0.5976961676213857,0.00035904955519635613,3.9050392470056767,2.657499365964109
3,perfect_channel,3,0.2889585812363739,0.0002874182989910971,1.887906701790845,2.662892869476556
3,perfect_channel,5,0.05346903444350473,1.0660127122558094e-08,0.34933916145443505,2.8107546067090294
3,perfect_channel,9,0.005195460188454532,2.0637429545304714e-12,0.03394446382835488,5.491195501897152
4,no_ic,0,1.0,1.0,7.4384815569355816,0.0
4,no_ic,1,0.3238490580796287,0.00325345358494783,2.408945245756278,0.519840517269917
4,no_ic,2,0.09381804142113913,0.0014359984262203305,0.6978637708189619,1.868931839582306
4,no_ic,3,0.03574223317332616,0.000126264804565529,0.26586794226347776,3.0122794819357037
4,no_ic,5,0.003943297110884689,3.6093473366970235e-06,0.02933214283283312,3.0575250379222214
4,no_ic,9,0.0001240980069461259,1.7082948634196477e-07,0.000923100735921221,8.42874126338563
4,plain_ls,0,1.0,1.0,7.424787418031707,0.0
4,plain_ls,1,0.32115671678845814,0.003253593893691559,2.384520350027316,0.519840517269917
4,plain_ls,2,0.08333452629126112,0.0012639378116425018,0.6187411422949881,1.868931839582306
4,plain_ls,3,0.0320034137406888,0.00011173364405900496,0.23761854367592927,3.0122794819357037
4,plain_ls,5,0.002632144563525688,1.706964535252199e-06,0.019543113837706086,3.0575250379222214
4,plain_ls,9,7.355825587162792e-05,8.873731037216674e-08,0.00054615441268802,8.42874126338563
4,tp_uic_full,0,1.0,1.0,7.673732352400611,0.0
4,tp_uic_full,1,0.33237138486156886,0.003292478295802038,2.5505290490244157,0.519840517269917
4,tp_uic_full,2,0.09721260544889929,0.0014103189123417426,0.7459835154943744,1.868931839582306
4,tp_uic_full,3,0.03307346916680193,0.00011209662068014654,0.25379695035141203,3.0122794819357037
4,tp_uic_full,5,0.003305174509046724,3.2878266586378167e-06,0.025363024560401654,3.0575250379222214
4,tp_uic_full,9,0.00010881255608422553,1.3860091182388296e-07,0.0008349984319709274,8.42874126338563
4,perfect_channel,0,1.0,1.0,8.464047126803928,0.0
4,perfect_channel,1,0.4003877219447777,0.0033886188929977052,3.3889005475342655,0.519840517269917
