trial,arm,kappa_db_median,kappa_db_min,kappa_db_max,residual_fraction_median,rinr_median_db,p_d,p_fa,n_selected,measure_seconds
0,constant,40.0,40.0,40.0,0.0001,9.234481626031064,0.5,0.02666666666666667,34,10.145090103149414
0,measured,37.67965486558364,30.96458913681914,48.01584455970919,0.0001706217976990504,12.025249171631478,0.4,0.06,36,10.145090103149414
1,constant,40.0,40.0,40.0,0.0001,8.529471718629608,0.5,0.05,34,11.349926233291626
1,measured,36.98196760645366,32.89614062828454,39.7298136329138,0.0002003564090708567,12.03592101211153,0.4,0.05333333333333334,45,11.349926233291626
2,constant,40.0,40.0,40.0,0.0001,9.602679125385746,0.6,0.03666666666666667,31,11.07416033744812
2,measured,37.82082176310444,32.03867839862643,42.20476673172585,0.00016516492469794135,11.550295315969347,0.6,0.05333333333333334,35,11.07416033744812
3,constant,40.0,40.0,40.0,0.0001,8.27195698441152,0.6,0.04,25,10.913044691085815
3,measured,37.70411563263358,32.45582492830557,40.49257235069327,0.00016966350581616713,11.003019373362822,0.5,0.05333333333333334,30,10.913044691085815
4,constant,40.0,40.0,40.0,0.0001,8.692447041590034,0.6,0.06333333333333334,29,10.670989990234375
4,measured,38.16167795173169,34.05194701557032,44.97479645014011,0.00015269759777456182,9.83527424608307,0.7,0.04666666666666667,27,10.670989990234375
5,constant,40.0,40.0,40.0,0.0001,7.84439403647624,0.4,0.056666666666666664,37,10.586615324020386
5,measured,35.579453965988364,33.13425034343612,41.438830293211765,0.0002767289552026035,11.294442283818222,0.5,0.03333333333333333,40,10.586615324020386
6,constant,40.0,40.0,40.0,0.0001,9.25490918806953,0.5,0.04666666666666667,37,10.365489959716797
6,measured,39.37156972328377,34.63522233203433,43.61926508027533,0.00011556944500137444,11.016775808669381,0.5,0.07,35,10.365489959716797
7,constant,40.0,40.0,40.0,0.0001,9.316699150573186,0.3,0.056666666666666664,40,10.277153253555298
7,measured,37.29451654715607,31.134951065764813,41.2531157063917,0.0001864439714510026,11.716131413677394,0.5,0.04,53,10.277153253555298
8,constant,40.0,40.0,40.0,0.0001,7.548931588226061,0.5,0.05,34,10.072859048843384
8,measured,36.059859826603045,31.64786098448665,41.274386576577804,0.00024775020204889696,11.473052416255825,0.5,0.05333333333333334,40,10.072859048843384
9,constant,40.0,40.0,40.0,0.0001,7.48809338313264,1.0,0.05333333333333334,24,10.057818174362183
9,measured,34.748532555961866,30.80183480753608,41.97624028618259,0.00033507864024847315,11.703344875022683,0.6,0.07333333333333333,30,10.057818174362183
10,constant,40.0,40.0,40.0,0.0001,10.1654681193264,0.7,0.03666666666666667,38,9.613028287887573
10,measured,38.37043536448353,34.010475257571585,43.87284135365903,0.0001455313183395251,10.82963424432033,0.6,0.023333333333333334,37,9.613028287887573
11,constant,40.0,40.0,40.0,0.0001,7.988564679221808,0.7,0.06,27,9.531615734100342
11,measured,36.7017143440529,29.131801979011765,44.22854903834343,0.00021371183119650824,11.885908481844329,0.5,0.05333333333333334,36,9.531615734100342
12,constant,40.0,40.0,40.0,0.0001,9.578578680069615,0.7,0.05,23,9.37739086151123
12,measured,38.520673987132255,32.80899265596639,42.68120281361209,0.00014058293347566253,11.739802728760369,0.6,0.03,30,9.37739086151123
13,constant,40.0,40.0,40.0,0.0001,9.174205101900032,0.8,0.07333333333333333,26,9.251497030258179
13,measured,37.838262778892684,33.4975763807529,44.48257956459484,0.00016450296198271947,11.179475571281268,0.8,0.06,37,9.251497030258179
14,constant,40.0,40.0,40.0,0.0001,8.361503131846082,0.5,0.056666666666666664,42,8.935165405273438
14,measured,36.83184663245655,32.038185352432144,41.45476590657553,0.00020740314458844012,12.039377532203005,0.4,0.056666666666666664,42,8.935165405273438
15,constant,40.0,40.0,40.0,0.0001,6.5880701250498515,0.8,0.05333333333333334,31,8.69074273109436
15,measured,34.69494424179427,32.48083603742629,41.356829543366274,0.0003392388449336189,11.44874994831643,0.5,0.04666666666666667,44,8.69074273109436
16,constant,40.0,40.0,40.0,0.0001,8.08947676006296,0.6,0.043333333333333335,36,8.808710813522339
16,measured,36.37058493733195,32.4354729586208,39.10914465005177,0.0002306436521249095,12.162967519689614,0.6,0.04,44,8.808710813522339
17,constant,40.0,40.0,40.0,0.0001,7.732211093441538,0.5,0.05,33,8.57400918006897
17,measured,36.21099646773024,31.674330542728022,41.8916601008923,0.0002392766684648252,11.924652506639731,0.5,0.06333333333333334,43,8.57400918006897
18,constant,40.0,40.0,40.0,0.0001,9.734543936575408,0.7,0.05,37,8.544048309326172
18,measured,38.904248969849334,32.47927561234329,46.66779082124439,0.0001286989794325817,10.934192104667162,0.5,0.05333333333333334,38,8.544048309326172
19,constant,40.0,40.0,40.0,0.0001,8.165173714678945,0.4,0.03666666666666667,39,8.444549798965454
19,measured,36.83743605204727,32.89320849061146,44.15226778217827,0.0002071363860696802,10.84527840470496,0.4,0.04,42,8.444549798965454
20,constant,40.0,40.0,40.0,0.0001,8.40532296626754,0.6,0.04,25,8.483264923095703
20,measured,36.61117474172231,29.73247126755442,40.35035083169917,0.00021821395757367558,10.846253078597021,0.6,0.04666666666666667,28,8.483264923095703
21,constant,40.0,40.0,40.0,0.0001,6.987896778302964,0.7,0.07,32,8.546574354171753
21,measured,35.52799577930945,29.942163734360037,40.60199991197231,0.0002800273316454695,11.974092639174422,0.6,0.09666666666666666,40,8.546574354171753
22,constant,40.0,40.0,40.0,0.0001,8.659490575965997,0.7,0.04666666666666667,34,8.455659627914429
22,measured,37.990046607800096,32.299637323451584,41.57953033201346,0.00015885297006556335,11.018887297682854,0.5,0.03333333333333333,41,8.455659627914429
23,constant,40.0,40.0,40.0,0.0001,8.574408754699611,0.9,0.05,19,8.564634561538696
23,measured,37.37893189360931,31.33720100140146,42.71346000635713,0.00018285498754723483,11.218862588382382,0.8,0.04,34,8.564634561538696
