axis,value,arm,n,kappa_db,kappa_pred_db,cal_err_db,eta_protect,eta_survive,noise_enh_db,protect_dim,candidates,echo_to_direct_db,p_fa,p_d_weak
n_cpi,1,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,1,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,1,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,1,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,1,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,1,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,1,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,1,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,2,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,2,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,2,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,2,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,2,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,2,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,2,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,2,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,4,no_ic,12,0.0,0.0,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,4,fixed_kappa,12,39.99999999999999,39.99999999999999,0.0,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,4,plain_ls,12,41.4825751727672,40.903266777020576,1.2551248327233409,0.40960469256787563,0.6619266514982812,-24.937806629933135,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,4,ridge_ls,12,41.487525649152545,40.903266777020576,1.2578585239078865,0.40960469256787563,0.6619268665093676,-24.971420958505888,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
n_cpi,4,protected_ls,12,8.580901335126182,9.128115750980808,0.6092412675635206,0.40960469256787563,0.7181060468066989,-24.269759677440604,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,4,tp_uic_stage1,12,8.58140057128859,9.128115750980808,0.6094939979099604,0.40960469256787563,0.7301580451838303,-25.158755628158517,107.5,0.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,4,tp_uic_full,12,30.188880625616594,9.128115750980808,23.089403599659075,0.40960469256787563,1.1188978359680997,-17.06872289938466,107.5,420.0,-11.865159005065538,0.08333333333333333,0.08333333333333333
n_cpi,4,perfect_channel,12,inf,inf,nan,0.40960469256787563,1.0,-inf,0.0,0.0,-11.865159005065538,0.08333333333333333,0.16666666666666666
