scene,error_radius_m,normalized_error,receiver_count,retention_mean_over_subsets,retention_sd_over_subsets,minimum_uav_separation_m
0,0.0,0.0,1,0.9999999999999999,3.172726562857876e-16,126.85637561938287
0,0.0,0.0,2,0.9999999999999999,2.0066084663096537e-16,126.85637561938287
0,0.0,0.0,3,0.9999999999999998,1.9389211565826715e-16,126.85637561938287
0,0.0,0.0,4,0.9999999999999998,1.2819751242557092e-16,126.85637561938287
0,0.0,0.0,5,0.9999999999999997,1.5032490816276445e-16,126.85637561938287
0,0.0,0.0,6,1.0,0.0,126.85637561938287
0,50.0,0.3333333333333333,1,0.9910649415410652,0.002023027886418584,126.85637561938287
0,50.0,0.3333333333333333,2,0.9908296655824137,0.0012733580141576252,126.85637561938287
0,50.0,0.3333333333333333,3,0.9907501418689201,0.00087310906686489,126.85637561938287
0,50.0,0.3333333333333333,4,0.990711956374442,0.0006028256274765493,126.85637561938287
0,50.0,0.3333333333333333,5,0.9906898258362258,0.00037508773157955515,126.85637561938287
0,50.0,0.3333333333333333,6,0.9906754279892919,0.0,126.85637561938287
0,150.0,1.0,1,0.8742655823594382,0.029669130810381302,126.85637561938287
0,150.0,1.0,2,0.8725588619968311,0.019869117325557906,126.85637561938287
0,150.0,1.0,3,0.8721873754644239,0.014319663333734724,126.85637561938287
0,150.0,1.0,4,0.8720768323261691,0.010250527561473098,126.85637561938287
0,150.0,1.0,5,0.8720402441633613,0.006545516323363263,126.85637561938287
0,150.0,1.0,6,0.8720290867910573,0.0,126.85637561938287
0,250.0,1.6666666666666667,1,0.5840581945863981,0.11775978905965415,126.85637561938287
0,250.0,1.6666666666666667,2,0.5715583752185281,0.06811021069297264,126.85637561938287
0,250.0,1.6666666666666667,3,0.5671814872647396,0.04583413188892758,126.85637561938287
0,250.0,1.6666666666666667,4,0.5650231901332912,0.0314687772418678,126.85637561938287
0,250.0,1.6666666666666667,5,0.5637496456681803,0.01953399158239415,126.85637561938287
0,250.0,1.6666666666666667,6,0.5629111245195776,0.0,126.85637561938287
0,400.0,2.6666666666666665,1,0.22292106068640613,0.1116448044665983,126.85637561938287
0,400.0,2.6666666666666665,2,0.21428215855308502,0.06605731015814888,126.85637561938287
0,400.0,2.6666666666666665,3,0.21141401196732018,0.0450827118665127,126.85637561938287
0,400.0,2.6666666666666665,4,0.21004779423648304,0.031182655106789085,126.85637561938287
0,400.0,2.6666666666666665,5,0.2092608368538369,0.019425732922188074,126.85637561938287
0,400.0,2.6666666666666665,6,0.2087516225917693,0.0,126.85637561938287
1,0.0,0.0,1,0.9999999999999992,8.75364682407777e-16,122.060919205897
1,0.0,0.0,2,0.9999999999999997,5.246709318398999e-16,122.060919205897
1,0.0,0.0,3,0.9999999999999998,3.2746874553685466e-16,122.060919205897
1,0.0,0.0,4,0.9999999999999999,1.8355090436664715e-16,122.060919205897
1,0.0,0.0,5,1.0,1.8129866073473578e-16,122.060919205897
1,0.0,0.0,6,0.9999999999999999,0.0,122.060919205897
1,50.0,0.3333333333333333,1,0.2567219675526916,0.06322887685633088,122.060919205897
1,50.0,0.3333333333333333,2,0.2302341991091587,0.050265899454785865,122.060919205897
1,50.0,0.3333333333333333,3,0.21661980966699276,0.03511526823005214,122.060919205897
1,50.0,0.3333333333333333,4,0.209332867752894,0.021365291975509758,122.060919205897
1,50.0,0.3333333333333333,5,0.20551324457100187,0.009658649318270688,122.060919205897
1,50.0,0.3333333333333333,6,0.20368354660193108,0.0,122.060919205897
1,150.0,1.0,1,0.11451336395454816,0.06850528019651944,122.060919205897
1,150.0,1.0,2,0.09350405153167116,0.04989711101327966,122.060919205897
1,150.0,1.0,3,0.08331454120897622,0.03754842082082768,122.060919205897
1,150.0,1.0,4,0.07772212168848817,0.02805279632940884,122.060919205897
1,150.0,1.0,5,0.07443135231268137,0.018911864633029074,122.060919205897
1,150.0,1.0,6,0.07237822438008255,0.0,122.060919205897
1,250.0,1.6666666666666667,1,0.02661552202081338,0.01636679417648939,122.060919205897
1,250.0,1.6666666666666667,2,0.023863238362326008,0.014198463436265598,122.060919205897
1,250.0,1.6666666666666667,3,0.022390826305053728,0.012536181785846895,122.060919205897
1,250.0,1.6666666666666667,4,0.02144109437444467,0.01038102900172841,122.060919205897
1,250.0,1.6666666666666667,5,0.02075221160192367,0.00738546085168936,122.060919205897
1,250.0,1.6666666666666667,6,0.020209043553372285,0.0,122.060919205897
1,400.0,2.6666666666666665,1,0.002389304527660014,0.00213249834414917,122.060919205897
1,400.0,2.6666666666666665,2,0.0019532740012086795,0.0012925761832316889,122.060919205897
1,400.0,2.6666666666666665,3,0.00173838861562013,0.0009413302967388112,122.060919205897
1,400.0,2.6666666666666665,4,0.001618511631979563,0.0007104243810164441,122.060919205897
1,400.0,2.6666666666666665,5,0.0015458362923947767,0.0004866718711253652,122.060919205897
1,400.0,2.6666666666666665,6,0.0014983173081947827,0.0,122.060919205897
2,0.0,0.0,1,1.0,1.8129866073473578e-16,102.11097594512391
2,0.0,0.0,2,1.0,2.0471501066083614e-16,102.11097594512391
2,0.0,0.0,3,1.0,1.6653345369377348e-16,102.11097594512391
2,0.0,0.0,4,1.0,1.374765162524861e-16,102.11097594512391
2,0.0,0.0,5,0.9999999999999999,1.5032490816276445e-16,102.11097594512391
2,0.0,0.0,6,0.9999999999999998,0.0,102.11097594512391
2,50.0,0.3333333333333333,1,0.7175313687351075,0.1534591744789109,102.11097594512391
2,50.0,0.3333333333333333,2,0.6933750800769211,0.13291331616233762,102.11097594512391
2,50.0,0.3333333333333333,3,0.6811434315852365,0.1059207283549787,102.11097594512391
2,50.0,0.3333333333333333,4,0.6739742526622007,0.07943031483032678,102.11097594512391
2,50.0,0.3333333333333333,5,0.6693208864865142,0.051925709726640935,102.11097594512391
2,50.0,0.3333333333333333,6,0.6660703396065161,0.0,102.11097594512391
2,150.0,1.0,1,0.1659490713586004,0.1419338337713609,102.11097594512391
2,150.0,1.0,2,0.16260336907926679,0.11245213570017115,102.11097594512391
2,150.0,1.0,3,0.15895687940584854,0.08626846156168717,102.11097594512391
2,150.0,1.0,4,0.15620738317562602,0.06319162777209034,102.11097594512391
2,150.0,1.0,5,0.1542018240009581,0.04061255980794394,102.11097594512391
2,150.0,1.0,6,0.15271898930087763,0.0,102.11097594512391
2,250.0,1.6666666666666667,1,0.040996003914276116,0.07148032195352583,102.11097594512391
2,250.0,1.6666666666666667,2,0.04619545974373361,0.05354535431267083,102.11097594512391
2,250.0,1.6666666666666667,3,0.047300188074537945,0.03903878787474717,102.11097594512391
2,250.0,1.6666666666666667,4,0.047472940712812856,0.02758447465970887,102.11097594512391
2,250.0,1.6666666666666667,5,0.04741398451801809,0.017296406034675228,102.11097594512391
2,250.0,1.6666666666666667,6,0.04730935998281539,0.0,102.11097594512391
2,400.0,2.6666666666666665,1,0.005831869231374381,0.010871568639131007,102.11097594512391
2,400.0,2.6666666666666665,2,0.00664295596702887,0.00816381467705611,102.11097594512391
2,400.0,2.6666666666666665,3,0.006813198960553398,0.005955794271293245,102.11097594512391
2,400.0,2.6666666666666665,4,0.006840215892051024,0.004208694239584383,102.11097594512391
2,400.0,2.6666666666666665,5,0.006831810430379057,0.0026380137989329804,102.11097594512391
2,400.0,2.6666666666666665,6,0.00681635057265091,0.0,102.11097594512391
3,0.0,0.0,1,0.9999999999999999,4.2518304777254294e-16,134.9794885833758
3,0.0,0.0,2,0.9999999999999998,3.7155169009665004e-16,134.9794885833758
3,0.0,0.0,3,0.9999999999999997,2.7976739077293704e-16,134.9794885833758
3,0.0,0.0,4,0.9999999999999998,3.522516806920704e-16,134.9794885833758
3,0.0,0.0,5,0.9999999999999994,1.4332917616497527e-16,134.9794885833758
3,0.0,0.0,6,0.9999999999999994,0.0,134.9794885833758
