split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,1,0,30.0,tp_uic_full,tp_uic_full,0.03207358356596703,32.1591841410702,0,1,14.794311378109501,37.48602845089596,32204.401404244072,1.9656006716457564,10,0.9980714568460347,0.5719491999257215,14.274513545966014,14.274532912968008,1.0319046799795838e-06,3.856454639961566e-08,3.856437442460497e-08,1.7197501068822262e-13,0.9970194609350351,0.9987116220280473,0.996237681086751,0.9960830879909727,0.18125879892163127,2.2927676706634013e-14,5.832624580029284e-07,15,5,53.03532907096542
calibration,0,0,1,0,30.0,perfect_channel,perfect_channel,0.03207358356596703,32.1591841410702,0,1,3.4955047350947908,6.2286329539758025,16187.60909629512,0.988013250506294,10,0.9980499359106418,0.5761552877369663,inf,inf,1.0319046799795838e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.18125879892163127,2.2927676706634013e-14,3.652909235031863e-05,0,5,nan
calibration,0,0,1,1,30.0,tp_uic_full,tp_uic_full,0.037035500740867096,32.35061942298008,0,1,146.54867492971715,150.1014845631942,61143.31320169126,3.7318916749079136,10,0.9980256243091652,0.5658289473182262,11.137516998813414,11.13752180442513,1.0784080232143685e-06,8.299107887707559e-08,8.299098704475977e-08,9.183231581757601e-14,0.9984896242826358,0.9991781564154835,0.9981383076336705,0.9906302698813332,0.15466894297473346,2.5470613740071273e-14,3.0414408694543586e-07,15,5,56.364380697369
calibration,0,0,1,1,30.0,perfect_channel,perfect_channel,0.037035500740867096,32.35061942298008,0,1,3.009939466543112,7.812859939957056,16249.163250144167,0.9917702179043071,10,0.9980499359106418,0.5761552877369663,inf,inf,1.0784080232143685e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.15466894297473346,2.5470613740071273e-14,4.058057924644175e-05,0,5,nan
calibration,1,0,1,0,30.0,tp_uic_full,tp_uic_full,0.12324760436083304,27.002313720225196,0,1,5.213514220535025,4.408641840231702,17531.882978605714,1.0700612169559152,10,0.9153168223424211,0.37660707039015606,17.32957429946814,17.329702189179212,3.14740434495127e-07,5.820966636349687e-09,5.820795224827926e-09,1.714115217608414e-13,0.9811465807345569,0.8846260053429402,0.9946193750487058,0.9256009704179607,0.04544206059162758,1.4518082810000354e-14,2.2089009949610742e-06,15,5,44.823721684664626
calibration,1,0,1,0,30.0,perfect_channel,perfect_channel,0.12324760436083304,27.002313720225196,0,1,4.616276762262094,4.659342240410176,16595.023684756314,1.0128798635715524,10,0.9221110620572073,0.4036246670311068,inf,inf,3.14740434495127e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04544206059162758,1.4518082810000354e-14,2.3130664066046744e-05,0,5,nan
calibration,1,0,1,1,30.0,tp_uic_full,tp_uic_full,0.10756979832679972,24.99095955970999,0,1,4.010705790467309,3.5485292174118226,18089.018219338323,1.1040660534264113,10,0.9166113988028091,0.38082571823356187,13.620195046872354,13.620288877639338,1.9806928049584283e-07,8.605926235803589e-09,8.605740303914087e-09,1.859318895020056e-13,0.9841973054555463,0.9461852040267337,0.9938915371538899,0.9394580126390124,0.04299055552626946,1.8389401792862072e-14,1.960106131636794e-06,15,5,46.520538407657234
calibration,1,0,1,1,30.0,perfect_channel,perfect_channel,0.10756979832679972,24.99095955970999,0,1,4.346449672085006,3.338112811396348,16439.467846152045,1.003385488656741,10,0.9221110620572073,0.4036246670311068,inf,inf,1.9806928049584283e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04299055552626946,1.8389401792862072e-14,2.929857067306809e-05,0,5,nan
calibration,2,0,1,0,30.0,tp_uic_full,tp_uic_full,0.011701796165200187,26.388528125180134,0,1,11.185088937740325,10.74118429817237,19193.03971629062,1.1714501779962536,10,0.9630736200921035,1.2692422684898481,15.048170928309174,15.04820268686239,2.732586890672491e-07,8.545881917822691e-09,8.545819424776006e-09,6.249304668554995e-14,0.9996018016355349,0.9998560317741896,0.999769166842079,0.993328480409303,0.06794204445462267,5.153412935814696e-14,5.615457548381687e-06,15,5,46.49483122509534
calibration,2,0,1,0,30.0,perfect_channel,perfect_channel,0.011701796165200187,26.388528125180134,0,1,4.224787316644636,6.805124345053406,16295.519943006026,0.9945996058963639,10,0.9683205012668905,1.2887954332006757,inf,inf,2.732586890672491e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06794204445462267,5.153412935814696e-14,8.210578832753369e-05,0,5,nan
calibration,2,0,1,1,30.0,tp_uic_full,tp_uic_full,0.007852685642453923,25.68609408888094,0,1,7.3391969030819695,3.274766366872712,19691.016904610893,1.2018442934943172,10,0.9642355176415902,1.2741736132671448,14.527752350105214,14.527797031605335,2.3245054934980187e-07,8.195120464393758e-09,8.195036151005573e-09,8.431338818451417e-14,0.9995417097067947,0.999861366386823,0.9998532934369121,0.9936302566537039,0.0720192963547587,5.0675909907147187e-14,5.741128104253185e-06,15,5,46.312810924220884
calibration,2,0,1,1,30.0,perfect_channel,perfect_channel,0.007852685642453923,25.68609408888094,0,1,5.706017658040022,3.826859722195163,16351.777361877153,0.9980332862473849,10,0.9683205012668905,1.2887954332006757,inf,inf,2.3245054934980187e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0720192963547587,5.0675909907147187e-14,8.073844622900612e-05,0,5,nan
calibration,3,0,1,0,30.0,tp_uic_full,tp_uic_full,0.36452375549139937,27.544463728654378,0,1,100.11973158090532,74.55425935622793,18711.197339464954,1.1420408532388278,10,0.9676087820639699,0.7266097473308928,16.375031733712543,16.37507380268296,3.565886706375753e-07,8.216074478846194e-09,8.21599489226738e-09,7.958657881334565e-14,0.9946114391997048,0.8903761326919641,0.9962297416067002,0.9160589275435479,0.13030666916301367,3.790305636584134e-14,4.262773126782288e-06,15,5,46.321575405830295
calibration,3,0,1,0,30.0,perfect_channel,perfect_channel,0.36452375549139937,27.544463728654378,0,1,2.1730359915229664,5.635350687326351,16283.992452512177,0.9938960237129014,10,0.9731792701505358,0.8889082043552312,inf,inf,3.565886706375753e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.13030666916301367,3.790305636584134e-14,6.0388336073603725e-05,0,5,nan
calibration,3,0,1,1,30.0,tp_uic_full,tp_uic_full,0.35558477927274135,27.887527257540224,0,1,248.1648767988088,250.4428299585226,115791.47042958059,7.067350490086706,10,0.9759270065965985,0.7071193975704506,8.31584602022588,8.315849647656183,3.8589921378012834e-07,5.6870794006018884e-08,5.687074650489604e-08,4.7501122843058596e-14,0.9982088023712973,0.9399170373727108,0.9979601904881842,0.9253980452616487,0.12077302702308207,4.496707722482875e-14,7.806563982344774e-07,15,5,54.72432683859331
calibration,3,0,1,1,30.0,perfect_channel,perfect_channel,0.35558477927274135,27.887527257540224,0,1,4.586134685027783,7.14799286839263,16303.589160204618,0.9950921118288951,10,0.9731792701505358,0.8889082043552312,inf,inf,3.8589921378012834e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12077302702308207,4.496707722482875e-14,7.164295526700264e-05,0,5,nan
test,4,0,1,0,30.0,tp_uic_full,tp_uic_full,0.8716957304334085,27.896077708586034,0,1,7232.980218596406,7221.0881775200905,45973.35444389296,2.8059908718196387,10,0.9990036433158016,4.897261094929454,11.93880459015043,11.938852719098632,3.8665972600583294e-07,2.4742779214567806e-08,2.4742505014136913e-08,2.742004308930844e-13,0.9728037102402447,0.9732947108662987,0.5558618521540518,0.33596183310495914,0.006099034506062738,1.2009254301352521e-12,4.604827385371657e-05,15,5,51.10921805859224
