experiment,condition,fusion_rule,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_fusion_rule,max_in_rate,max_in_rate,38.98757240001578,0.3898757240001578,proposed_c2f_adaptive_pd,0.932,0.9146857880858408,0.946007771535518,0.01566099172483859,0.9060000000000001,0.956,0.02499999999999991,0.86,0.79,0.92,0.04818151484818151,0.04613333333333333,0.05036296296296297,0.0021148148148148194,0.048133333333333334,4256.0,7.0933333333333355,6.65,19.89,1.0,1.0,977.2,0.5314911618169282,4.016132733426248,3.746515922490908,3.7887386460059993,0.995732016866889,0.9895558831680173,0.9915896632863626,2.6889933263065933,1.0,1.0,2935.707320979572,93.77841919151355,7.735183247259959,2220.8847045710777,977.2,89.37,0.9982615629984051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19639.58,19639.58,0.0,0.0,0.0,0.0,0.0,nan,0.45,709.5668781847794,0.82,0.932,0.9,0.96,0.21898496240601503,0.131390977443609,689.7808554933205,413.8685132959922
target_local_v1_fusion_rule,max_min_rate,max_min_rate,34.64375819999259,0.3464375819999259,proposed_c2f_adaptive_pd,0.967,0.9540184599711052,0.9764072167492062,0.011194378389050463,0.9550000000000002,0.9780000000000001,0.011499999999999955,0.9,0.84,0.96,0.05015015015015015,0.047622037037037025,0.05272249999999998,0.0025502314814814762,0.0501,4096.0,6.826666666666667,6.4,15.61,1.0,1.0,847.0,0.5314911618169282,1.4876129754690843,1.1020032337584857,1.1563378820395773,0.9977746589216808,0.99169290207302,0.994282219546985,-1.9077645929471243,1.0,1.0,3128.4383002744817,84.55586506551356,13.141659968451801,1285.6064541537194,847.0,89.18,0.999090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17414.47,17414.47,0.0,0.0,0.0,0.0,0.0,nan,0.49,379.43005571464397,0.87,0.967,0.94,0.99,0.236083984375,0.14165039062499998,763.7788819029496,458.2673291417697
target_local_v1_fusion_rule,nearest_target,nearest_target,27.372479500016198,0.273724795000162,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051654964894684054,0.04921842592592593,0.0540038888888889,0.0023927314814814853,0.0515,473.6,0.7893333333333334,0.74,12.24,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12756.24,12756.24,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.1863613680944,0.95,0.975,0.96,0.99,2.058699324324324,1.2352195945945943,29627.889511500078,17776.733706900046
