experiment,trial,greedy_obj,oracle_obj,gap,greedy_links,oracle_links
same_objective_gap,0,2.169682478849226,2.169682478849226,0.0,6,6
same_objective_gap,1,2.996173170409866,2.996173170409866,0.0,3,3
same_objective_gap,2,0.24570649837859102,0.24570649837859102,0.0,6,6
same_objective_gap,3,0.1651319597777195,0.1652954316414983,0.000988967826608442,6,5
same_objective_gap,4,1.7923312272999175,1.7928402374670278,0.00028391273046699385,5,4
same_objective_gap,5,0.5458299978662463,0.5462552101376195,0.0007784132095802427,6,6
same_objective_gap,6,2.2568570200511777,2.283960707596949,0.011866967525149867,6,6
same_objective_gap,7,1.2232039048244574,1.2237630687052492,0.0004569216828739584,4,3
same_objective_gap,8,1.984474416280561,2.009797634194442,0.01259988442768323,6,6
same_objective_gap,9,2.9152059430956156,2.9915914476724055,0.025533401172215957,3,5
same_objective_gap,10,1.287675255513792,1.2897512792931218,0.0016096311069120385,5,6
same_objective_gap,11,2.1163514916301165,2.1163514916301165,0.0,4,4
same_objective_gap,12,1.2629530103505948,1.2629530103505948,0.0,6,6
same_objective_gap,13,2.3513067477193155,2.377256696498814,0.01091592204481637,5,6
same_objective_gap,14,1.0897986476303299,1.0907599104169086,0.0008812780680684322,5,6
same_objective_gap,15,0.976494563200384,1.094871703294071,0.10811964519453116,6,6
same_objective_gap,16,2.165187226787527,2.1935034370069255,0.01290912507437715,4,6
same_objective_gap,17,1.5716864415462928,1.5783170443151942,0.004201058838453007,6,6
same_objective_gap,18,2.6995193636287405,2.9381154713876834,0.08120719218916643,3,6
same_objective_gap,19,2.8674373573707195,2.9562153563734044,0.030030964696562253,3,6
same_objective_gap,20,1.383334795597599,1.3861739961971686,0.0020482281498273116,5,6
same_objective_gap,21,0.5434145726454961,0.5434145726454961,0.0,6,6
same_objective_gap,22,1.1726599001738802,1.214163592900752,0.0341829494555305,5,6
same_objective_gap,23,0.671236142130469,0.671236142130469,0.0,6,6
same_objective_gap,24,0.34164228398322594,0.3429734848564122,0.0038813521510083866,6,6
same_objective_gap,25,2.4295050984995807,2.4423065457668836,0.0052415399244172935,5,6
same_objective_gap,26,1.8072008236774535,1.8267093741929548,0.010679613731177241,4,6
same_objective_gap,27,2.5012293525564284,2.8026394469203186,0.10754508386553069,3,6
same_objective_gap,28,2.866276646470448,2.9686684782782744,0.0344908273042365,3,6
same_objective_gap,29,2.0842696724656244,2.1012054843912447,0.008060045555481125,6,6
same_objective_gap,30,1.2797348324904303,1.280261727062373,0.00041155223248902226,6,6
same_objective_gap,31,2.0998225143361986,2.0998225143361986,0.0,3,3
same_objective_gap,32,1.9469937071965298,1.9785325733557828,0.015940534203973244,4,5
same_objective_gap,33,0.5141083430985091,0.5141083430985091,0.0,6,6
same_objective_gap,34,1.598403937871233,1.7226167485790551,0.07210704923790062,5,6
