block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,2,active_set,False,0.4,2.0,1.0,-16.80457789031006,-135.8613239879461,-79.5138429110639,56.34748107688221,-119.43686888329567
A,400.0,0.05,2,active_set,False,0.6,2.0,1.0,-15.04366529975325,-134.10041139738928,-79.5138429110639,54.5865684863254,-119.43686888329567
A,400.0,0.05,2,active_set,False,0.8,2.0,1.0,-13.794277933670251,-132.85102403130628,-79.5138429110639,53.3371811202424,-119.43686888329567
A,400.0,0.05,2,active_set,False,0.95,2.0,1.0,-13.04794175070121,-132.10468784833725,-79.5138429110639,52.59084493727336,-119.43686888329567
A,400.0,0.05,2,orthogonal,False,0.2,1.0,1.0,-14.217387285685978,-141.88192390122572,-89.5138429110639,52.368080990161836,-129.14193081679053
A,400.0,0.05,2,orthogonal,False,0.4,1.0,1.0,-13.522948817089791,-138.8716239445859,-86.50354295442409,52.368080990161836,-126.31360699367939
A,400.0,0.05,2,orthogonal,False,0.6,1.0,1.0,-13.25935524283361,-137.1107113540291,-84.74263036386728,52.368080990161836,-124.6150879534362
A,400.0,0.05,2,orthogonal,False,0.8,1.0,1.0,-13.112930348251119,-135.8613239879461,-83.49324299778428,52.368080990161836,-123.3972367589266
A,400.0,0.05,2,orthogonal,False,0.95,1.0,1.0,-13.045532186202367,-135.11498780497706,-82.74690681481523,52.368080990161836,-122.66591906870636
A,400.0,0.05,2,orthogonal,False,0.2,2.0,1.0,-13.696363751225832,-138.8716239445859,-86.50354295442409,52.368080990161836,-126.13163086015072
A,400.0,0.05,2,orthogonal,False,0.4,2.0,1.0,-13.207930614954753,-135.8613239879461,-83.49324299778428,52.368080990161836,-123.30330703703957
A,400.0,0.05,2,orthogonal,False,0.6,2.0,1.0,-13.029349709195932,-134.10041139738928,-81.73233040722747,52.368080990161836,-121.60478799679639
A,400.0,0.05,2,orthogonal,False,0.8,2.0,1.0,-12.913088851410588,-132.85102403130628,-80.48294304114447,52.368080990161836,-120.38693680228678
