experiment,local_processing_budget_per_target,local_processing_budget_label,remote_report_budget,uses_scalar_price,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms,K_remote_min_for_weak_requirement,weak_pd_marginal_per_remote_report,weak_pd_marginal_per_local_observation,remote_to_local_marginal_ratio
resource_budget_surface,0,0,0,False,proposed_c2f_adaptive_pd,0.0,0.0,0.003826898586390522,0.001913449293195261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,953.82,0.5314911618169282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,953.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,nan,nan,nan
resource_budget_surface,0,0,1,False,proposed_c2f_adaptive_pd,0.098,0.08108172764860938,0.11799509881484863,0.018456685583119622,0.09499999999999996,0.09999999999999998,0.002500000000000009,0.07,0.03,0.12,0.04579124579124579,0.03833333333333333,0.052666666666666646,0.007166666666666658,0.004533333333333334,640.0,1.0666666666666667,1.0,1.0,0.09999999999999998,1.0,953.82,0.5314911618169282,2.0426775067635092,2.0426775067635092,2.0426775067635092,0.9999717296953616,0.9999717296953616,0.9999717296953616,-0.24228186297383808,1.0,1.0,257.53618815747797,0.0,0.0,0.0,953.82,10.0,0.99,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,823.82,823.82,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.88,0.153125,0.091875,402.4002939960593,241.44017639763558,-1,0.07,nan,nan
resource_budget_surface,0,0,2,False,proposed_c2f_adaptive_pd,0.197,0.173527752304166,0.22279134823918673,0.02463179796751036,0.19299999999999998,0.19999999999999996,0.0034999999999999892,0.11,0.05,0.18,0.04824120603015075,0.04333333333333333,0.053166666666666654,0.004916666666666663,0.0096,1280.0,2.1333333333333333,2.0,2.0,0.19999999999999996,1.0,953.82,0.5314911618169282,2.131254635754766,1.4704996862545954,1.6026506761546293,0.9992207664348551,0.9984415328697103,0.9985973795827392,0.0017857222736526325,1.0,1.0,4311.076004507368,0.0,0.0,173.43770473599002,953.82,19.0,0.995,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1663.64,1663.64,0.0,0.0,0.0,0.0,0.0,0.0,0.19699999999999998,0.0,0.94,0.15390625,0.09234375,3368.0281285213814,2020.816877112829,-1,0.039999999999999994,nan,nan
resource_budget_surface,0,0,4,False,proposed_c2f_adaptive_pd,0.393,0.3631922950067575,0.4236266612907302,0.030217183141986348,0.386,0.39799999999999996,0.005999999999999978,0.21,0.13,0.29,0.049916247906197656,0.04600000000000001,0.05397222222222223,0.003986111111111107,0.019866666666666668,2560.0,4.266666666666667,4.0,4.0,0.3999999999999999,1.0,953.82,0.5314911618169282,2.117408915982798,1.138856931813807,1.2722633990079928,0.999546708100942,0.998238038834686,0.9987512652732845,-0.04000317631091961,1.0,1.0,4598.8605184473045,0.0,0.0,720.4959106426937,953.82,34.0,0.995,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3379.28,3379.28,0.0,0.0,0.0,0.0,0.0,0.0,0.39299999999999996,0.0,0.94,0.15351562500000002,0.09210937500000001,1796.4298900184783,1077.857934011087,-1,0.049999999999999996,nan,nan
resource_budget_surface,0,0,8,False,proposed_c2f_adaptive_pd,0.787,0.7605498923280081,0.8112534678834038,0.025351787777697865,0.7789999999999999,0.7939999999999998,0.007499999999999951,0.38,0.29,0.48,0.049706867671691794,0.04699404761904763,0.05251190476190477,0.0027589285714285684,0.03956666666666667,5120.0,8.533333333333333,8.0,8.0,0.7999999999999998,1.0,953.82,0.5314911618169282,2.0539372037644426,0.9533733310276464,1.0953091682989335,0.9993540245716116,0.9953512967173139,0.9982655393408376,-0.2193196779698678,1.0,1.0,8398.55539417199,123.75567371806758,0.0,2650.115633025824,953.82,52.09,0.995,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6871.28,6871.28,0.0,0.0,0.0,0.0,804.9309639629649,0.12,0.7869999999999999,0.13,0.95,0.1537109375,0.09222656250000001,1640.3428504242167,984.2057102545301,-1,0.0425,nan,nan
resource_budget_surface,1,1,0,False,proposed_c2f_adaptive_pd,0.957,0.9425806957803401,0.9679215189116991,0.012670411565679496,0.9420000000000003,0.9710000000000001,0.014499999999999902,0.78,0.7,0.86,0.04954954954954955,0.04722222222222222,0.05190027777777779,0.0023390277777777836,0.0495,0.0,0.0,0.0,10.0,1.0,1.0,953.82,0.5314911618169282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37525.519778932015,226.3661326753674,18.236434688549256,7023.993088502792,953.82,55.0,0.9990000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.61,1147.61,0.0,0.0,0.0,0.59,2803.8146213029645,0.91,0.9570000000000001,0.92,0.98,957000000000.0,957000000000.0,3.752551977893202e+16,3.752551977893202e+16,-1,nan,0.78,nan
resource_budget_surface,1,1,1,False,proposed_c2f_adaptive_pd,0.958,0.9437152767228901,0.9687792841719761,0.012532003724542995,0.9440000000000001,0.972,0.013999999999999957,0.79,0.71,0.87,0.04908057505850886,0.04670740740740741,0.05145583333333333,0.00237421296296296,0.048933333333333336,640.0,1.0666666666666667,1.0,9.99,0.9990000000000001,1.0,953.82,0.5314911618169282,2.02959819528851,2.02959819528851,2.02959819528851,0.9989389465431288,0.9989389465431288,0.9989389465431288,-0.33482412730568306,1.0,1.0,35281.325223612504,212.06922592025808,18.556637721705332,5709.632002967774,953.82,55.0,0.998,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2457.33,2457.33,0.0,0.0,0.0,0.58,2803.8146213029645,0.91,0.958,0.92,0.98,1.496875,0.898125,55127.07066189454,33076.242397136724,-1,0.010000000000000009,0.72,0.013888888888888902
resource_budget_surface,1,1,2,False,proposed_c2f_adaptive_pd,0.957,0.9425806957803401,0.9679215189116991,0.012670411565679496,0.9430000000000001,0.971,0.013999999999999957,0.79,0.71,0.87,0.04921273031825796,0.046840648148148145,0.051663148148148146,0.00241125,0.048966666666666665,1280.0,2.1333333333333333,2.0,9.98,0.9969999999999999,1.0,953.82,0.5314911618169282,1.996385034907457,1.4109864762412996,1.5280661879745312,0.9991959772397853,0.9983919544795705,0.9985527590316136,-0.36975697250240946,1.0,1.0,36474.960736071786,189.11655326787474,18.60713781582487,4675.918851227632,953.82,55.01,0.998,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3798.65,3798.65,0.0,0.0,0.0,0.57,2803.8146213029645,0.91,0.9570000000000001,0.92,0.98,0.7476562499999999,0.44859375,28496.06307505608,17097.63784503365,-1,0.0,0.68,0.0
resource_budget_surface,1,1,4,False,proposed_c2f_adaptive_pd,0.952,0.9369335997915913,0.9636068838863117,0.013336642047360181,0.937,0.9670000000000001,0.015000000000000013,0.8,0.72,0.88,0.04944612286002014,0.047003703703703714,0.05184824074074074,0.0024222685185185146,0.0491,2515.2,4.192,3.93,10.02,0.996,1.0,953.82,0.5314911618169282,2.0586280376642843,1.1284057778851284,1.254446588513173,0.9993138107716656,0.9973227890173249,0.9981056885329287,-0.1976308488927984,1.0,1.0,18892.8684446399,178.00720388983905,18.754080310881573,3878.206227602189,953.82,55.26,0.9969999999999999,0.0,0.0,0.0,0.0,0.9825,0.95,0.0,0.0,6573.42,6573.42,0.0,0.0,0.0,0.58,1267.8983237550995,0.92,0.952,0.91,0.98,0.37849872773536897,0.22709923664122136,7511.47759408393,4506.886556450358,-1,0.0050000000000000044,0.5900000000000001,0.008474576271186448
resource_budget_surface,1,1,8,False,proposed_c2f_adaptive_pd,0.976,0.9645368449129426,0.9838199476328138,0.009641551359935607,0.9660000000000001,0.9850000000000001,0.009500000000000008,0.92,0.86,0.97,0.04884653961885657,0.0464,0.05125583333333333,0.002427916666666665,0.0487,4492.8,7.487999999999999,7.02,11.02,1.0,1.0,953.82,0.5314911618169282,2.0417067380822798,1.0094520085664234,1.1475923294288852,0.9994761057219805,0.9970118091238188,0.9984753820105066,-0.2465572031960502,1.0,1.0,4753.390268581986,171.54777567359895,24.016556666808704,3694.237451164979,953.82,57.97,0.9969999999999999,0.0,0.0,0.0,0.0,0.8775,0.51,0.0,0.0,11088.33,11088.33,0.0,0.0,0.0,0.72,1238.5954914176168,0.93,0.976,0.96,0.99,0.21723646723646722,0.13034188034188035,1058.0017513759763,634.8010508255858,-1,0.03,0.54,0.05555555555555555
