split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,1,0,0.0,no_ic,no_ic,0.032073583565966964,2.1591841410701993,1,3,3.002457334178999,6.264866072893534,10,0.9980702170696402,0.5720951049536983,0.0,0.0,1.0319046799795838e-09,1.0319046799795838e-09,1.0319046799795838e-09,0.0,1.0,1.0,1.0,1.0,0.9074538822353333,0,5,0.0
calibration,0,0,1,0,0.0,plain_ls,plain_ls,0.032073583565966964,2.1591841410701993,1,3,3.005376540933658,6.2574835440969085,10,0.9980703188037893,0.5720857644424252,14.255279170638104,14.274541410421953,1.0319046799795838e-09,3.873572287361875e-11,3.856429896919657e-11,1.7142390442218e-13,0.9970194029689,0.9987018576005672,0.9962376310913583,0.9960828511032622,0.9074538822353333,0,5,23.062520367685412
calibration,0,0,1,0,0.0,protected_ls,protected_ls,0.032073583565966964,2.1591841410701993,1,3,3.7859633788211022,7.851360882297698,10,0.9846737970560951,0.4758705952531414,13.116446282482483,13.13212477919468,1.0319046799795838e-09,5.034947585621145e-11,5.0168036551561755e-11,1.81439304649698e-13,0.9999949490365789,0.999923554349897,1.0,0.9980245707492635,0.9074538822353333,45,5,5.692318809887271
calibration,0,0,1,0,0.0,tp_uic_full,tp_uic_full,0.032073583565966964,2.1591841410701993,1,3,3.0064814183623225,6.259148148782823,10,0.9980696577281886,0.5725281050570148,14.255284950860073,14.274529387065172,1.0319046799795838e-09,3.873567131852499e-11,3.856440573384285e-11,1.712655846821472e-13,0.9983083545826674,0.9990747483768657,0.9977892572620323,0.9976157850529744,0.9074538822353333,45,5,23.051443830215664
calibration,0,0,1,0,0.0,detection_aware_tpuic,tp_uic_full,0.032073583565966964,2.1591841410701993,1,3,3.0064814183623225,6.259148148782823,10,0.9980696577281886,0.5725281050570148,14.255284950860073,14.274529387065172,1.0319046799795838e-09,3.873567131852499e-11,3.856440573384285e-11,1.712655846821472e-13,0.9983083545826674,0.9990747483768657,0.9977892572620323,0.9976157850529744,0.9074538822353333,45,5,23.051443830215664
calibration,0,0,1,0,0.0,perfect_channel,perfect_channel,0.032073583565966964,2.1591841410701993,1,3,3.4955047350947828,6.228632953975819,10,0.9980499359106418,0.5761552877369663,inf,inf,1.0319046799795838e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9074538822353333,0,5,nan
calibration,0,0,1,1,0.0,no_ic,no_ic,0.037035500740867096,2.3506194229800808,1,3,2.7707730826077954,8.155355925983086,10,0.9980295268508554,0.5664019317099445,0.0,0.0,1.078408023214369e-09,1.078408023214369e-09,1.078408023214369e-09,0.0,1.0,1.0,1.0,1.0,0.9049109513232266,0,5,0.0
calibration,0,0,1,1,0.0,plain_ls,plain_ls,0.037035500740867096,2.3506194229800808,1,3,2.760740211228792,8.165589061232556,10,0.9980296855103133,0.5663961872804378,11.132774730092672,11.137526303525092,1.078408023214369e-09,8.3081750292175e-11,8.299090106978916e-11,9.084922238584161e-14,0.9984895113116173,0.9991618296239062,0.9981382298446774,0.9906301231490697,0.9049109513232266,0,5,26.376475868642267
calibration,0,0,1,1,0.0,protected_ls,protected_ls,0.037035500740867096,2.3506194229800808,1,3,2.7237572789692166,9.125745979185218,10,0.9978710159437773,0.5286185106545241,10.584551603559172,10.589267348316502,1.078408023214369e-09,9.426011167186083e-11,9.415781578700347e-11,1.0229588485735951e-13,0.999994547649086,0.9999593158261365,1.0,0.9988071842164908,0.9049109513232266,45,5,8.378794145939798
calibration,0,0,1,1,0.0,tp_uic_full,tp_uic_full,0.037035500740867096,2.3506194229800808,1,3,2.762112306622283,8.1664512164188,10,0.9980280669128715,0.5666068189924088,11.132573690915047,11.137508803229885,1.078408023214369e-09,8.30855963169458e-11,8.299123548992456e-11,9.436082702125047e-14,0.9994922420055274,0.9996177559462729,0.9989115487457841,0.992994609870293,0.9049109513232266,45,5,26.358704237581478
calibration,0,0,1,1,0.0,detection_aware_tpuic,tp_uic_full,0.037035500740867096,2.3506194229800808,1,3,2.762112306622283,8.1664512164188,10,0.9980280669128715,0.5666068189924088,11.132573690915047,11.137508803229885,1.078408023214369e-09,8.30855963169458e-11,8.299123548992456e-11,9.436082702125047e-14,0.9994922420055274,0.9996177559462729,0.9989115487457841,0.992994609870293,0.9049109513232266,45,5,26.358704237581478
calibration,0,0,1,1,0.0,perfect_channel,perfect_channel,0.037035500740867096,2.3506194229800808,1,3,3.0099394665431083,7.81285993995702,10,0.9980499359106418,0.5761552877369663,inf,inf,1.078408023214369e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9049109513232266,0,5,nan
calibration,0,0,1,0,30.0,no_ic,no_ic,0.03207358356596697,32.1591841410702,1,3,14.7948458934654,37.486999480097296,10,0.9980714544204481,0.5719491957320776,0.0,0.0,1.0319046799795836e-06,1.0319046799795836e-06,1.0319046799795836e-06,0.0,1.0,1.0,1.0,1.0,0.9074538822353333,0,5,0.0
calibration,0,0,1,0,30.0,plain_ls,plain_ls,0.03207358356596697,32.1591841410702,1,3,14.794248970602471,37.485993244471466,10,0.9980714667937263,0.5719491959754012,14.274522105444996,14.27454141042195,1.0319046799795836e-06,3.8564470393101e-08,3.856429896919658e-08,1.7142390442218457e-13,0.9970194029689,0.9987018576005672,0.9962376310913583,0.9960828511032623,0.9074538822353333,0,5,53.039165505883844
calibration,0,0,1,0,30.0,protected_ls,protected_ls,0.03207358356596697,32.1591841410702,1,3,4.3296709291605096,14.419116372039534,10,0.9808842119291703,0.4669142760901295,13.132109072391758,13.132124779194683,1.0319046799795836e-06,5.016821799086638e-08,5.016803655156173e-08,1.8143930464970257e-13,0.9999949490365789,0.999923554349897,1.0,0.9980245707492635,0.9074538822353333,45,5,5.738246637600316
calibration,0,0,1,0,30.0,tp_uic_full,tp_uic_full,0.03207358356596697,32.1591841410702,1,3,14.807203093081728,37.50864781661688,10,0.9980707023408734,0.5723907330438835,14.274512499254573,14.274531815557179,1.0319046799795836e-06,3.856455569422071e-08,3.8564384169367855e-08,1.7152485285514402e-13,0.9983064360529178,0.9990738846189117,0.9977871198617345,0.9976133702001696,0.9074538822353333,45,5,53.02809182551602
calibration,0,0,1,0,30.0,detection_aware_tpuic,tp_uic_full,0.03207358356596697,32.1591841410702,1,3,14.807203093081728,37.50864781661688,10,0.9980707023408734,0.5723907330438835,14.274512499254573,14.274531815557179,1.0319046799795836e-06,3.856455569422071e-08,3.8564384169367855e-08,1.7152485285514402e-13,0.9983064360529178,0.9990738846189117,0.9977871198617345,0.9976133702001696,0.9074538822353333,45,5,53.02809182551602
calibration,0,0,1,0,30.0,perfect_channel,perfect_channel,0.03207358356596697,32.1591841410702,1,3,3.495504735094789,6.228632953975802,10,0.9980499359106418,0.5761552877369663,inf,inf,1.0319046799795836e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9074538822353333,0,5,nan
calibration,0,0,1,1,30.0,no_ic,no_ic,0.03703550074086702,32.35061942298008,1,3,146.54905701988687,150.10127290357786,10,0.9980255883012507,0.565828899218423,0.0,0.0,1.0784080232143685e-06,1.0784080232143685e-06,1.0784080232143685e-06,0.0,1.0,1.0,1.0,1.0,0.9049109513232266,0,5,0.0
calibration,0,0,1,1,30.0,plain_ls,plain_ls,0.03703550074086702,32.35061942298008,1,3,146.54808101088213,150.10098724274786,10,0.9980256435705882,0.5658289387795173,11.137521549353986,11.137526303525089,1.0784080232143685e-06,8.299099191901157e-08,8.299090106978918e-08,9.084922238584128e-14,0.9984895113116172,0.9991618296239062,0.9981382298446774,0.9906301231490697,0.9049109513232266,0,5,56.36760135968046
calibration,0,0,1,1,30.0,protected_ls,protected_ls,0.03703550074086702,32.35061942298008,1,3,127.98764713683018,127.43162987544613,10,0.9978338860181277,0.5262740800857947,10.589262630013106,10.5892673483165,1.0784080232143685e-06,9.415791808288832e-08,9.415781578700346e-08,1.0229588485735972e-13,0.999994547649086,0.9999593158261363,1.0,0.9988071842164908,0.9049109513232266,45,5,8.43514833360301
