frac_l,frac_k,eta_c_analytic,eta_c_psf,eta_loc_analytic,eta_loc_psf
-0.25709006837942694,-0.3540148983362066,0.5203990522018722,0.5205817684943885,0.8276890379734381,0.8276890379734384
-0.4514456774186326,0.3495366249294781,0.3192831253107839,0.3194879196005464,0.7682752451029996,0.7682752451030002
-0.18817441157722647,0.4103117068717098,0.4935511968033575,0.49421123537817385,0.8357268074383793,0.83572680743838
0.16942779572273703,0.05172390781541614,0.9010848758920696,0.9014600341184571,0.9628493397057761,0.9628493397057745
-0.31619124074296,0.04081409033808392,0.7075517068895943,0.7078758972278485,0.9029163926951759,0.9029163926951769
-0.05526750333034025,-0.19360013456427871,0.8737824861628442,0.873439106348284,0.9529369363313742,0.9529369363313753
0.1814665421505015,0.1580013735350133,0.8250187466282424,0.8255275764639821,0.9329677751500837,0.9329677751500834
-0.007946504276417188,-0.2380509616495068,0.8267579140672968,0.8268618419120357,0.9382751846751514,0.938275184675151
-0.269206846337403,0.3619126530274681,0.49880064304280497,0.4989602152456575,0.8203319533924861,0.8203319533924868
-0.16747491408785575,0.14700920527092998,0.8481035139608376,0.8485966186915967,0.9416656229787166,0.9416656229787156
0.21344799034901318,-0.3654260733769765,0.5419347138223,0.542975298257277,0.8405820073448452,0.8405820073448457
0.4978452518971799,0.19791529876914138,0.3587455553917528,0.3585670090521022,0.8174813839188632,0.8174813839188648
-0.26483780095206155,0.26943583379589686,0.6180857492711886,0.6184748712959856,0.8571021321704213,0.8571021321704222
-0.0708579160040883,-0.043204545995149,0.97756544576195,0.9775625954962738,0.9912518791302204,0.9912518791302204
-0.1759566386772674,0.05142719102211246,0.8943810981975434,0.8944883478706775,0.9603869967482518,0.9603869967482532
0.2697970549615816,-0.2760353644092325,0.6048606732233387,0.6047448421704806,0.852284741564537,0.8522847415645399
0.07483695313967742,0.3686060716504904,0.6142650657432229,0.6136382875835463,0.8781165505897768,0.8781165505897769
-0.36671680794469985,0.0024640794220406326,0.6288559550913327,0.6284549088909992,0.8851182819683103,0.885118281968309
-0.43830648109109593,0.18123557188433448,0.4552809355764334,0.4559586340300302,0.8314183235952538,0.8314183235952535
0.043006033838762,-0.19942753615287756,0.8705006349770227,0.8710323307541635,0.9523724112926153,0.952372411292615
-0.005442648727561394,0.12042751921979511,0.9530961865236472,0.9534471908227304,0.982192649556863,0.9821926495568631
-0.14178187441661438,0.25656367307734496,0.7497432069580118,0.7490624121892997,0.90737971026456,0.9073797102645601
0.07981762277911209,0.22735594208170962,0.8236180873525584,0.8240310505471201,0.9354185248406771,0.9354185248406777
0.45376969865350403,0.4099357472226889,0.2678316256439448,0.2676444147086835,0.7506557256383976,0.7506557256383972
0.13311917135281892,0.1832128406276895,0.8433956151484598,0.84374058890257,0.9401479222574413,0.9401479222574415
0.4694669174103855,0.22232265836872434,0.3860845598114545,0.38701601097904087,0.8118659697278191,0.8118659697278208
0.014450906868841318,-0.16475327122049443,0.9132027645008544,0.9130125267589387,0.9673962929406487,0.9673962929406471
0.318801829531593,-0.3855914633189341,0.4223637254312556,0.4217726386035947,0.7940007882381788,0.7940007882381795
0.26670094688771684,-0.31255486964741963,0.5643165353163777,0.56352898912029,0.8388752604585837,0.8388752604585847
-0.24670430896447748,0.0958744914906845,0.7907820538985572,0.7903677899876924,0.9236815996154124,0.9236815996154129
-0.45403707900456247,0.24415745687158696,0.39402328175846296,0.39426220801976164,0.8060477189832432,0.8060477189832427
-0.14610067370843716,-0.40063755406488855,0.5326698961141435,0.5322276189011453,0.8515061253192038,0.8515061253192048
-0.11671548562297152,0.08113406929153832,0.9354549815470606,0.9353308885519036,0.9749198584891262,0.9749198584891254
-0.09622647304764353,-0.38623558268558233,0.5781327371307452,0.5786753069376883,0.8685322407662722,0.8685322407662733
0.103816758463246,0.20306003319280097,0.8410315596192438,0.8410299338986963,0.9401585039126552,0.9401585039126562
-0.23556472791536687,0.26945615812546786,0.6499517617901782,0.6501148817747233,0.8687031430660127,0.8687031430660107
0.12797265178761918,0.28298495421445125,0.7225729617806885,0.7225907313266969,0.9003872832124761,0.9003872832124773
0.24479663800727658,-0.3795864317665144,0.49660872538660394,0.49595151122474285,0.8237073726341513,0.8237073726341517
-0.2194106927698688,-0.14892614147028405,0.7909896193106934,0.7914602763926746,0.9210680991975343,0.9210680991975335
0.41166002953069325,0.2431261419360523,0.45349562512887515,0.4532009867236064,0.8153508455218997,0.8153508455218984
-0.3048239200981836,0.16075688190196058,0.6694024936053639,0.6690389377332798,0.8813330006332485,0.8813330006332497
-0.02638748367268451,0.021982027659182002,0.9961263158534499,0.9961912081592257,0.9985096740544129,0.9985096740544136
0.36651774268747994,-0.24452416369023744,0.5147708809517442,0.5137815510403368,0.8278901109452698,0.8278901109452697
0.16459880026007156,0.2920983418867088,0.6845695858759654,0.68446543332774,0.8853819042916812,0.8853819042916807
0.3036701438109167,0.2630381179196176,0.5791506072372924,0.5788585865386208,0.8439502510470855,0.843950251047087
0.3646570868180825,-0.26137732976782746,0.5023717481831241,0.5023394274639672,0.8224133989208975,0.8224133989208978
0.04067893095155872,-0.32477120659306546,0.6939502119987975,0.6935846006564005,0.899234350120975,0.8992343501209759
-0.03788432089679472,-0.24346710172349806,0.8157187970597113,0.8163700458760499,0.9344686890318242,0.9344686890318228
0.12055249510504273,-0.49446086506688125,0.3948575949243774,0.39551406848586285,0.8407893986891262,0.8407893986891275
0.4347126281819087,-0.0851139881728229,0.5017884511346141,0.5014247744703415,0.8573134328195654,0.8573134328195662
-0.06138711152389553,-0.4725297919247756,0.44484887269970175,0.4442279231117247,0.8543625606804285,0.8543625606804288
0.2832978202506893,0.21310768681021608,0.6550206123138919,0.6555729975534996,0.8719235118277416,0.8719235118277415
0.14938756398077768,-0.42028237701474225,0.49999583360276284,0.5007139214641179,0.8455251554396089,0.8455251554396094
0.24954459004581864,-0.21046167273622707,0.6996721723380783,0.6996459591564549,0.8866633074999616,0.8866633074999631
0.3873191857481312,0.35943437702662284,0.38091414984175415,0.3817745854708873,0.7799870524716216,0.7799870524716225
0.11105820812163347,-0.3756871407985247,0.589329466264997,0.5889227506789114,0.868501107601814,0.8685011076018125
