experiment,method,W_half_width,kappa_dd,eta_min,L_short,window_kernel,P_D,P_D_ci95_low,P_D_ci95_high,P_FA,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,D_mean,worst_target_satisfied_prob,actual_worst_target_P_D,actual_mean_target_P_D,P_D_per_kbit,P_D_per_ms,fine_eval_full_mean,fine_eval_c2f_mean
c2f,proposed_lagrangian,1,0.45,0.25,25,dirichlet,0.6506,0.6411988854938196,0.6598854499478769,0.04426327898369511,21129.6,29.212402248125816,33.015,0.9997,7.715197577301142,0.585,0.627,0.6506000000000001,0.03079092836589429,0.022271362501238342,0.0,0.0
c2f,proposed_c2f,1,0.45,0.25,25,dirichlet,0.6929,0.683786048719915,0.7018657992661625,0.04469143219518708,20522.88,27.700251684582614,32.067,0.9986999999999999,8.713849191921692,0.633,0.675,0.6929000000000001,0.03376231795927277,0.0250142131519207,430.98,161.549
c2f,proposed_c2f_full,1,0.45,0.25,25,dirichlet,0.6928,0.6836852682490809,0.7017666565394921,0.04387983061585142,20579.84,27.786878057554112,32.156,0.9997,8.707748365967293,0.633,0.675,0.6927999999999999,0.03366401293693245,0.02493263181869602,430.98,430.98
c2f,all_neighbor,1,0.45,0.25,25,dirichlet,0.6646,0.6552846024404319,0.6737889806518874,0.04794,275827.2,665.6111917078593,430.98,1.0,11.381933369185257,0.568,0.635,0.6646,0.002409479558216158,0.0009984808072333268,0.0,0.0
