experiment,variant,fair_max_total_links,use_target_priority,use_delay_price,use_comm_error_calibration,use_softmin_alpha,lambda_cost,mu_deficit,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
fair_ablation,full,26,True,True,True,True,0.005,1.0,proposed_lagrangian,0.6047,0.5950788149962923,0.6142407727908633,0.009580978897285486,0.04365699032365699,0.04361333333333333,15553.92,25.45402567439121,24.303,0.999,1.0,430.98,0.3195214631023853,1.1376980699534738,0.24464143682787431,0.3082953805182075,0.7742116129856352,0.5469706545680049,0.602236933657558,-4.680913420276802,1.0,1.0,42.43809097194049,5.003534903649767,0.18837923583372637,95.24415855632158,0.01,30.022515129923427,0.604,0.6047,0.572,0.626,0.03887765913673209,0.02375655653590295,2.728449868068017,1.6672447617838544
fair_ablation,w/o_alpha,26,False,True,True,True,0.005,1.0,proposed_lagrangian,0.5932,0.5835377477679824,0.6027906723061618,0.009626462269089697,0.045502298095863425,0.03465,16634.88,29.856512298359192,25.992,0.7615,1.0,430.98,0.3195214631023853,1.0319994879276893,0.23146790687250426,0.2873486995040358,0.759048531823418,0.5354962804792185,0.5879773936487377,-5.176374715032783,1.0,1.0,75.10087468961031,6.497368205825566,0.0,162.69759238449032,0.004,51.36576550053415,0.576,0.5932000000000001,0.571,0.63,0.03566001077254539,0.019868362187521818,4.51466284635719,2.5153934236899325
fair_ablation,w/o_delay_price,26,True,False,True,True,0.005,1.0,proposed_lagrangian,0.6077,0.5980904362853772,0.617226847426912,0.00956820557076743,0.04436215639178009,0.04432666666666667,16568.32,29.81069969202044,25.888,0.9992000000000001,1.0,430.98,0.3195214631023853,1.043654065596714,0.23029786651683293,0.2808773955052615,0.7579757745729292,0.5335541124760378,0.5821184894372358,-5.163605648723393,1.0,1.0,42.61798750125925,5.205883782806678,0.18834717599211917,95.24415855632158,0.009,30.194265817365366,0.605,0.6077,0.586,0.623,0.036678432092089,0.02038529810699699,2.5722576278861857,1.4296205034284049
fair_ablation,w/o_comm_error_calib,26,True,True,False,True,0.005,1.0,proposed_lagrangian,0.5463,0.5365261845594875,0.5560382558850714,0.009756035662791929,0.046766019870640795,0.04675666666666667,12869.76,26.778108436262066,20.109,0.9997999999999999,1.0,430.98,0.3195214631023853,0.9559129439222698,0.22447038195014296,0.26526334258421785,0.7375062242577046,0.5279472221152539,0.5680520751604402,-5.706159062567314,1.0,1.0,106.0415333183653,19.78576741862556,1.004568572935116,287.54595238332024,0.153,80.83240137695411,0.808,0.5463,0.524,0.58,0.04244834402506341,0.02040099289687758,8.23958903028225,3.9600083617096424
fair_ablation,w/o_softmin_alpha,26,True,True,True,False,0.005,1.0,proposed_lagrangian,0.6223,0.612752427970562,0.6317536425773763,0.009500607303407183,0.04429145728643216,0.04407,16405.76,27.415741015608184,25.634,0.995,1.0,430.98,0.3195214631023853,1.0984952768009955,0.23966507510229376,0.2998922303466859,0.7694073515243345,0.5429083257434323,0.597088217337701,-4.849414322535702,1.0,1.0,43.52902198361858,6.917291987382596,0.16882275592438506,95.24415855632158,0.008,31.18419849952161,0.61,0.6223,0.604,0.639,0.037931799563080286,0.022698638699778912,2.653276774963097,1.5877382981855885
