lambda_cost,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
0.001,0.6434,0.6300174778033671,0.6565623371931746,0.01327242969490372,0.04356666666666666,0.04356666666666666,18663.68,29.584140878592642,29.162,1.0,50.448276334466414,7.371720019621391,0.26159406172619765,112.29805880725087,0.028,38.72454611865558,0.648,0.034473372882518345,0.02174813872880014,2.7030187151979894,1.705247299270781
0.003,0.644,0.6306220015801421,0.6571568921402348,0.013267445280046308,0.04328666666666667,0.04328666666666667,17201.92,26.531618133640812,26.878,1.0,50.302020523755836,6.813697448869172,0.2614203375353006,112.29805880725087,0.028,38.6096040220576,0.642,0.03743768137510232,0.02427292586362982,2.924209653559361,1.8959273524284332
0.005,0.6474,0.6340480657922083,0.6605256073632328,0.013238770785512277,0.043937575030012006,0.04392,16304.64,24.632933341435592,25.476,0.9996,50.24277084939343,6.603619368527877,0.2593225585619148,112.29805880725087,0.028,38.541808860880195,0.642,0.0397064884597268,0.026281888195223358,3.081501391591193,2.0396584585758193
0.01,0.6396,0.6261893526514122,0.6527962970941752,0.013303472221381507,0.04371497197758206,0.04368,14926.08,21.858546946800224,23.322,0.9992000000000001,50.181173264644165,6.306137824696666,0.2533733294396312,112.29805880725087,0.028,38.445387887734675,0.64,0.042851170568561865,0.02926086539771703,3.361979385387467,2.2957231963669007
0.02,0.6392,0.6257864447483001,0.6523998191813973,0.013306687216548596,0.04416599839615076,0.04406,13384.96,18.821491339578444,20.914,0.9975999999999999,50.136666108560036,6.106347623690293,0.24376250179275938,112.29805880725087,0.028,38.41396116704241,0.636,0.04775509228268146,0.03396117706442685,3.745746427972892,2.6637988033993367
