method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f_adaptive_pd,1.0,0.9811539940816791,1.0,0.009423002959160431,0.049,0.04382048885398115,0.054756662148803474,0.005468086647411163,0.049,0.04382048885398115,0.054756662148803474,0.005468086647411163,512.0,689.3010953132165,0.8533333333333335,1.1488351588553611,0.8,1.077032961426901,60.0,0.0,1.0,1.0,860.3,0.5336509152674599,1.139903149761469,0.8908101007630375,0.9406287105627239,0.4494000148383689,0.4488000296767378,0.44892002670906406,0.2612611604551506,0.45,0.45,1000883.20871126,4818.396286970373,148.0746930070888,333260.2057539351,860.3,152.65,1.0,0.95,8097.26651067618,0.95,1.0,1.0,1.0,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,1.953125,1.1718749999999998,1954850.0170141796,1172910.0102085075
proposed_c2f_full_pd,1.0,0.9811539940816791,1.0,0.009423002959160431,0.0495,0.04429387639267762,0.055282634753119425,0.005494379180220901,0.0495,0.04429387639267762,0.055282634753119425,0.005494379180220901,512.0,718.3982182605968,0.8533333333333335,1.1973303637676613,0.8,1.1224972160321824,60.0,0.0,1.0,1.0,860.3,0.5336509152674599,1.2146519094755481,0.8908101007630375,0.9555784625055399,0.4494000148383689,0.4488000296767378,0.44892002670906406,0.4344556995987382,0.45,0.45,1000877.5149753168,4818.396286970373,148.0746930070888,333260.2057539351,860.3,860.3,1.0,0.95,8097.26651067618,0.95,1.0,1.0,1.0,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,1.953125,1.1718749999999998,1954838.8964361656,1172903.3378616993
exact_marginal_greedy,0.985,0.9568335194437211,0.9948858548155076,0.01902616768589327,0.051926298157453935,0.046580494900449715,0.05784838717770917,0.0056339461386297265,0.051666666666666666,0.04634697642464557,0.05756009534087203,0.005606559458113232,4704.0,1708.6322014991993,7.840000000000003,2.8477203358319993,7.35,2.669737814842499,16.9,3.448187929913334,1.0,1.0,860.3,0.5336509152674599,2.8658601440330105,0.9801139377522562,1.2280857849950202,0.9986925090363012,0.9913550208195927,0.996672351386137,1.595587344288634,1.0,1.0,4398.537236019519,342.33290292988886,61.735606707028204,4297.049070115248,0.0,0.0,0.9954545454545455,0.8,841.4352670404048,0.85,0.985,0.95,1.0,,,,proposed_c2f_adaptive_pd,0.015000000000000003,-0.0010558892294188528,0.03105588922941886,0.20939625850340138,0.12563775510204075,935.0631879293195,561.0379127575915
sense_sinr,1.0,0.9811539940816791,1.0,0.009423002959160431,0.05216666666666667,0.04682116173255461,0.058085270175975416,0.005632054221710404,0.05216666666666667,0.04682116173255461,0.058085270175975416,0.005632054221710404,19296.0,1609.889437197474,32.16000000000001,2.6831490619957896,30.15,2.515452245621053,60.0,0.0,1.0,1.0,860.3,0.5336509152674599,2.437219078940168,0.7001750087219039,0.8784772910606916,0.9889547096188792,0.827164409292384,0.9952769689363201,0.4954040911295555,1.0,1.0,1857624.1011675873,6658.853563688487,201.22963873296942,706174.4463839378,0.0,0.0,1.0,0.85,11393.552166113412,0.9,1.0,1.0,1.0,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,0.051824212271973466,0.03109452736318407,96269.90574044296,57761.94344426576
