experiment,robustness_type,condition_value,comm_error_model,soft_error_sigma_scale,residual_direct_factor,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
robustness,comm_model,erasure,erasure,3.0,0.0001,proposed_lagrangian,0.6506,0.6411988854938196,0.6598854499478769,0.009343282227028626,0.04426327898369511,0.04425,21129.6,29.212402248125816,33.015,0.9997,1.0,430.98,0.38695495381822903,1.3814015162172892,0.27389511919499354,0.35759392699494835,0.8012242256112749,0.5740897531024625,0.63574175357225,-3.7103975347386298,1.0,1.0,7.715197577301142,4.098238078259158,0.2219252493807476,15.4832756988601,0.006,7.013766790073157,0.585,0.6506000000000001,0.627,0.665,0.03079092836589429,0.022271362501238342,0.36513694425361304,0.2641069197859661
robustness,comm_model,erasure,erasure,3.0,0.0001,sense_sinr,0.6408,0.6313441687739332,0.6501476933123278,0.009401762269197311,0.044883465039511856,0.04487,21129.6,42.38811452820277,33.015,0.9997,1.0,430.98,0.39278045833762393,0.9896716042789317,0.2400033802105294,0.2841760683682679,0.7491861196226296,0.5449902610121581,0.5861338801112047,-5.448923310996639,1.0,1.0,6.063312971797966,3.124652477952525,0.21275314344345858,11.374300178683422,0.001,5.416350217143094,0.494,0.6408,0.624,0.656,0.03032712403452976,0.015117445235117646,0.2869582468100658,0.1430427618516451
robustness,comm_model,erasure,erasure,3.0,0.0001,single_best,0.6318,0.6222976725920618,0.641201101718799,0.009451714563368574,0.040633333333333334,0.040633333333333334,6400.0,4.735619035800678,10.0,1.0,1.0,430.98,0.5775280316930966,2.4540601275838667,0.6818993344927433,0.8951302891626998,0.8969813716582478,0.7603098554587866,0.8061885273859375,0.22573301346658456,1.0,1.0,9.896180825046933,3.230415814984229,0.13622134876596906,22.455086554096876,0.001,8.56493382707213,0.497,0.6317999999999999,0.616,0.649,0.09871875,0.13341444808454236,1.5462782539135833,2.089733306297036
robustness,comm_model,erasure,erasure,3.0,0.0001,all_neighbor,0.6646,0.6552846024404319,0.6737889806518874,0.009252189105727782,0.04794,0.04794,275827.2,665.6111917078593,430.98,1.0,1.0,430.98,0.32313412146855786,0.8075716541980015,0.20802849636792461,0.23576396076439754,0.7116439779700551,0.5100413355987397,0.5419290811045542,-6.471923752532332,1.0,1.0,11.381933369185257,4.641962043740417,0.21530652630796085,28.671379782752343,0.006,10.025321481839708,0.568,0.6646,0.635,0.685,0.002409479558216158,0.0009984808072333268,0.04126472432445116,0.01709997294363532
robustness,comm_model,biased,biased,3.0,0.0001,proposed_lagrangian,0.6991,0.6900354176477038,0.7080116685836496,0.008988125467972896,0.044033209962988894,0.04402,19988.48,28.83753207299658,31.232,0.9997,1.0,430.98,0.39397614509905476,1.361010621432746,0.26836318803243603,0.3465243919649546,0.7970243727330588,0.5695838952510037,0.6289062756480106,-3.8256303090643557,1.0,1.0,8.34044485163796,4.746671686561876,0.2862182327708053,16.394629854578547,0.011,7.647543482311519,0.629,0.6990999999999999,0.681,0.721,0.03497514568391394,0.02424271252582797,0.41726258583133685,0.2892218665080546
robustness,comm_model,biased,biased,3.0,0.0001,sense_sinr,0.6993,0.6902370424936713,0.7082098901326909,0.008986423819509759,0.04496348904671402,0.04495,19988.48,39.30201624500975,31.232,0.9997,1.0,430.98,0.3990670144369167,1.0129306820182242,0.2438466560472846,0.2897205353909959,0.7533293870985868,0.5487699626007984,0.5906303673004987,-5.327674667183097,1.0,1.0,6.788196405632439,3.847694725508852,0.2789717031361905,12.63636880986283,0.007,6.14278061870018,0.586,0.6992999999999999,0.687,0.721,0.03498515144723361,0.01779298027970235,0.3396054330110363,0.1727187827544178
robustness,comm_model,biased,biased,3.0,0.0001,single_best,0.6581,0.648743687630253,0.6673348876242773,0.009295599997012127,0.040633333333333334,0.040633333333333334,6400.0,4.735619035800678,10.0,1.0,1.0,430.98,0.5775280316930966,2.4540601275838667,0.6818993344927433,0.8951302891626998,0.8969813716582478,0.7603098554587866,0.8061885273859375,0.22573301346658456,1.0,1.0,10.30479049329526,3.7366638647198442,0.15587893585745194,23.05507022489896,0.001,8.950686385797727,0.528,0.6581,0.646,0.678,0.10282812499999999,0.13896810428052758,1.6101235145773842,2.1760176262896898
robustness,comm_model,biased,biased,3.0,0.0001,all_neighbor,0.7083,0.699312280823921,0.7171277395778414,0.00890772937696016,0.04805333333333334,0.04805333333333334,275827.2,665.6111917078593,430.98,1.0,1.0,430.98,0.32313412146855786,0.8075716541980015,0.20802849636792461,0.23576396076439754,0.7116439779700551,0.5100413355987397,0.5419290811045542,-6.471923752532332,1.0,1.0,13.607083557644861,6.166497773536628,0.29033472598226084,34.155039758590505,0.009,12.079068821557843,0.631,0.7083,0.687,0.727,0.0025679120840874287,0.0010641347513743085,0.04933191345032274,0.020442990933988218
robustness,comm_model,flip,flip,3.0,0.0001,proposed_lagrangian,0.5824,0.5727041570357198,0.5920325577079443,0.00966420033611226,0.04373018257067521,0.043673333333333335,22300.16,23.406258654986228,34.844,0.9987,1.0,430.98,0.38290509821843804,1.5996050788165435,0.37105414842081563,0.48738865186164515,0.8376715181529274,0.6479602955767839,0.7070720857775908,-2.617012659844113,1.0,1.0,6.893875120495364,2.8090111272849154,0.10434109607559809,14.368553150763988,0.002,6.137622254452321,0.461,0.5824,0.564,0.595,0.026116404545976354,0.024882233789889848,0.30914016403897393,0.2945312714053412
robustness,comm_model,flip,flip,3.0,0.0001,sense_sinr,0.5526,0.5428360307759917,0.5623235711113471,0.00974377016767769,0.044467808150595776,0.04441,22300.16,45.86144250035572,34.844,0.9987,1.0,430.98,0.3865236385719959,0.9630186527895165,0.23602929066854267,0.27819457182606483,0.7441841694570424,0.541049087041409,0.581491043009668,-5.592461508953637,1.0,1.0,4.885550066702962,1.6502788507784985,0.07526966039570304,9.726518645990494,0.0,4.223168537232299,0.329,0.5526,0.535,0.576,0.024780091263919182,0.012049337523470044,0.2190813907480019,0.1065284866838863
