trial,arm,receiver,weak_target,kappa_db,kappa_pred_db,cal_err_db,eta_protect,eta_survive,noise_enh_db,protect_dim,candidates,i_in,i_res,i_res_structural,i_res_estimate,i_res_pred,i_res_retained,i_res_pred_estimate,stat_h1,stat_h0,echo_to_direct_db,gate
0,no_ic,5,1,0.0,0.0,0.0,0.5066925110979918,1.0,-inf,0,0,5.968627858895095e-10,5.968627858895095e-10,5.968627858895095e-10,0.0,5.968627858895095e-10,0.0,0.0,2.773172757473892e-12,1.9606399000593837e-12,-6.396041687289711,2.6265226682234746e-13
0,fixed_kappa,5,1,40.0,40.0,0.0,0.5066925110979918,1.0,-inf,0,0,5.968627858895095e-10,5.968627858895093e-14,5.968627858895093e-14,0.0,5.968627858895093e-14,0.0,0.0,1.1244617920726454e-12,1.2862488696880196e-12,-6.396041687289711,2.6265226682234746e-13
0,plain_ls,5,1,31.696675746577114,30.533335088537356,1.16334065803976,0.5066925110979918,0.7864917957241094,-25.941735456751008,0,0,5.968627858895095e-10,4.038377625348515e-13,3.156313563303935e-38,4.038377625348515e-13,5.278870314095493e-13,0.0,5.278870314095493e-13,9.053124099310276e-13,1.333993863299359e-12,-6.396041687289711,2.6265226682234746e-13
0,ridge_ls,5,1,31.5776608571276,30.533335088537356,1.0443257685902458,0.5066925110979918,0.787376362723977,-25.972922512468205,0,0,5.968627858895095e-10,4.150576434448884e-13,1.4109486523117725e-14,4.009481569217707e-13,5.278870314095493e-13,0.0,5.278870314095493e-13,9.080532067123411e-13,1.3287718188604606e-12,-6.396041687289711,2.6265226682234746e-13
0,protected_ls,5,1,6.665233837721736,4.700827074753654,1.9644067629680806,0.5066925110979918,0.8748311307501587,-27.120940783962517,95,0,5.968627858895095e-10,1.286326207212029e-10,1.2832480812046967e-10,3.078126007332209e-13,2.0220495523477907e-10,2.0170134334081027e-10,5.036118939688089e-13,2.750143945706925e-12,1.913692648706032e-12,-6.396041687289711,2.6265226682234746e-13
0,tp_uic_stage1,5,1,6.664990415770799,4.700827074753654,1.9641633410171435,0.5066925110979918,0.8786644299527687,-27.470686391271744,95,0,5.968627858895095e-10,1.286398307785096e-10,1.2835583503328414e-10,2.8399574522544956e-13,2.0220495523477907e-10,2.0170134334081027e-10,5.036118939688089e-13,2.752397239451803e-12,1.9129400172893557e-12,-6.396041687289711,2.6265226682234746e-13
0,tp_uic_full,5,1,19.048571844927938,4.700827074753654,14.347744770174284,0.5066925110979918,1.1385994263868002,-21.70795783882049,95,420,5.968627858895095e-10,7.43048765856072e-12,6.35999254602088e-12,1.0704951125398405e-12,2.0220495523477907e-10,2.0170134334081027e-10,5.036118939688089e-13,1.1361785359355883e-12,1.2798979953735486e-12,-6.396041687289711,2.6265226682234746e-13
0,perfect_channel,5,1,inf,inf,nan,0.5066925110979918,1.0,-inf,0,0,5.968627858895095e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.119997736976911e-12,1.2866857299881521e-12,-6.396041687289711,2.6265226682234746e-13
1,no_ic,5,1,0.0,0.0,0.0,0.1964987307994654,1.0,-inf,0,0,6.029728945858263e-09,6.029728945858263e-09,6.029728945858263e-09,0.0,6.029728945858263e-09,0.0,0.0,3.6014586779369196e-11,2.8084513962902642e-11,-10.560982134431878,3.2282317677377386e-13
1,fixed_kappa,5,1,39.99999999999999,39.99999999999999,0.0,0.1964987307994654,1.0,-inf,0,0,6.029728945858263e-09,6.029728945858268e-13,6.029728945858268e-13,0.0,6.029728945858268e-13,0.0,0.0,7.80165615483249e-12,5.032520011305882e-12,-10.560982134431878,3.2282317677377386e-13
1,plain_ls,5,1,39.472094860916116,40.512420222324764,1.040325361408655,0.1964987307994654,0.8708149708607859,-23.618380482987725,0,0,6.029728945858263e-09,6.809077913580898e-13,9.257306873144289e-39,6.809077913580898e-13,5.358654632974001e-13,0.0,5.358654632974001e-13,6.777457756778017e-12,4.1467425367845675e-12,-10.560982134431878,3.2282317677377386e-13
1,ridge_ls,5,1,39.474671979788674,40.512420222324764,1.037748242536097,0.1964987307994654,0.8708152883308503,-23.622321184235165,0,0,6.029728945858263e-09,6.805038581171179e-13,2.1362864320843859e-16,6.802902294739095e-13,5.358654632974001e-13,0.0,5.358654632974001e-13,6.777493748680922e-12,4.146124417816011e-12,-10.560982134431878,3.2282317677377386e-13
1,protected_ls,5,1,12.675405679792238,13.262531644174736,0.5871259643824982,0.1964987307994654,0.8762672628327689,-23.253363386929248,105,0,6.029728945858263e-09,3.256546034823942e-10,3.249139927294811e-10,7.406107529130868e-13,2.8447534012089385e-10,2.839396218237223e-10,5.35718297171545e-13,1.1707841443856333e-11,7.489116657100687e-12,-10.560982134431878,3.2282317677377386e-13
1,tp_uic_stage1,5,1,12.675415975488047,13.262531644174736,0.5871156686866877,0.1964987307994654,0.8762676374409389,-23.259461501101526,105,0,6.029728945858263e-09,3.2565383146319933e-10,3.249142599036942e-10,7.395715595051578e-13,2.8447534012089385e-10,2.839396218237223e-10,5.35718297171545e-13,1.1709902382315752e-11,7.488183419259918e-12,-10.560982134431878,3.2282317677377386e-13
1,tp_uic_full,5,1,32.47051634801602,13.262531644174736,19.20798470384128,0.1964987307994654,1.2100814239196855,-16.872628520596084,105,420,6.029728945858263e-09,3.4138635210005835e-12,1.9528951193507582e-13,3.2185740090655077e-12,2.8447534012089385e-10,2.839396218237223e-10,5.35718297171545e-13,8.2472701877258e-12,6.738042542891426e-12,-10.560982134431878,3.2282317677377386e-13
1,perfect_channel,5,1,inf,inf,nan,0.1964987307994654,1.0,-inf,0,0,6.029728945858263e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.798828996741704e-12,5.051290877267284e-12,-10.560982134431878,3.2282317677377386e-13
2,no_ic,5,6,0.0,0.0,0.0,0.6312166101992042,1.0,-inf,0,0,1.4607868238165069e-09,1.4607868238165069e-09,1.4607868238165069e-09,0.0,1.4607868238165069e-09,0.0,0.0,3.427335998725674e-13,8.70045974153822e-13,-7.732044040776871,4.1745217571578083e-13
2,fixed_kappa,5,6,39.99999999999999,39.99999999999999,0.0,0.6312166101992042,1.0,-inf,0,0,1.4607868238165069e-09,1.4607868238165092e-13,1.4607868238165092e-13,0.0,1.4607868238165092e-13,0.0,0.0,1.9094789904104348e-13,6.249952353365048e-13,-7.732044040776871,4.1745217571578083e-13
2,plain_ls,5,6,34.618932489554396,34.37791090595702,0.24102158359736797,0.6312166101992042,0.5347674179885954,-24.93583289902424,0,0,1.4607868238165069e-09,5.043053714676621e-13,1.285525109862574e-38,5.043053714676621e-13,5.330841282921984e-13,0.0,5.330841282921984e-13,1.875071905644685e-13,5.441471085304427e-13,-7.732044040776871,4.1745217571578083e-13
2,ridge_ls,5,6,34.65791962776738,34.37791090595702,0.280008721810357,0.6312166101992042,0.5348186081033371,-25.01345368575165,0,0,1.4607868238165069e-09,4.997984214502578e-13,4.4263529684355485e-15,4.953720684818224e-13,5.330841282921984e-13,0.0,5.330841282921984e-13,1.8771232351845156e-13,5.447727692816978e-13,-7.732044040776871,4.1745217571578083e-13
2,protected_ls,5,6,6.145226451925852,5.477338874756797,0.6678875771690547,0.6312166101992042,0.7210164642775397,-24.69414455310916,95,0,1.4607868238165069e-09,3.5486584187265244e-10,3.543326758948986e-10,5.331659777538192e-13,4.138595254461834e-10,4.133805215546926e-10,4.790038914908214e-13,4.2520911309322396e-13,8.854708546319572e-13,-7.732044040776871,4.1745217571578083e-13
2,tp_uic_stage1,5,6,6.146341990616645,5.477338874756797,0.6690031158598474,0.6312166101992042,0.7257321815661643,-25.954852223589686,95,0,1.4607868238165069e-09,3.5477470193053916e-10,3.5437586840135557e-10,3.9883352918358615e-13,4.138595254461834e-10,4.133805215546926e-10,4.790038914908214e-13,4.0089809693558063e-13,8.855888349796834e-13,-7.732044040776871,4.1745217571578083e-13
