chi,failure_scale,hypothesis,mean_exact,mean_empirical,variance_exact,variance_empirical,mean_error_in_standard_errors,relative_variance_error,samples
0.3,0.0,0,0.0,0.001487433551859745,0.5333333333333333,0.5353374574836212,0.9108633070879989,0.0037577327817896883,200000
0.3,0.0,1,0.7999999999999999,0.8000758902505234,2.6933333333333334,2.694444681719712,0.02068025698699157,0.0004126293513782372,200000
0.3,1.0,0,0.0,0.0007336127480519343,1.7777777777777777,1.7872758752321356,0.24606119607068275,0.005342679818076332,200000
0.3,1.0,1,0.7999999999999999,0.8028249830928236,3.9377777777777774,3.9333768378108607,0.636656604822562,0.0011176201947587572,200000
0.3,3.0,0,0.0,-0.0007740288595636927,11.733333333333333,11.802769762119985,0.10105584713618225,0.005917877453407843,200000
0.3,3.0,1,0.7999999999999999,0.8083231687774234,13.89333333333333,13.87122788137825,0.9986204867932247,0.0015910833940797396,200000
0.7,0.0,0,0.0,0.0037541277300622063,1.2444444444444442,1.2535906419520844,1.5049992591514438,0.007349622997210811,200000
0.7,0.0,1,1.8666666666666665,1.8671614315314116,4.293333333333333,4.290563113442977,0.10678654727765395,0.0006452375521014691,200000
0.7,1.0,0,0.0,0.001188641196489643,1.7777777777777777,1.7889993395952968,0.39868237743112894,0.006312128522354493,200000
0.7,1.0,1,1.8666666666666665,1.8659089503319577,4.826666666666666,4.826993010126341,0.15424034715776228,6.761259523657325e-05,200000
0.7,3.0,0,0.0,-0.003942331870655484,6.044444444444445,6.072153346771358,0.7171169432625627,0.004584193399673148,200000
0.7,3.0,1,1.8666666666666665,1.8634039879330515,9.093333333333334,9.090369168521203,0.4838689502027469,0.0003259712036800487,200000
1.0,0.0,0,0.0,0.003644414226848452,1.7777777777777777,1.7854299879152724,1.2223736924100717,0.004304368202340786,200000
1.0,0.0,1,2.6666666666666665,2.66938014434719,4.0,3.986160748201026,0.6067520549079106,0.0034598129497435126,200000
1.0,1.0,0,0.0,0.003644414226848452,1.7777777777777777,1.7854299879152724,1.2223736924100717,0.004304368202340786,200000
1.0,1.0,1,2.6666666666666665,2.66938014434719,4.0,3.986160748201026,0.6067520549079106,0.0034598129497435126,200000
1.0,3.0,0,0.0,0.003644414226848452,1.7777777777777777,1.7854299879152724,1.2223736924100717,0.004304368202340786,200000
1.0,3.0,1,2.6666666666666665,2.66938014434719,4.0,3.986160748201026,0.6067520549079106,0.0034598129497435126,200000
