trial,arm,belief_term,t_h1,thr_h1,det_h1,t_h0,thr_h0,det_h0
0,perfect_channel,0,18.665932955927065,20.66856907571369,0.0,11.669077148906485,20.66856907571369,0.0
0,tp_uic_stage1,0,13.7278357487535,20.66856907571369,0.0,14.98304661029012,20.66856907571369,0.0
0,tp_uic_full,0,18.799870620503906,20.66856907571369,0.0,14.316017348973695,20.66856907571369,0.0
0,perfect_channel,1,11.890663841534334,20.66856907571369,0.0,11.88489295983518,20.66856907571369,0.0
0,tp_uic_stage1,1,12.013205489458256,20.66856907571369,0.0,12.959083534161808,20.66856907571369,0.0
0,tp_uic_full,1,16.612182750905042,20.66856907571369,0.0,10.95856217236221,20.66856907571369,0.0
1,perfect_channel,0,12.52294590564323,20.66856907571369,0.0,12.829218933070116,20.66856907571369,0.0
1,tp_uic_stage1,0,10.269340871705648,20.66856907571369,0.0,16.5779084681941,20.66856907571369,0.0
1,tp_uic_full,0,9.604719801993166,20.66856907571369,0.0,13.552802304501732,20.66856907571369,0.0
1,perfect_channel,1,11.060692310100592,20.66856907571369,0.0,12.978299520642969,20.66856907571369,0.0
1,tp_uic_stage1,1,10.62108389203858,20.66856907571369,0.0,14.488908181737731,20.66856907571369,0.0
1,tp_uic_full,1,10.193840327457924,20.66856907571369,0.0,10.976480043624631,20.66856907571369,0.0
2,perfect_channel,0,7.420990168626016,20.66856907571369,0.0,17.53410529844618,20.66856907571369,0.0
2,tp_uic_stage1,0,8.539030670754464,20.66856907571369,0.0,15.652055970088274,20.66856907571369,0.0
2,tp_uic_full,0,8.604672081982343,20.66856907571369,0.0,17.293892851861745,20.66856907571369,0.0
2,perfect_channel,1,6.641440650941433,20.66856907571369,0.0,16.407203539777804,20.66856907571369,0.0
2,tp_uic_stage1,1,8.900463160433445,20.66856907571369,0.0,13.835713088207509,20.66856907571369,0.0
2,tp_uic_full,1,7.151707121311682,20.66856907571369,0.0,15.43708510864044,20.66856907571369,0.0
3,perfect_channel,0,41.775352220707525,20.66856907571369,1.0,35.16696496618415,20.66856907571369,1.0
3,tp_uic_stage1,0,24.790469718948238,20.66856907571369,1.0,23.139578976223117,20.66856907571369,1.0
3,tp_uic_full,0,22.201826087411707,20.66856907571369,1.0,21.52032439560636,20.66856907571369,1.0
3,perfect_channel,1,41.15717406322656,20.66856907571369,1.0,30.997067701537247,20.66856907571369,1.0
3,tp_uic_stage1,1,26.749519490457192,20.66856907571369,1.0,21.162576727145378,20.66856907571369,1.0
3,tp_uic_full,1,19.233818413043032,20.66856907571369,0.0,17.01717039045987,20.66856907571369,0.0
4,perfect_channel,0,19.911742524402918,20.66856907571369,0.0,15.862021557991234,20.66856907571369,0.0
4,tp_uic_stage1,0,23.09016759645983,20.66856907571369,1.0,16.001163727898998,20.66856907571369,0.0
4,tp_uic_full,0,16.71405676167621,20.66856907571369,0.0,14.06705750631774,20.66856907571369,0.0
4,perfect_channel,1,17.193223764957395,20.66856907571369,0.0,13.450855825334724,20.66856907571369,0.0
4,tp_uic_stage1,1,14.226242171586366,20.66856907571369,0.0,12.21601594314333,20.66856907571369,0.0
4,tp_uic_full,1,12.016613289929555,20.66856907571369,0.0,10.23831905138535,20.66856907571369,0.0
5,perfect_channel,0,26.28434017776386,20.66856907571369,1.0,6.656380992847391,20.66856907571369,0.0
5,tp_uic_stage1,0,23.328566969429673,20.66856907571369,1.0,14.917868533018463,20.66856907571369,0.0
5,tp_uic_full,0,27.409860125164496,20.66856907571369,1.0,5.681499973612043,20.66856907571369,0.0
5,perfect_channel,1,21.076184152509164,20.66856907571369,1.0,6.705480270889405,20.66856907571369,0.0
5,tp_uic_stage1,1,20.94889757083428,20.66856907571369,1.0,14.35217757268005,20.66856907571369,0.0
5,tp_uic_full,1,22.732205812894534,20.66856907571369,1.0,5.34462948660947,20.66856907571369,0.0
6,perfect_channel,0,41.32104350350381,20.66856907571369,1.0,25.53866573426297,20.66856907571369,1.0
6,tp_uic_stage1,0,28.031387195950135,20.66856907571369,1.0,27.604741867491423,20.66856907571369,1.0
6,tp_uic_full,0,28.75982148341467,20.66856907571369,1.0,26.23455803991812,20.66856907571369,1.0
6,perfect_channel,1,16.087806584686472,20.66856907571369,0.0,11.7591055105404,20.66856907571369,0.0
6,tp_uic_stage1,1,16.923845834164858,20.66856907571369,0.0,11.934424211029139,20.66856907571369,0.0
6,tp_uic_full,1,20.306851216281665,20.66856907571369,0.0,14.737256819914155,20.66856907571369,0.0
7,perfect_channel,0,7.935030968015508,20.66856907571369,0.0,15.87822120043545,20.66856907571369,0.0
