m_rx,trial,receiver,weak_target,arm,realisation,t_h1,t_h0,dT,covariance_protection
4,100,0,1,hard,0,3.263666440966465,5.33044187575749,-2.066775434791025,False
4,100,0,1,hard,1,6.3951361045090875,2.8169459273995034,3.578190177109584,False
4,100,0,1,hard,2,4.146122619060792,4.769624993811209,-0.6235023747504167,False
4,100,0,1,hard,3,2.284057499479026,1.854123834828739,0.42993366465028693,False
4,100,0,1,hard,4,3.3362220701857,12.178790643222873,-8.842568573037173,False
4,100,0,1,hard,5,3.411914177474844,9.554394698784836,-6.1424805213099924,False
4,100,0,1,hard,6,8.862400553167916,2.141056761800966,6.72134379136695,False
4,100,0,1,hard,7,4.403036219977878,5.35577577257232,-0.9527395525944424,False
4,100,0,1,adaptive,0,3.363663706362726,5.369930267564104,-2.0062665612013784,False
4,100,0,1,adaptive,1,6.405202966188467,2.803781312057154,3.601421654131313,False
4,100,0,1,adaptive,2,4.153453671850809,4.72990189697879,-0.5764482251279812,False
4,100,0,1,adaptive,3,2.317709301513991,1.8566755513958533,0.46103375011813763,False
4,100,0,1,adaptive,4,3.3213445969773896,12.196094829506695,-8.874750232529305,False
4,100,0,1,adaptive,5,3.4408929457932613,9.50377643118816,-6.062883485394898,False
4,100,0,1,adaptive,6,8.886537835185747,2.200213340523905,6.686324494661842,False
4,100,0,1,adaptive,7,4.290835082515664,5.379588871990293,-1.0887537894746293,False
4,100,1,0,hard,0,6.928188839581708,4.006839524820157,2.9213493147615504,False
4,100,1,0,hard,1,2.6884239161253305,6.891772294623398,-4.203348378498068,False
4,100,1,0,hard,2,5.840313569634434,3.5619315883713267,2.278381981263107,False
4,100,1,0,hard,3,8.361186390030902,4.3730299609386885,3.9881564290922134,False
4,100,1,0,hard,4,5.941365351246379,6.470761018013288,-0.5293956667669093,False
4,100,1,0,hard,5,4.553752973156813,2.216370699363764,2.337382273793049,False
4,100,1,0,hard,6,9.138984506143887,6.928498527537966,2.210485978605921,False
