model,comm_error_model,coarse_rounds,fine_rounds,utility_first,utility_final,rounds_to_99pct,rounds_to_999pct,rounds_to_90pct,score_evaluations,coordination_messages,fine_eval_full,fine_eval_c2f,select_seconds,dist_coarse_rounds,dist_bid_rounds,dist_rounds_to_99pct,dist_score_evaluations,dist_coordination_messages,dist_select_seconds,central_pd,central_mean_target_pd,central_reports,central_observations,central_delay_ms,central_bits,distributed_pd,distributed_mean_target_pd,distributed_reports,distributed_observations,distributed_delay_ms,distributed_bits,area_m,rcs_m2,trial
full_concurrent,gaussian_replacement,52.0,51.0,-6.472232894171622,-2.3921911552035193,41,49,21,29970.0,29970.0,1064.0,177.0,3.2716461000964046,52.0,104.0,41,29970.0,821.0,3.301799999899231,0.6,0.6,5.0,51.0,5.333333333333334,3200.0,0.6,0.6,5.0,51.0,5.333333333333334,3200.0,400.0,0.05,4
orthogonal,gaussian_replacement,56.0,55.0,-6.472232894171622,-3.7019648113656287,50,55,29,34289.0,34289.0,1022.0,186.0,3.546704199980013,56.0,112.0,50,34289.0,894.0,3.540138899930753,0.2,0.2,8.0,55.0,8.533333333333335,5120.0,0.2,0.2,8.0,55.0,8.533333333333335,5120.0,400.0,0.05,5
active_set,gaussian_replacement,56.0,55.0,-6.472232894171622,-3.7019648113656287,50,55,29,33765.0,33765.0,1022.0,186.0,3.566777400090359,56.0,112.0,50,33765.0,872.0,3.576595999998972,0.2,0.2,8.0,55.0,8.533333333333335,5120.0,0.2,0.2,8.0,55.0,8.533333333333335,5120.0,400.0,0.05,5
full_concurrent,gaussian_replacement,56.0,55.0,-6.472232894171622,-3.7019648113656287,50,55,29,33765.0,33765.0,1022.0,186.0,3.6658050999976695,56.0,112.0,50,33765.0,872.0,3.6611567999934778,0.2,0.2,8.0,55.0,8.533333333333335,5120.0,0.2,0.2,8.0,55.0,8.533333333333335,5120.0,400.0,0.05,5
orthogonal,gaussian_replacement,49.0,48.0,-6.472232894171622,-3.425196963235516,36,45,14,21936.0,21936.0,812.0,177.0,2.323764199973084,49.0,98.0,36,21936.0,776.0,2.3035074999788776,0.4,0.4,8.0,48.0,8.533333333333335,5120.0,0.4,0.4,8.0,48.0,8.533333333333335,5120.0,400.0,0.05,6
active_set,gaussian_replacement,49.0,49.0,-6.472232894171622,-3.425196963235516,36,45,14,22100.0,22100.0,812.0,177.0,2.41751599998679,49.0,99.0,36,22100.0,788.0,2.464792500017211,0.4,0.4,8.0,49.0,8.533333333333335,5120.0,0.4,0.4,8.0,49.0,8.533333333333335,5120.0,400.0,0.05,6
full_concurrent,gaussian_replacement,49.0,49.0,-6.472232894171622,-3.425196963235516,36,45,14,22100.0,22100.0,812.0,177.0,2.435615999973379,49.0,99.0,36,22100.0,788.0,2.456886100000702,0.4,0.4,8.0,49.0,8.533333333333335,5120.0,0.4,0.4,8.0,49.0,8.533333333333335,5120.0,400.0,0.05,6
orthogonal,gaussian_replacement,47.0,42.0,-6.472232894171622,-2.9637593328603007,37,42,18,25933.0,25933.0,1274.0,162.0,2.959775199997239,47.0,90.0,37,25933.0,749.0,2.933439900050871,0.4,0.4,8.0,42.0,8.533333333333335,5120.0,0.4,0.4,8.0,42.0,8.533333333333335,5120.0,400.0,0.05,7
active_set,gaussian_replacement,47.0,44.0,-6.472232894171622,-2.9637593328603007,37,42,18,24875.0,24875.0,1274.0,162.0,2.848883799975738,47.0,92.0,37,24875.0,720.0,2.8548061000183225,0.3,0.3,1.0,44.0,1.0666666666666667,640.0,0.3,0.3,1.0,44.0,1.0666666666666667,640.0,400.0,0.05,7
full_concurrent,gaussian_replacement,47.0,44.0,-6.472232894171622,-2.9637593328603007,37,42,18,24875.0,24875.0,1274.0,162.0,2.8267933001043275,47.0,92.0,37,24875.0,720.0,2.8364086999790743,0.3,0.3,1.0,44.0,1.0666666666666667,640.0,0.3,0.3,1.0,44.0,1.0666666666666667,640.0,400.0,0.05,7
orthogonal,gaussian_replacement,41.0,40.0,-6.472232894171622,-3.1693068327113734,30,38,12,29697.0,29697.0,1008.0,129.0,2.0924800999928266,41.0,82.0,30,29697.0,647.0,2.0685180000727996,0.3,0.3,8.0,40.0,8.533333333333335,5120.0,0.3,0.3,8.0,40.0,8.533333333333335,5120.0,600.0,0.05,0
active_set,gaussian_replacement,41.0,35.0,-6.472232894171622,-3.1693068327113734,30,38,12,28926.0,28926.0,1008.0,129.0,1.9599457000149414,41.0,77.0,30,28926.0,605.0,1.9913018000079319,0.3,0.3,3.0,35.0,3.2,1920.0,0.3,0.3,3.0,35.0,3.2,1920.0,600.0,0.05,0
full_concurrent,gaussian_replacement,41.0,35.0,-6.472232894171622,-3.1693068327113734,30,38,12,28926.0,28926.0,1008.0,129.0,1.9868826000019908,41.0,77.0,30,28926.0,605.0,1.9718455999391153,0.3,0.3,3.0,35.0,3.2,1920.0,0.3,0.3,3.0,35.0,3.2,1920.0,600.0,0.05,0
orthogonal,gaussian_replacement,57.0,52.0,-6.4722479170187786,-3.339227329902859,43,50,22,52866.0,52866.0,1022.0,200.0,3.7118572000181302,57.0,110.0,43,52866.0,871.0,3.7482515999581665,0.5,0.5,4.0,52.0,4.266666666666667,2560.0,0.5,0.5,4.0,52.0,4.266666666666667,2560.0,600.0,0.05,1
active_set,gaussian_replacement,57.0,55.0,-6.4722479170187786,-3.339227329902859,43,50,22,51857.0,51857.0,1022.0,200.0,3.7908098999178037,57.0,113.0,43,51857.0,892.0,3.7136388000799343,0.4,0.4,1.0,55.0,1.0666666666666667,640.0,0.4,0.4,1.0,55.0,1.0666666666666667,640.0,600.0,0.05,1
full_concurrent,gaussian_replacement,57.0,55.0,-6.4722479170187786,-3.339227329902859,43,50,22,51857.0,51857.0,1022.0,200.0,3.660562700009905,57.0,113.0,43,51857.0,892.0,3.6601239000447094,0.4,0.4,1.0,55.0,1.0666666666666667,640.0,0.4,0.4,1.0,55.0,1.0666666666666667,640.0,600.0,0.05,1
orthogonal,gaussian_replacement,48.0,46.0,-6.472232894171622,-2.743252681828335,33,44,14,23424.0,23424.0,994.0,180.0,2.5573269999586046,48.0,95.0,33,23424.0,739.0,2.5549378000432625,0.3,0.3,8.0,46.0,8.533333333333335,5120.0,0.3,0.3,8.0,46.0,8.533333333333335,5120.0,600.0,0.05,2
active_set,gaussian_replacement,48.0,45.0,-6.472232894171622,-2.743252681828335,33,44,14,22826.0,22826.0,994.0,180.0,2.6470727999694645,48.0,94.0,33,22826.0,744.0,2.6142647999804467,0.3,0.3,3.0,45.0,3.2,1920.0,0.3,0.3,3.0,45.0,3.2,1920.0,600.0,0.05,2
full_concurrent,gaussian_replacement,48.0,45.0,-6.472232894171622,-2.743252681828335,33,44,14,22826.0,22826.0,994.0,180.0,2.5542804000433534,48.0,94.0,33,22826.0,744.0,2.598766600014642,0.3,0.3,3.0,45.0,3.2,1920.0,0.3,0.3,3.0,45.0,3.2,1920.0,600.0,0.05,2
orthogonal,gaussian_replacement,45.0,41.0,-6.472232894171622,-2.2519866009239764,36,41,16,37453.0,37453.0,1274.0,174.0,2.8689683999400586,45.0,87.0,36,37453.0,724.0,2.882622400065884,0.6,0.6,8.0,41.0,8.533333333333335,5120.0,0.6,0.6,8.0,41.0,8.533333333333335,5120.0,600.0,0.05,3
active_set,gaussian_replacement,45.0,43.0,-6.472232894171622,-2.2519866009239764,36,41,16,36689.0,36689.0,1274.0,174.0,2.9745243000797927,45.0,89.0,36,36689.0,743.0,3.0529234999557957,0.5,0.5,2.0,43.0,2.1333333333333333,1280.0,0.5,0.5,2.0,43.0,2.1333333333333333,1280.0,600.0,0.05,3
full_concurrent,gaussian_replacement,45.0,43.0,-6.472232894171622,-2.2519866009239764,36,41,16,36689.0,36689.0,1274.0,174.0,3.039479299914092,45.0,89.0,36,36689.0,743.0,2.9708655000431463,0.5,0.5,2.0,43.0,2.1333333333333333,1280.0,0.5,0.5,2.0,43.0,2.1333333333333333,1280.0,600.0,0.05,3
orthogonal,gaussian_replacement,49.0,42.0,-6.472232894171622,-2.305378206786006,33,43,16,22933.0,22933.0,1078.0,163.0,2.460860399994999,49.0,92.0,33,22933.0,723.0,2.4162822000216693,0.5,0.5,8.0,42.0,8.533333333333335,5120.0,0.5,0.5,8.0,42.0,8.533333333333335,5120.0,600.0,0.05,4
active_set,gaussian_replacement,49.0,44.0,-6.472232894171622,-2.305378206786006,33,43,16,22866.0,22866.0,1078.0,163.0,2.7082468000007793,49.0,94.0,33,22866.0,721.0,2.7235570000484586,0.4,0.4,6.0,44.0,6.400000000000001,3840.0,0.4,0.4,6.0,44.0,6.400000000000001,3840.0,600.0,0.05,4
full_concurrent,gaussian_replacement,49.0,44.0,-6.472232894171622,-2.305378206786006,33,43,16,22866.0,22866.0,1078.0,163.0,2.7064129000063986,49.0,94.0,33,22866.0,721.0,2.7151775000384077,0.4,0.4,6.0,44.0,6.400000000000001,3840.0,0.4,0.4,6.0,44.0,6.400000000000001,3840.0,600.0,0.05,4
orthogonal,gaussian_replacement,56.0,55.0,-6.472232894171622,-3.8428638965993285,49,55,25,27650.0,27650.0,1050.0,185.0,3.380609399988316,56.0,112.0,49,27650.0,876.0,3.4413593999342993,0.1,0.1,8.0,55.0,8.533333333333335,5120.0,0.1,0.1,8.0,55.0,8.533333333333335,5120.0,600.0,0.05,5
active_set,gaussian_replacement,56.0,50.0,-6.472232894171622,-3.8428638965993285,49,55,25,27215.0,27215.0,1050.0,185.0,3.3822457999922335,56.0,107.0,49,27215.0,853.0,3.379111299989745,0.2,0.2,6.0,50.0,6.400000000000001,3840.0,0.2,0.2,6.0,50.0,6.400000000000001,3840.0,600.0,0.05,5
full_concurrent,gaussian_replacement,56.0,50.0,-6.472232894171622,-3.8428638965993285,49,55,25,27215.0,27215.0,1050.0,185.0,3.334916100022383,56.0,107.0,49,27215.0,853.0,3.4182963999919593,0.2,0.2,6.0,50.0,6.400000000000001,3840.0,0.2,0.2,6.0,50.0,6.400000000000001,3840.0,600.0,0.05,5
orthogonal,gaussian_replacement,53.0,49.0,-6.472232894171622,-3.343439581987568,40,50,14,22553.0,22553.0,924.0,169.0,2.5939386000391096,53.0,103.0,40,22553.0,823.0,2.5543395000277087,0.4,0.4,8.0,49.0,8.533333333333335,5120.0,0.4,0.4,8.0,49.0,8.533333333333335,5120.0,600.0,0.05,6
active_set,gaussian_replacement,53.0,53.0,-6.472232894171622,-3.343439581987568,40,50,14,22929.0,22929.0,924.0,169.0,2.953590900055133,53.0,107.0,40,22929.0,859.0,3.047357099945657,0.5,0.5,5.0,53.0,5.333333333333334,3200.0,0.5,0.5,5.0,53.0,5.333333333333334,3200.0,600.0,0.05,6
full_concurrent,gaussian_replacement,53.0,53.0,-6.472232894171622,-3.343439581987568,40,50,14,22929.0,22929.0,924.0,169.0,3.034363399958238,53.0,107.0,40,22929.0,859.0,3.454101899988018,0.5,0.5,5.0,53.0,5.333333333333334,3200.0,0.5,0.5,5.0,53.0,5.333333333333334,3200.0,600.0,0.05,6
orthogonal,gaussian_replacement,48.0,46.0,-6.472232894171622,-2.845775542062598,37,45,16,37577.0,37577.0,1204.0,197.0,3.607731300056912,48.0,95.0,37,37577.0,772.0,3.5805215999716893,0.5,0.5,8.0,46.0,8.533333333333335,5120.0,0.5,0.5,8.0,46.0,8.533333333333335,5120.0,600.0,0.05,7
active_set,gaussian_replacement,48.0,42.0,-6.472232894171622,-2.845775542062598,37,45,16,35454.0,35454.0,1204.0,197.0,3.0954935000045225,48.0,91.0,37,35454.0,743.0,3.056194799952209,0.3,0.3,3.0,42.0,3.2,1920.0,0.3,0.3,3.0,42.0,3.2,1920.0,600.0,0.05,7
full_concurrent,gaussian_replacement,48.0,42.0,-6.472232894171622,-2.845775542062598,37,45,16,35454.0,35454.0,1204.0,197.0,3.0866621000459418,48.0,91.0,37,35454.0,743.0,3.046471399953589,0.3,0.3,3.0,42.0,3.2,1920.0,0.3,0.3,3.0,42.0,3.2,1920.0,600.0,0.05,7
