model,power_status,power_seconds,power_table_builds,power_accepts,power_trace_len,power_trace,power_deltas,power_gain,power_epochs_with_change,area_m,rcs_m2,trial
orthogonal,ok,23.025844200048596,188.0,16.0,21.0,"[-3.0344638612510595, -3.0327085935762716, -3.0272302667750632, -3.019543543557741, -3.000911710689757, -2.967599417339874, -2.956914396498781, -2.908507072558214, -2.8951352382540954, -2.891222082286366, -2.861667264664047, -2.8200465689709056, -2.795853863209128, -2.794517412985514, -2.78622223897714, -2.6415533445659967, -2.6155073388841346, -2.594574693571266, -2.5917035463615465, -2.5376674371649863, -2.5083083144670697]","[0.0017552676747878415, 0.005478326801208411, 0.007686723217322111, 0.018631832867983977, 0.03331229334988306, 0.010685020841092907, 0.04840732394056735, 0.01337183430411848, 0.003913155967729232, 0.029554817622319263, 0.04162069569314131, 0.024192705761777678, 0.0013364502236137277, 0.008295174008374318, 0.14466889441114317, 0.026046005681862106, 0.020932645312868647, 0.0028711472097193713, 0.05403610919656021, 0.02935912269791663]",0.5261555467839898,19.0,400.0,0.05,0
orthogonal,ok,20.95376349997241,188.0,14.0,17.0,"[-2.950992554512231, -2.947688529864997, -2.9208510468658977, -2.9207524547480013, -2.9148546311089327, -2.899043282492626, -2.8908524975093273, -2.8684275652310425, -2.844503784509674, -2.8343194891550962, -2.832925168157065, -2.8257427592524316, -2.7382315216674673, -2.730559534373613, -2.7097076783574754, -2.7068066962854553, -2.6822341407920978]","[0.003304024647234005, 0.026837482999099382, 9.85921178964233e-05, 0.0058978236390685446, 0.01581134861630673, 0.008190784983298727, 0.022424932278284793, 0.02392378072136836, 0.010184295354577877, 0.0013943209980311622, 0.007182408904633508, 0.08751123758496426, 0.007671987293854432, 0.020851856016137482, 0.002900982072020053, 0.024572555493357573]",0.2687584137201333,15.0,600.0,0.05,0
