split,scene_id,max_h0,max_h1,logmeanexp_h0,logmeanexp_h1
train,0,5.920203439180572,11.185385265940756,5.286076814469018,10.199946607090894
train,1,6.351056733973439,9.204917406073148,5.403289127749182,7.533856828777617
train,2,5.380616846105085,6.272531930406377,4.205680962819505,5.49128096523412
train,3,9.908970971304647,4.104529110741339,8.808941952878376,2.6666623691068994
train,4,5.565509331173393,5.9779230998335295,4.6350039674556385,4.879036557330767
train,5,6.888221663784394,9.705352639014045,5.6025826739615905,8.982217043360823
train,6,5.294818646255376,5.973986908032221,4.080053558854926,5.189661504931765
train,7,7.400363077985039,4.0876687475871645,5.633480264165169,3.3182472370684417
train,8,9.763498228703085,9.306791235060178,8.51805777546966,7.913793916734546
train,9,5.240887519212161,11.172312361159202,3.6356776978872363,10.081091678845963
train,10,7.005404077036407,12.428685521207633,5.601983782962561,10.858566484100868
train,11,9.17842044867624,9.460963339120939,8.057152342825912,7.930979563024004
train,12,9.81256695124499,9.519487420486128,9.112626911941867,8.133794234435559
train,13,6.3912970117202565,13.654155138592756,5.885153127079246,12.318834396561748
train,14,12.421457130811033,7.035862773047871,10.82565441027138,5.507801541634192
train,15,7.649476620386096,9.065231034001874,6.6846997588359525,7.904947291089156
train,16,6.611206834514282,30.996059996784663,5.873588626947694,28.92884368622978
train,17,8.362626742286723,8.866866191357603,6.912565500690494,7.231064701545145
train,18,10.43873543850441,10.422332213389215,9.746786897609187,9.801895974209726
train,19,9.785849378727146,15.985281006988505,8.745309892634284,14.251957937178808
calibration,20,4.333496491274544,9.661988798710542,3.7154676625902616,8.714899013850319
calibration,21,6.088894861909255,7.45920490986393,5.511223236271831,6.530148661750572
calibration,22,11.276733959245655,13.338677423312205,9.3494336542312,12.236549492314321
calibration,23,5.700546722367407,6.735350162800254,5.093477208641208,5.108795752912821
calibration,24,7.163883809340226,10.676271992469301,5.704772506164275,9.021918662908291
calibration,25,6.97977625310361,9.394904948067797,6.112371937058309,7.723932270028594
calibration,26,10.053392182303934,9.604090419953174,8.260168003370248,8.736408747080405
calibration,27,8.588167074641895,4.3437480293828505,7.818752646923701,3.0895261365580096
calibration,28,6.778634878828431,5.648746098130031,5.622265398576034,5.104943870412447
calibration,29,6.111323545856213,5.857992014021871,5.033665556628612,5.1674522193415875
calibration,30,6.019615602335809,8.179137857210987,5.246269482300298,6.721384642810899
