trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,t_h0,thr_h0,det_h0,dof_h0
0,no_ic,8,8,2.14762660599707e-13,12.033840419046744,20.66856907571369,0,28,0.0,1.0,2.9284072167963237e-06,8.523799133545448e-12,3.024614565379968e-13,7.065638320425618e-06,5.311399808866025e-06,11.178789519848086,14.118853965124872,20.66856907571369,0,28
0,fixed_kappa,8,8,2.14762660599707e-13,12.007976697224217,20.66856907571369,0,28,39.99999999999999,1.0,3.512890145162901e-06,9.423657023288727e-12,3.5644254846477525e-13,8.574836218453414e-06,6.732654811607936e-06,1.0010178789519852,11.796906944081723,20.66856907571369,0,28
0,plain_ls,8,8,2.14762660599707e-13,17.26763197715267,20.66856907571369,0,28,31.751813658162536,0.43637343542972795,1.4242118553409475e-06,4.698853867304626e-12,1.0256010155833894e-13,3.4351075220258696e-06,2.617755135987015e-06,0.9999999999999962,13.663696206596487,20.66856907571369,0,28
0,ridge_ls,8,8,2.14762660599707e-13,12.909245930209245,20.66856907571369,0,28,31.797741613214967,0.4368792208646957,2.5516125077781632e-06,7.441922031719856e-12,2.0340584085107184e-13,6.1544007896234435e-06,4.808696666230733e-06,0.9999999999999973,13.380815060978259,20.66856907571369,0,28
0,protected_ls,8,8,2.14762660599707e-13,15.385133866606854,20.66856907571369,0,28,7.4980484985881555,0.5561562060856948,4.889062598821472e-07,5.351393858795038e-12,2.6561948620949014e-13,1.149678335046525e-06,8.329637381189453e-07,1.9999999999998201,11.038759227565675,20.66856907571369,0,28
0,tp_uic_stage1,8,8,2.14762660599707e-13,14.092343598711665,20.66856907571369,0,28,7.498214773315319,0.5575119834246574,5.372834658921151e-07,5.7452037573843665e-12,2.6962388346075326e-13,1.263623320957282e-06,8.666035741357964e-07,1.5745854396048533,11.327006877535375,20.66856907571369,0,28
0,tp_uic_full,8,8,2.14762660599707e-13,12.366920694773967,20.66856907571369,0,28,23.122993824011665,0.7731559089504463,2.229296355906879e-06,7.293593433116856e-12,2.3732867173075377e-13,5.378520226956001e-06,4.168181070689126e-06,1.0000383471583931,12.519156362484985,20.66856907571369,0,28
0,perfect_channel,8,8,2.14762660599707e-13,12.12800965151812,20.66856907571369,0,28,inf,1.0,3.514934150980706e-06,9.426109971467518e-12,3.5648904625412066e-13,8.586726102377875e-06,6.744040689272539e-06,1.0,11.87727421422238,20.66856907571369,0,28
1,no_ic,5,5,2.982795285253295e-13,62.30552541515255,20.66856907571369,1,28,0.0,1.0,0.00040732310015394055,9.260124060381066e-10,7.168643701158339e-12,0.0032214810650628214,0.0022572210317578704,13.754786443097856,61.8348346633133,20.66856907571369,1,28
1,fixed_kappa,5,5,2.982795285253295e-13,93.65981417730518,20.66856907571369,1,28,39.99999999999999,1.0,0.0013647675639191187,2.0948527612781867e-09,1.104387568002764e-11,0.011090580449149408,0.00926720522815283,1.0012754786443105,102.4931087937029,20.66856907571369,1,28
1,plain_ls,5,5,2.982795285253295e-13,29.212920582761758,20.66856907571369,1,28,37.46852169261331,0.5576715113468683,0.00031068978400548153,3.130731373929289e-10,4.271389754665357e-12,0.0024565156848423858,0.0020014467080501416,0.9999999999999979,26.85917153076973,20.66856907571369,1,28
1,ridge_ls,5,5,2.982795285253295e-13,37.73479079224635,20.66856907571369,1,28,37.49304621811997,0.5577550882799078,0.0003185615584097102,4.726496997814752e-10,4.541744591108236e-12,0.00251877006825792,0.0020432976808513435,0.9999999999999972,32.77559941471911,20.66856907571369,1,28
1,protected_ls,5,5,2.982795285253295e-13,52.68162034560616,20.66856907571369,1,28,10.434312991148555,0.6774015841707672,0.0003716255399365537,5.605524358529783e-10,5.345946063201929e-12,0.002482012037142295,0.0018373648140687698,1.0377600774012188,45.08019578267478,20.66856907571369,1,28
1,tp_uic_stage1,5,5,2.982795285253295e-13,53.916573576476615,20.66856907571369,1,28,10.434350997762003,0.6774942084992904,0.0003751365274233996,5.894180374165003e-10,5.812514011030557e-12,0.002506053662308466,0.0018461587628897384,1.0371370730475533,46.11607058316655,20.66856907571369,1,28
1,tp_uic_full,5,5,2.982795285253295e-13,87.31126419079136,20.66856907571369,1,28,27.55771252540091,0.8155587213147433,0.00038644810480360054,7.579068318825411e-10,5.585350662916247e-12,0.003004699459684035,0.002214436111014885,1.000000027370763,65.17311577280141,20.66856907571369,1,28
1,perfect_channel,5,5,2.982795285253295e-13,96.59760618884116,20.66856907571369,1,28,inf,1.0,0.001388561812397,2.1441263589293223e-09,1.1656271037327917e-11,0.011346134403530673,0.009489666548255286,1.0,102.78078414221366,20.66856907571369,1,28
2,no_ic,8,8,3.598890258895591e-13,19.875608449180636,20.66856907571369,0,28,0.0,1.0,0.00011381829665752186,4.362968875820241e-09,9.460784029476918e-11,0.00033070628380603873,0.0003186425097853629,12.695183361267283,14.50174638050936,20.66856907571369,0,28
2,fixed_kappa,8,8,3.598890258895591e-13,19.760839514977725,20.66856907571369,0,28,39.99999999999999,1.0,0.00011884741105625476,7.168396472965499e-09,1.2352179515080884e-10,0.00034955849228918574,0.00033420443904458216,1.0011695183361262,12.430345900743207,20.66856907571369,0,28
2,plain_ls,8,8,3.598890258895591e-13,11.041513232448215,20.66856907571369,0,28,36.45968382119486,0.7780352233125,0.00010662164417310282,3.2378225043887518e-09,7.253178485571241e-11,0.0003097720440845803,0.0002994602497050365,0.9999999999999976,13.96930348659205,20.66856907571369,0,28
2,ridge_ls,8,8,3.598890258895591e-13,14.748958735513273,20.66856907571369,0,28,36.47033996463167,0.7780395597320445,0.00010807108424436671,3.5610777619044595e-09,8.013835964730202e-11,0.00031398360748533373,0.0003028646532232963,0.9999999999999977,17.46929626847252,20.66856907571369,0,28
2,protected_ls,8,8,3.598890258895591e-13,18.709121978564482,20.66856907571369,0,28,4.805787328999265,0.9008225621763708,4.838438041188245e-05,2.0385992166171678e-09,6.452145592242549e-11,0.00013914720728666903,0.0001363317565146973,1.3864445232885922,20.810082540010335,20.66856907571369,1,28
2,tp_uic_stage1,8,8,3.598890258895591e-13,17.666265021481404,20.66856907571369,0,28,4.806627062138562,0.9014862488855795,5.1961094109959015e-05,2.3845096171737476e-09,7.43597415780128e-11,0.00014943845956510968,0.00014605481382108765,1.3033480813568257,18.745202933443196,20.66856907571369,0,28
2,tp_uic_full,8,8,3.598890258895591e-13,14.493345072319425,20.66856907571369,0,28,28.85733099910656,0.8729709208645465,9.997084486731323e-05,3.6190528863349543e-09,8.638787403969857e-11,0.0002930366021088557,0.0002822950777209856,1.0000008781449783,17.697922537992234,20.66856907571369,0,28
2,perfect_channel,8,8,3.598890258895591e-13,18.900338935071865,20.66856907571369,0,28,inf,1.0,0.00011926799952899405,7.192298947181965e-09,1.240485973294393e-10,0.00035113273468797163,0.00033569089344128724,1.0,12.772389466635085,20.66856907571369,0,28
3,no_ic,8,8,4.1877253711577667e-13,24.827113075035836,20.66856907571369,1,28,0.0,1.0,4.40589679914419e-05,9.314773145836789e-12,8.178589663125865e-13,0.0002752463970812585,0.00024186929600797518,20.486173705883406,28.447071133361966,20.66856907571369,1,28
3,fixed_kappa,8,8,4.1877253711577667e-13,22.891483326366213,20.66856907571369,1,28,39.99999999999999,1.0,4.4847332865969996e-05,9.432661387451717e-12,8.56912411631027e-13,0.00029215681221188733,0.0002577399544839938,1.0019486173705892,25.548240196647143,20.66856907571369,1,28
3,plain_ls,8,8,4.1877253711577667e-13,22.022865194110032,20.66856907571369,1,28,36.88964043794496,0.6950142982640497,3.0372872436744125e-05,1.7110688462326332e-12,1.8525490555831679e-13,0.00018967516744134127,0.00016267666198230198,0.9999999999999976,26.880938540938395,20.66856907571369,1,28
3,ridge_ls,8,8,4.1877253711577667e-13,20.578704569726508,20.66856907571369,0,28,36.888556864582725,0.6950537356188092,3.880175738165318e-05,6.686140133848984e-12,7.663881434231431e-13,0.00024231367398566174,0.00021022994323685005,0.999999999999999,25.348956934301434,20.66856907571369,1,28
3,protected_ls,8,8,4.1877253711577667e-13,25.494427706030542,20.66856907571369,1,28,5.067997325447448,0.8116873241762895,1.7170595399954037e-05,8.532305625131033e-12,6.592564559955037e-13,0.00010080084589845527,8.75439944003773e-05,1.9999999999998694,33.90528157818635,20.66856907571369,1,28
3,tp_uic_stage1,8,8,4.1877253711577667e-13,24.099655605098036,20.66856907571369,1,28,5.068465621983295,0.8155752011282478,2.9793051240640238e-05,8.64996048592076e-12,7.822981461240643e-13,0.0001749496687795139,0.00015509154707203315,1.1915229335814346,28.798017210377516,20.66856907571369,1,28
3,tp_uic_full,8,8,4.1877253711577667e-13,24.788900939574503,20.66856907571369,1,28,28.847259776102966,0.8245738837482655,4.06781194436076e-05,8.25773796863266e-12,7.608437313810933e-13,0.00026312221688352716,0.00023088628441386884,1.000001728086163,26.56188460479658,20.66856907571369,1,28
3,perfect_channel,8,8,4.1877253711577667e-13,22.773102334859328,20.66856907571369,1,28,inf,1.0,4.5199224973358436e-05,9.571284467054182e-12,8.677934631921991e-13,0.0002953084811596319,0.00026085146463026285,1.0,25.586642378840132,20.66856907571369,1,28
4,no_ic,5,5,4.790846925835119e-13,20.03932932173717,20.66856907571369,0,28,0.0,1.0,0.0002406660398076348,2.151643935908904e-12,1.4968663103047623e-13,0.001976638300127904,0.0019703530384311135,19.294524867396646,29.181588391767775,20.66856907571369,1,28
4,fixed_kappa,5,5,4.790846925835119e-13,23.638383695296437,20.66856907571369,1,28,40.000000000000014,1.0,0.000308949409439123,3.113692864645e-12,2.468274983675344e-13,0.002603791302646566,0.0025957438625985943,1.0018294524867395,30.667374486234934,20.66856907571369,1,28
4,plain_ls,5,5,4.790846925835119e-13,16.147694869582406,20.66856907571369,0,28,36.73767422975604,0.7428199060829651,0.00020082174066303926,1.41459878888833e-12,6.503622089356888e-14,0.0016491205419070965,0.0016455312204264334,0.9999999999999973,18.744642188651873,20.66856907571369,0,28
4,ridge_ls,5,5,4.790846925835119e-13,16.846337954938726,20.66856907571369,0,28,36.80225370080021,0.7428517590746178,0.000210436026772938,1.6724129474690018e-12,8.059627214041014e-14,0.0017280773865847195,0.001722831597260111,0.9999999999999979,21.98859912198356,20.66856907571369,1,28
4,protected_ls,5,5,4.790846925835119e-13,15.432580795425132,20.66856907571369,0,28,7.711900108339766,0.8293881840035834,4.0646615131667144e-05,1.5010784739889089e-12,9.72909953683043e-14,0.0003197611693878291,0.00031770980281216164,1.9999999999996023,25.058832196313176,20.66856907571369,1,28
4,tp_uic_stage1,5,5,4.790846925835119e-13,15.328132002070234,20.66856907571369,0,28,7.711907363686713,0.8298325169616493,4.290635518215374e-05,1.6324438923057674e-12,1.0027429450684378e-13,0.00033756647174310343,0.00033522593196934553,1.7257615304672398,27.051844498515273,20.66856907571369,1,28
4,tp_uic_full,5,5,4.790846925835119e-13,18.21678748583949,20.66856907571369,0,28,31.34524503814257,0.8661881034509842,0.0002050390035485944,1.6116766970410873e-12,7.829169142613512e-14,0.0017353227036801052,0.0017298087153760772,1.0000012687009072,23.394121832454505,20.66856907571369,1,28
4,perfect_channel,5,5,4.790846925835119e-13,25.963497893951835,20.66856907571369,1,28,inf,1.0,0.00031106075350134654,3.1725040847968186e-12,2.488902781008333e-13,0.0026328328769345327,0.0026247415066576823,1.0,29.53246167462684,20.66856907571369,1,28
5,no_ic,6,6,4.072323342681635e-13,16.55139731806252,20.66856907571369,0,28,0.0,1.0,0.00010043882994222508,1.66260756746523e-09,1.4762579626283525e-13,0.0004947937559070558,0.0004522159600813519,114.68246975233554,15.544857617580504,20.66856907571369,0,28
5,fixed_kappa,6,6,4.072323342681635e-13,26.520622511993516,20.66856907571369,1,28,39.99999999999999,1.0,0.00012994754217157556,2.2372163416410714e-09,1.7345052227007955e-13,0.0006585487069883269,0.000603056202651445,1.0113682469752334,22.166068979321892,20.66856907571369,1,28
5,plain_ls,6,6,4.072323342681635e-13,12.257024704441289,20.66856907571369,0,28,33.916125485198876,0.6767749141301582,8.009113342860072e-05,9.120684139171227e-10,7.142097324848264e-14,0.00039453386937999705,0.0003665130055064746,0.9999999999999983,12.970711162422738,20.66856907571369,0,28
5,ridge_ls,6,6,4.072323342681635e-13,12.889867167004471,20.66856907571369,0,28,33.93037081541179,0.6767789944739552,8.3283985235268e-05,1.2536852550553695e-09,1.259418385914205e-13,0.00041026208803912384,0.0003810985380849699,0.9999999999999976,9.901960660176737,20.66856907571369,0,28
