trial,arm,t_h1,threshold,detected,dof,rho_weighted,ncp_unit,ncp_best,kappa_db,eta_survive
0,no_ic,36.89025859942016,20.66856907571369,1,28,1.0,2.412792278307326,0.8198268244766402,0.0,0.9677180352729605
0,fixed_kappa,35.980977455355664,20.66856907571369,1,28,1.0,2.440963384596753,0.8306204144752578,39.99999999999999,0.9677180352729605
0,plain_ls,37.048000724889036,20.66856907571369,1,28,1.0,2.411935772858404,0.8195228781877267,31.751813658162526,0.9244736788856869
0,ridge_ls,37.039067547555064,20.66856907571369,1,28,1.0,2.4119652850355546,0.8195307322706378,31.797741613214967,0.9245367849411447
0,protected_ls,35.70292930691683,20.66856907571369,1,28,1.0,2.3171549730531384,0.7842562661852994,9.556393145073574,0.967718034831552
0,tp_uic_stage1,35.701598207140286,20.66856907571369,1,28,1.0,2.3174567165929694,0.7844074523127514,9.556655348426645,0.9677180348330237
0,tp_uic_full,37.5488541082327,20.66856907571369,1,28,1.0,2.4294435590587793,0.8287773683247918,31.868961208248198,0.9452997948103589
0,perfect_channel,36.38217156455035,20.66856907571369,1,28,1.0,2.4429265908102664,0.8311808977134307,inf,0.9677180352729605
1,no_ic,139.62318859507627,20.66856907571369,1,28,1.0,7.908908342898598,2.143526973222771,0.0,1.0
1,fixed_kappa,140.53516389700982,20.66856907571369,1,28,1.0,8.126351140190696,2.187276821120393,39.99999999999999,1.0
1,plain_ls,139.5090904229013,20.66856907571369,1,28,1.0,7.906650978903913,2.143461986834158,37.46852169261331,0.9400892029371223
1,ridge_ls,139.51389240891325,20.66856907571369,1,28,1.0,7.906698098891345,2.143462454938786,37.49304621811997,0.9401042122231077
1,protected_ls,125.53738109345767,20.66856907571369,1,28,1.0,7.196162811073466,1.9426420582103325,10.236467579759578,0.9999999963807568
1,tp_uic_stage1,125.52565495690028,20.66856907571369,1,28,1.0,7.197722881683534,1.9430916923239383,10.23655315066293,0.9999999963881753
1,tp_uic_full,143.83133616389827,20.66856907571369,1,28,1.0,8.133106188110684,2.209719579560015,37.1079393924731,0.9837314854384952
1,perfect_channel,143.0331434865604,20.66856907571369,1,28,1.0,8.17114103400586,2.2100628416004517,inf,1.0
2,no_ic,81.72403322691466,20.66856907571369,1,28,1.0,2.905563459635411,0.633004617718567,0.0,1.0
2,fixed_kappa,81.09844550691074,20.66856907571369,1,28,1.0,2.9412377533720706,0.633623668821702,39.99999999999999,1.0
2,plain_ls,81.75665706220767,20.66856907571369,1,28,1.0,2.9053392159443527,0.6329958082405112,36.45968382119487,0.989693325684031
2,ridge_ls,81.75625591784677,20.66856907571369,1,28,1.0,2.9053433643301343,0.632996040121939,36.47033996463168,0.9896941217619348
2,protected_ls,81.76744063123319,20.66856907571369,1,28,1.0,2.6541418611385557,0.6267385308209097,12.180302550670838,0.9999999991855146
2,tp_uic_stage1,81.76840147412088,20.66856907571369,1,28,1.0,2.65424985276255,0.6267452815430434,12.18039722285635,0.9999999991857351
2,tp_uic_full,82.10739916735017,20.66856907571369,1,28,1.0,2.923897252907502,0.6333263292630081,36.49275257856816,0.9946527259640453
2,perfect_channel,80.93461123067429,20.66856907571369,1,28,1.0,2.9440649300285386,0.6336393140433436,inf,1.0
3,no_ic,87.97877636706357,20.66856907571369,1,28,1.0,6.247227514151554,1.841163540529051,0.0,1.0
3,fixed_kappa,95.10685901328297,20.66856907571369,1,28,1.0,6.51447463074387,1.9172576662303698,39.99999999999999,1.0
3,plain_ls,87.8728045898831,20.66856907571369,1,28,1.0,6.244887369028632,1.8408676433461926,36.88964043794496,0.8720744520046081
3,ridge_ls,87.87608309815178,20.66856907571369,1,28,1.0,6.244914930070566,1.8408694781798154,36.888556864582725,0.8720971297720937
3,protected_ls,53.30702607971456,20.66856907571369,1,28,1.0,4.5752339351176925,1.3986485713464811,10.546078908091687,0.9999999870058321
3,tp_uic_stage1,53.30113714669456,20.66856907571369,1,28,1.0,4.57620320911402,1.3986867519439283,10.54606990662203,0.9999999870261393
3,tp_uic_full,91.60594889933381,20.66856907571369,1,28,1.0,6.454610821900793,1.927091011689561,36.863673627272874,0.9421839948796991
3,perfect_channel,95.66771000841767,20.66856907571369,1,28,1.0,6.533485504092033,1.9258725030150106,inf,1.0
4,no_ic,122.15224095224633,20.66856907571369,1,28,1.0,8.213199925123785,3.140447879084152,0.0,1.0
4,fixed_kappa,125.41876822573934,20.66856907571369,1,28,1.0,8.42788891350715,3.1656528404728004,40.000000000000014,1.0
4,plain_ls,121.80979770405732,20.66856907571369,1,28,1.0,8.211862602436913,3.140426128357133,36.737674229756024,0.9598592662629537
4,ridge_ls,121.81891510133607,20.66856907571369,1,28,1.0,8.21188944253033,3.140426156122423,36.80225370080021,0.9599126176984938
4,protected_ls,107.34361563195712,20.66856907571369,1,28,1.0,7.49556176536689,2.945019971865264,10.825749984793127,0.999999999935859
4,tp_uic_stage1,107.3966150980142,20.66856907571369,1,28,1.0,7.496002826996538,2.9452028911392985,10.826008121780772,0.999999999936001
4,tp_uic_full,125.47320721065975,20.66856907571369,1,28,1.0,8.39614918916417,3.176064910604283,36.66427018126963,0.9930862737324099
4,perfect_channel,124.08041759266338,20.66856907571369,1,28,1.0,8.464047126803914,3.1763547808307364,inf,1.0
5,no_ic,91.48745068288522,20.66856907571369,1,28,1.0,4.926319394517773,1.0928801854360595,0.0,1.0
5,fixed_kappa,92.61761722443732,20.66856907571369,1,28,1.0,5.067804253802781,1.130786697646969,39.99999999999999,1.0
5,plain_ls,91.56527026241282,20.66856907571369,1,28,1.0,4.926061756033386,1.0928170159314943,33.91612548519888,0.9725756777860365
5,ridge_ls,91.56517089326259,20.66856907571369,1,28,1.0,4.926062158050903,1.0928170721389903,33.93037081541179,0.9725757237582057
5,protected_ls,87.17529814231887,20.66856907571369,1,28,1.0,4.5259601885032,1.0444816498432354,9.864165927607301,0.9999999978087786
5,tp_uic_stage1,87.17570720431443,20.66856907571369,1,28,1.0,4.526016529567002,1.0444938253222469,9.864257375238731,0.9999999978089769
5,tp_uic_full,93.32027627844018,20.66856907571369,1,28,1.0,5.036475755353722,1.1296774220171948,33.56109555043782,0.9908566720752491
5,perfect_channel,93.08020013270722,20.66856907571369,1,28,1.0,5.084413451171596,1.133484131111827,inf,1.0
6,no_ic,162.42073963317543,20.66856907571369,1,28,1.0,10.633659685049796,2.219746879412753,0.0,1.0
6,fixed_kappa,172.06669781742957,20.66856907571369,1,28,1.0,11.497096237182959,2.507644555699954,39.99999999999998,1.0
6,plain_ls,162.42619679203554,20.66856907571369,1,28,1.0,10.632440816364385,2.2194380929541895,41.05761832581411,0.911846040583316
6,ridge_ls,162.4262891834212,20.66856907571369,1,28,1.0,10.632442243809475,2.219438523797491,41.057237015392545,0.9118460910323802
6,protected_ls,143.22476442953302,20.66856907571369,1,28,1.0,8.69511808449157,1.9007696702668162,11.363919469838375,0.9999999981260826
6,tp_uic_stage1,143.17932888437025,20.66856907571369,1,28,1.0,8.695236760930584,1.9007898260587979,11.363973822143038,0.9999999982598624
6,tp_uic_full,173.7918919631747,20.66856907571369,1,28,1.0,11.395598273411997,2.5146743906375786,40.991456973769544,0.9915638010771642
6,perfect_channel,174.90194401993054,20.66856907571369,1,28,1.0,11.646719260384065,2.575349152771853,inf,1.0
7,no_ic,106.17930471071602,20.66856907571369,1,28,1.0,7.803782752440627,3.460630499606388,0.0,1.0
7,fixed_kappa,108.39002688124435,20.66856907571369,1,28,1.0,7.907109221739188,3.5169434946552096,39.99999999999999,1.0
7,plain_ls,105.93539167951484,20.66856907571369,1,28,1.0,7.800154163043376,3.4588333125857873,38.07551778475797,0.9695880806197427
7,ridge_ls,105.96642595424836,20.66856907571369,1,28,1.0,7.800777740245963,3.4591410129964038,38.06439919550535,0.9700704638992789
7,protected_ls,81.52139191816279,20.66856907571369,1,28,1.0,4.213387721293812,1.5836980388933464,13.329624888818897,0.9999999998943013
