trial,budget,method,pd,pfa,pfa_active,active_targets,reports,observations,selected,detected_per_target
4,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0.05333333333333334,10,0,12,"{""0"": [[11, 12]], ""1"": [[13, 5]], ""2"": [[1, 5]], ""3"": [[11, 13]], ""4"": [[2, 7]], ""5"": [[0, 4]], ""6"": [[14, 12]], ""7"": [[0, 8]], ""8"": [[2, 7], [3, 7], [10, 7]], ""9"": [[5, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,0,sense_sinr_budgeted,0.3,0.006666666666666667,0.022222222222222223,3,0,12,"{""0"": [], ""1"": [], ""2"": [[11, 5], [13, 5]], ""3"": [], ""4"": [], ""5"": [[8, 4], [10, 4], [14, 4], [13, 4], [12, 4]], ""6"": [], ""7"": [[4, 8], [2, 8], [6, 8], [3, 8], [10, 8]], ""8"": [], ""9"": []}","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
4,0,balanced_sinr,0.9,0.056666666666666664,0.056666666666666664,10,0,12,"{""0"": [[14, 12]], ""1"": [[13, 5]], ""2"": [[11, 5]], ""3"": [[11, 13]], ""4"": [[2, 7]], ""5"": [[8, 4], [10, 4]], ""6"": [[14, 12]], ""7"": [[4, 8], [2, 8]], ""8"": [[2, 7]], ""9"": [[5, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
5,0,proposed_c2f_adaptive_pd,1.0,0.05,0.05,10,0,12,"{""0"": [[6, 8]], ""1"": [[3, 0]], ""2"": [[0, 8]], ""3"": [[1, 5]], ""4"": [[0, 2]], ""5"": [[0, 3]], ""6"": [[12, 14], [7, 14], [10, 14]], ""7"": [[2, 1]], ""8"": [[0, 7]], ""9"": [[0, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,0,sense_sinr_budgeted,0.5,0.016666666666666666,0.03333333333333333,5,0,12,"{""0"": [], ""1"": [], ""2"": [[6, 8]], ""3"": [[1, 5], [2, 5]], ""4"": [[9, 2], [5, 2], [11, 2]], ""5"": [], ""6"": [], ""7"": [[13, 1]], ""8"": [], ""9"": [[0, 3], [4, 3], [6, 3], [8, 3], [7, 3]]}","[0, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
5,0,balanced_sinr,0.9,0.03333333333333333,0.03333333333333333,10,0,12,"{""0"": [[6, 8]], ""1"": [[3, 0]], ""2"": [[6, 8]], ""3"": [[1, 5]], ""4"": [[9, 2], [5, 2]], ""5"": [[12, 3]], ""6"": [[12, 14]], ""7"": [[13, 1]], ""8"": [[2, 7]], ""9"": [[0, 3], [4, 3]]}","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
6,0,proposed_c2f_adaptive_pd,1.0,0.06,0.06,10,0,12,"{""0"": [[3, 0]], ""1"": [[0, 2]], ""2"": [[1, 14]], ""3"": [[0, 11]], ""4"": [[0, 14]], ""5"": [[3, 11]], ""6"": [[0, 13]], ""7"": [[0, 6]], ""8"": [[12, 5], [7, 5]], ""9"": [[7, 5], [12, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,0,sense_sinr_budgeted,0.4,0.02,0.05,4,0,12,"{""0"": [], ""1"": [[8, 2], [10, 2], [11, 2]], ""2"": [], ""3"": [[10, 11], [4, 11], [0, 11], [3, 11], [8, 11], [7, 11]], ""4"": [], ""5"": [], ""6"": [[6, 13]], ""7"": [[8, 6], [13, 6]], ""8"": [], ""9"": []}","[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
6,0,balanced_sinr,0.9,0.043333333333333335,0.043333333333333335,10,0,12,"{""0"": [[3, 0]], ""1"": [[8, 2], [10, 2]], ""2"": [[1, 14]], ""3"": [[10, 11], [4, 11]], ""4"": [[1, 14]], ""5"": [[4, 11]], ""6"": [[6, 13]], ""7"": [[8, 6]], ""8"": [[12, 5]], ""9"": [[7, 5]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
7,0,proposed_c2f_adaptive_pd,0.9,0.03333333333333333,0.03333333333333333,10,0,12,"{""0"": [[14, 8], [6, 8], [10, 8]], ""1"": [[0, 12]], ""2"": [[0, 11]], ""3"": [[3, 6]], ""4"": [[2, 8]], ""5"": [[10, 8]], ""6"": [[0, 11]], ""7"": [[0, 3]], ""8"": [[3, 8]], ""9"": [[0, 13]]}","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,0,sense_sinr_budgeted,0.6,0.043333333333333335,0.07222222222222222,6,0,12,"{""0"": [], ""1"": [[0, 12]], ""2"": [[6, 11], [3, 11]], ""3"": [], ""4"": [[10, 8], [13, 8], [7, 8]], ""5"": [], ""6"": [], ""7"": [[6, 3], [11, 3], [14, 3]], ""8"": [[10, 8], [13, 8]], ""9"": [[5, 13]]}","[0, 1, 1, 0, 1, 0, 0, 1, 1, 1]"
7,0,balanced_sinr,0.9,0.06333333333333334,0.06333333333333334,10,0,12,"{""0"": [[14, 8]], ""1"": [[0, 12]], ""2"": [[6, 11], [3, 11]], ""3"": [[3, 6]], ""4"": [[10, 8]], ""5"": [[10, 8]], ""6"": [[9, 11]], ""7"": [[6, 3], [11, 3]], ""8"": [[10, 8]], ""9"": [[5, 13]]}","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0.043333333333333335,10,0,10,"{""0"": [[0, 2]], ""1"": [[3, 9]], ""2"": [[1, 9]], ""3"": [[0, 1]], ""4"": [[1, 7]], ""5"": [[1, 3]], ""6"": [[4, 8]], ""7"": [[0, 7]], ""8"": [[4, 3]], ""9"": [[6, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,0,sense_sinr_budgeted,0.4,0.023333333333333334,0.058333333333333334,4,0,12,"{""0"": [], ""1"": [], ""2"": [[6, 9], [1, 9]], ""3"": [[6, 1], [13, 1], [3, 1], [2, 1]], ""4"": [[4, 7], [5, 7], [3, 7], [11, 7], [2, 7]], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [[13, 1]]}","[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]"
8,0,balanced_sinr,1.0,0.06,0.06,10,0,12,"{""0"": [[0, 2]], ""1"": [[3, 9]], ""2"": [[6, 9]], ""3"": [[6, 1], [13, 1]], ""4"": [[4, 7], [5, 7]], ""5"": [[6, 3]], ""6"": [[7, 8]], ""7"": [[4, 7]], ""8"": [[4, 3]], ""9"": [[13, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,0,proposed_c2f_adaptive_pd,1.0,0.05,0.05,10,0,10,"{""0"": [[0, 10]], ""1"": [[0, 14]], ""2"": [[0, 13]], ""3"": [[2, 5]], ""4"": [[0, 8]], ""5"": [[4, 1]], ""6"": [[14, 0]], ""7"": [[0, 6]], ""8"": [[0, 14]], ""9"": [[4, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,0,sense_sinr_budgeted,0.4,0.016666666666666666,0.041666666666666664,4,0,12,"{""0"": [[11, 10], [0, 10]], ""1"": [[3, 14], [0, 14]], ""2"": [[10, 13], [11, 13], [9, 13], [0, 13]], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": [[9, 6], [13, 6], [8, 6], [1, 6]], ""8"": [], ""9"": []}","[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]"
9,0,balanced_sinr,1.0,0.056666666666666664,0.056666666666666664,10,0,12,"{""0"": [[11, 10], [0, 10]], ""1"": [[3, 14]], ""2"": [[10, 13]], ""3"": [[2, 5]], ""4"": [[5, 8]], ""5"": [[5, 1]], ""6"": [[14, 0]], ""7"": [[9, 6], [13, 6]], ""8"": [[2, 14]], ""9"": [[5, 1]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0.03333333333333333,10,0,10,"{""0"": [[1, 0]], ""1"": [[4, 12]], ""2"": [[0, 2]], ""3"": [[0, 9]], ""4"": [[0, 8]], ""5"": [[0, 8]], ""6"": [[3, 1]], ""7"": [[0, 10]], ""8"": [[0, 6]], ""9"": [[2, 12]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,0,sense_sinr_budgeted,0.5,0.016666666666666666,0.03333333333333333,5,0,12,"{""0"": [[3, 0], [11, 0]], ""1"": [], ""2"": [[10, 2], [13, 2], [0, 2], [14, 2], [6, 2], [11, 2]], ""3"": [], ""4"": [[7, 8]], ""5"": [[7, 8]], ""6"": [], ""7"": [[0, 10], [2, 10]], ""8"": [], ""9"": []}","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0]"
10,0,balanced_sinr,1.0,0.03,0.03,10,0,12,"{""0"": [[3, 0], [11, 0]], ""1"": [[4, 12]], ""2"": [[10, 2], [13, 2]], ""3"": [[0, 9]], ""4"": [[7, 8]], ""5"": [[7, 8]], ""6"": [[5, 1]], ""7"": [[0, 10]], ""8"": [[0, 6]], ""9"": [[4, 12]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,0,proposed_c2f_adaptive_pd,1.0,0.04,0.04,10,0,11,"{""0"": [[12, 9], [3, 9]], ""1"": [[0, 7]], ""2"": [[0, 13]], ""3"": [[5, 12]], ""4"": [[0, 9]], ""5"": [[0, 3]], ""6"": [[0, 2]], ""7"": [[8, 10]], ""8"": [[0, 7]], ""9"": [[5, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,0,sense_sinr_budgeted,0.4,0.02,0.05,4,0,12,"{""0"": [], ""1"": [[2, 7], [3, 7], [0, 7], [13, 7], [4, 7], [1, 7]], ""2"": [[1, 13], [4, 13]], ""3"": [], ""4"": [], ""5"": [], ""6"": [[7, 2]], ""7"": [], ""8"": [[0, 7], [3, 7], [1, 7]], ""9"": []}","[0, 1, 1, 0, 0, 0, 1, 0, 1, 0]"
11,0,balanced_sinr,1.0,0.06333333333333334,0.06333333333333334,10,0,12,"{""0"": [[3, 9]], ""1"": [[2, 7], [3, 7]], ""2"": [[1, 13], [4, 13]], ""3"": [[11, 12]], ""4"": [[5, 9]], ""5"": [[0, 3]], ""6"": [[7, 2]], ""7"": [[8, 10]], ""8"": [[0, 7]], ""9"": [[5, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
