direct_gain_boost_db,receiver,target,arm,threshold,empirical_pfa,pfa_ci95_low,pfa_ci95_high,empirical_pd,pd_ci95_low,pd_ci95_high,auc,n_cal_h0,n_test_h0,n_test_h1,median_conflict_index,median_direct_inr_db,median_kappa_accounted_db,median_kappa_structural_db,median_eta_survive_q,median_eta_survive_risk_q,median_identifiable_fraction,median_protect_dim
40.0,0,1,no_ic,41532.23305439636,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5138888888888888,6,12,12,0.35481742529879684,37.89180248306313,0.0,0.0,1.0,1.0,0.9869336011091409,0.0
40.0,0,1,perfect_channel,4.616276762262066,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.8333333333333334,0.5519691377470266,0.9530348578161463,0.8472222222222222,6,12,12,0.35481742529879684,37.89180248306313,nan,nan,1.0,1.0,0.9862012158735626,0.0
40.0,0,1,plain_ls,41532.2437214446,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5138888888888888,6,12,12,0.35481742529879684,37.89180248306313,12.675709506614345,12.67571427523319,0.9920582177509041,0.8586370823413942,0.9869269991595535,0.0
40.0,0,1,protected_ls,43676.73695922067,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5208333333333334,6,12,12,0.35481742529879684,37.89180248306313,12.578533551898724,12.578538196151822,0.992268432356112,0.8595722206529064,0.9842147573154599,15.0
40.0,0,1,tp_uic_full,41532.099315982305,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5833333333333334,0.31951131254954973,0.8067396863412435,0.5138888888888888,6,12,12,0.35481742529879684,37.89180248306313,12.675707709180923,12.67571247679853,0.9920593480359796,0.8586431736562086,0.9869245267477413,15.0
40.0,2,1,no_ic,147482.7723290049,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.5,6,12,12,0.027433084589943382,37.33509994117752,0.0,0.0,1.0,1.0,0.9749133026372759,0.0
40.0,2,1,perfect_channel,5.364263622562801,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.75,0.46769466506643426,0.9110583316059453,0.8333333333333334,6,12,12,0.027433084589943382,37.33509994117752,nan,nan,1.0,1.0,0.9748151266018434,0.0
40.0,2,1,plain_ls,147504.04391422996,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.5,6,12,12,0.027433084589943382,37.33509994117752,11.323455986304701,11.323461698544204,0.9980230772483043,0.9825860531708982,0.974909209277431,0.0
40.0,2,1,protected_ls,139559.14341806356,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.4861111111111111,6,12,12,0.027433084589943382,37.33509994117752,11.280687198818303,11.280692867435864,0.9979849912470142,0.9824813689179033,0.9740949741717823,15.0
40.0,2,1,tp_uic_full,147493.27307210732,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.16666666666666666,0.04696514218385378,0.4480308622529734,0.5,6,12,12,0.027433084589943382,37.33509994117752,11.323455330520375,11.32346105979278,0.9980268703552224,0.9825877563694116,0.9749092175499632,15.0
40.0,4,1,no_ic,99910.97302531835,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.4930555555555556,6,12,12,0.011931238031927135,43.787719533154245,0.0,0.0,1.0,1.0,0.9964079566080295,0.0
40.0,4,1,perfect_channel,11.005030773930681,0.0,2.7755575615628914e-17,0.24249400665524085,0.25,0.08894166839405471,0.5323053349335657,0.7222222222222222,6,12,12,0.011931238031927135,43.787719533154245,nan,nan,1.0,1.0,0.9965330731594788,0.0
40.0,4,1,plain_ls,99776.23369981628,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.4930555555555556,6,12,12,0.011931238031927135,43.787719533154245,13.161906519488879,13.161908401737133,0.9983768644502605,0.9921246334079709,0.9964108627535224,0.0
40.0,4,1,protected_ls,103806.22162512585,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.4930555555555556,6,12,12,0.011931238031927135,43.787719533154245,13.126180742069801,13.126182611456924,0.9985844639097889,0.9927893184785312,0.9970703926950868,15.0
40.0,4,1,tp_uic_full,99739.67108329649,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.08333333333333333,0.014865094404917095,0.35387991114111694,0.4930555555555556,6,12,12,0.011931238031927135,43.787719533154245,13.16190638891209,13.161908271888304,0.9984285621124411,0.9921515187631764,0.9964108971583252,15.0
