experiment,condition,lambda_c,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_lambda,lambda_0,0.0,28.95305859996006,0.2895305859996006,proposed_c2f_adaptive_pd,0.974,0.9621759154980226,0.9821961846420791,0.010010134572028262,0.9620000000000002,0.985,0.0114999999999999,0.93,0.88,0.98,0.05091942494149114,0.048707407407407415,0.053166666666666675,0.00222962962962963,0.05076666666666667,3174.4,5.290666666666667,4.96,12.2,1.0,1.0,865.48,0.5314911618169282,2.8123226821551133,1.1025217974936183,1.321535236134539,0.9985047400192277,0.994875174051495,0.9962163567062727,1.3396810813845508,1.0,1.0,5411.1950271869455,178.9080888604283,25.55462175415937,4025.423602468674,865.48,61.32,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12723.25,12723.25,0.0,0.0,0.0,0.0,0.0,nan,0.79,1324.2884597275815,0.95,0.974,0.95,0.99,0.3068296370967742,0.1840977822580645,1704.635530237823,1022.7813181426939
target_local_v1_lambda,lambda_0.0025,0.0025,29.01583270006813,0.29015832700068134,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051554663991975926,0.04911851851851852,0.053896296296296296,0.0023888888888888883,0.0514,537.6,0.896,0.84,12.22,1.0,1.0,865.48,0.5314911618169282,3.654502699403923,3.376596069704757,3.4338963366710615,0.9996996723548545,0.9993995974089716,0.9994596123981481,2.9758666017741904,1.0,1.0,14031.8304905106,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.14,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12740.54,12740.54,0.0,0.0,0.0,0.0,0.0,nan,0.8,2310.1939644409754,0.95,0.975,0.96,0.99,1.8136160714285712,1.0881696428571428,26100.875168360486,15660.525101016294
target_local_v1_lambda,lambda_0.005,0.005,29.295048199943267,0.2929504819994327,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.051654964894684054,0.04921842592592593,0.0540038888888889,0.0023927314814814853,0.0515,473.6,0.7893333333333334,0.74,12.24,1.0,1.0,865.48,0.5314911618169282,3.953695469135882,3.6555863608660486,3.712334630642141,0.9996359665186019,0.9992722393114711,0.9993449847528971,3.54193705342311,1.0,1.0,14031.768472646438,242.9495041718097,27.45125726811289,7511.665627213504,865.48,61.11,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12756.24,12756.24,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.1863613680944,0.95,0.975,0.96,0.99,2.058699324324324,1.2352195945945943,29627.889511500078,17776.733706900046
target_local_v1_lambda,lambda_0.01,0.01,29.57020910002757,0.29570209100027567,proposed_c2f_adaptive_pd,0.975,0.9633544581334902,0.9830099882094389,0.009827765037974334,0.965,0.985,0.010000000000000009,0.93,0.88,0.98,0.05172183216315614,0.04931851851851852,0.0541,0.002390740740740742,0.05156666666666666,428.8,0.7146666666666667,0.67,12.28,1.0,1.0,865.48,0.5314911618169282,4.1670790025307,3.8391589834338835,3.9015820801875853,0.9995999000620908,0.9991998001342467,0.9992798201198155,3.9989218678320735,1.0,1.0,14031.738114199341,242.9495041718097,27.41752831398701,7511.665627213504,865.48,61.01,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12797.43,12797.43,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.2084059507247,0.95,0.975,0.96,0.99,2.2737873134328357,1.3642723880597014,32723.26985587533,19633.961913525196
target_local_v1_lambda,lambda_0.02,0.02,29.907188499928452,0.2990718849992845,proposed_c2f_adaptive_pd,0.974,0.9621759154980226,0.9821961846420791,0.010010134572028262,0.963,0.9840000000000001,0.010500000000000065,0.93,0.88,0.98,0.051654964894684054,0.04924814814814816,0.05401851851851852,0.002385185185185181,0.0515,358.4,0.5973333333333334,0.56,12.29,1.0,1.0,865.48,0.5314911618169282,3.9991372479007,3.6813764938377966,3.7472995977903376,0.9995859899003119,0.9991722070354278,0.9992549636084046,3.6185172862839092,1.0,1.0,14031.742821419444,242.9495041718097,27.41752831398701,7511.665627213504,865.48,60.91,0.9969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12826.52,12826.52,0.0,0.0,0.0,0.0,0.0,nan,0.81,2310.2007444632104,0.95,0.9739999999999999,0.96,0.99,2.7176339285714284,1.630580357142857,39151.06814012122,23490.640884072727
