split,scene_id,scale,stat_h0,stat_h1,h0_inflation
train,0,0.5,3.65455785266295,7.853526741366993,0.73091157053259
train,0,0.75,3.6185357604111745,7.943241451051131,0.7237071520822349
train,0,1.0,3.6051851734528917,7.99091376771913,0.7210370346905783
train,0,1.5,3.6009153707309416,8.034935767937629,0.7201830741461883
train,0,2.0,3.6064390924776473,8.04997616529792,0.7212878184955295
train,1,0.5,6.166871043353275,11.990839399898027,1.233374208670655
train,1,0.75,6.160482930870628,11.966133923627394,1.2320965861741255
train,1,1.0,6.158759495443689,11.949395510606918,1.2317518990887377
train,1,1.5,6.1590307244562466,11.928347861256698,1.2318061448912494
train,1,2.0,6.160339487861713,11.915982554833306,1.2320678975723427
train,2,0.5,3.939402938403136,7.355079121510164,0.7878805876806272
train,2,0.75,3.9396155706895826,7.342174817221074,0.7879231141379165
train,2,1.0,3.940057885170158,7.336366994053563,0.7880115770340316
train,2,1.5,3.940947344580989,7.331363266386638,0.7881894689161978
train,2,2.0,3.9416984190449185,7.329277222992004,0.7883396838089837
train,3,0.5,6.988301314313162,5.21016112527535,1.3976602628626325
train,3,0.75,7.002497106477054,5.2054892822514915,1.4004994212954107
train,3,1.0,7.012553294620818,5.2111801767433095,1.4025106589241636
train,3,1.5,7.026331273919529,5.23302737598941,1.4052662547839057
train,3,2.0,7.035513633651174,5.258327978289682,1.4071027267302347
train,4,0.5,7.33533321500858,4.979955173881495,1.467066643001716
train,4,0.75,7.358750232744027,4.973765844916506,1.4717500465488054
train,4,1.0,7.373453639528552,4.969805140241825,1.4746907279057104
train,4,1.5,7.390824862661918,4.965034980252406,1.4781649725323835
train,4,2.0,7.400656224965866,4.9622513130837715,1.4801312449931732
train,5,0.5,7.972850529686468,7.564251836289487,1.5945701059372936
train,5,0.75,7.990913329370705,7.605214331282145,1.598182665874141
train,5,1.0,8.008257040495458,7.633334774967131,1.6016514080990916
train,5,1.5,8.037062086159139,7.668501746227206,1.6074124172318278
train,5,2.0,8.059783991930242,7.688582213523871,1.6119567983860486
train,6,0.5,6.3678129803587975,7.419604353198759,1.2735625960717596
train,6,0.75,6.454878909341719,7.420951948408653,1.2909757818683438
train,6,1.0,6.533929204480099,7.417197329609378,1.3067858408960198
train,6,1.5,6.658257668796151,7.405352848194986,1.33165153375923
train,6,2.0,6.748244117167291,7.39295954925042,1.349648823433458
train,7,0.5,8.625191481932315,10.574089192072908,1.725038296386463
train,7,0.75,8.274389240692896,10.187579640183008,1.6548778481385793
train,7,1.0,8.046626860927425,9.93290303871115,1.609325372185485
train,7,1.5,7.7494929758430064,9.594522754349624,1.5498985951686013
train,7,2.0,7.553524362992416,9.365644374658777,1.5107048725984833
train,8,0.5,6.2993748333742,11.361727335242563,1.2598749666748401
train,8,0.75,6.4439345911262995,11.425981825768755,1.2887869182252598
train,8,1.0,6.534157988500914,11.455479977759726,1.3068315977001828
train,8,1.5,6.6476123735626835,11.476772193624264,1.3295224747125367
train,8,2.0,6.719645793911489,11.479914792439068,1.343929158782298
train,9,0.5,7.900213398947065,7.554309062506767,1.580042679789413
train,9,0.75,8.038463767598229,7.378114391274291,1.6076927535196457
train,9,1.0,8.137384178841252,7.261115450476467,1.6274768357682503
train,9,1.5,8.27148501941065,7.114998570157772,1.6542970038821299
train,9,2.0,8.359594463175029,7.0278064533964715,1.6719188926350057
train,10,0.5,4.105040518504688,7.476068226443831,0.8210081037009376
train,10,0.75,4.073916101561717,7.466396840374256,0.8147832203123434
train,10,1.0,4.046684533375203,7.428141740803785,0.8093369066750405
train,10,1.5,4.003789061792974,7.33843792257048,0.8007578123585948
train,10,2.0,3.971568721729291,7.25724619475976,0.7943137443458582
train,11,0.5,6.739909695948176,8.538399152178503,1.3479819391896353
train,11,0.75,6.662456716697936,8.285197738521136,1.3324913433395873
train,11,1.0,6.6139473961942,8.136751780957336,1.32278947923884
train,11,1.5,6.552886126573354,7.961528298899018,1.3105772253146708
train,11,2.0,6.513894645953361,7.856415170775934,1.3027789291906722
train,12,0.5,6.515836289146467,6.644059167230736,1.3031672578292934
train,12,0.75,6.377845801877589,6.560312782753458,1.2755691603755177
train,12,1.0,6.307194398816122,6.622909277215981,1.2614388797632246
train,12,1.5,6.227315486587969,6.698838108560533,1.2454630973175937
train,12,2.0,6.178603286782548,6.738197046834979,1.2357206573565096
train,13,0.5,7.103160349292959,9.379345011253037,1.4206320698585917
train,13,0.75,7.1900792118947265,9.378905769869293,1.4380158423789453
train,13,1.0,7.2430006263467615,9.379642737755042,1.4486001252693523
train,13,1.5,7.3050515273706225,9.382103016637382,1.4610103054741246
train,13,2.0,7.340370724117205,9.384583712196726,1.4680741448234411
train,14,0.5,7.464629738398051,8.637291050155525,1.4929259476796102
train,14,0.75,7.440401360589219,8.613646636369014,1.4880802721178439
train,14,1.0,7.427490945390099,8.606872423673188,1.48549818907802
train,14,1.5,7.41550519541069,8.608797393119087,1.483101039082138
train,14,2.0,7.411197797035751,8.616263903292552,1.4822395594071502
train,15,0.5,5.003389619757959,6.513441715706247,1.0006779239515917
train,15,0.75,4.994182957509068,6.4833048843609555,0.9988365915018136
train,15,1.0,4.98787803791704,6.464063958354158,0.9975756075834081
train,15,1.5,4.979660886902166,6.441404170714267,0.9959321773804332
train,15,2.0,4.97442275283089,6.429175136966765,0.994884550566178
train,16,0.5,6.762422451792085,9.227880334184785,1.352484490358417
train,16,0.75,6.7461978083763405,9.216741440181044,1.3492395616752682
train,16,1.0,6.733530476122333,9.207559464649425,1.3467060952244665
