experiment,preset,mc,seed,wall_time_s,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high
joint_bundle_v1.2_main,small-uav-compact-800m,20,2026,141.13451259990688,joint_bundle_cg,0.55,0.48075488574571107,0.6173605136624569,0.06830281395837293,0.48000000000000015,0.6199999999999999,0.06999999999999987,0.5,0.3,0.7,0.0535042735042735,0.04760162037037037,0.05913425925925926,0.0057663194444444454,0.05216666666666667,6208.0,10.34666666666667,9.7,17.0,1.0,1.0,1036.0,0.4336872532806999,1.9688155627863797,0.866958889704617,0.9457114798764129,0.9986435573804957,0.9855351874531696,0.9992585450730443,-0.6198660550830266,1.0,1.0,132.9045364521926,3.179877129794645,0.0694237118742266,153.61254041606995,0.0,0.0,0.9759191176470589,0.975,0.95,1.0,1.0,0.0,0.0,1.0,1.0,653.75,0.0,0.0,0.0,0.0,653.75,3.95,0.8056824729552075,0.0,10.546835164800715,0.2,0.5499999999999999,0.35,0.65,0.08859536082474227,0.05315721649484535,21.40859156768566,12.845154940611394,joint_bundle_cg,0.0,0.0,0.0
joint_bundle_v1.2_main,small-uav-compact-800m,20,2026,141.1345226999838,fixed_fusion_bundle,0.575,0.5057080512046821,0.6414650479075696,0.06787849835144377,0.505,0.635,0.065,0.5,0.3,0.7,0.050515463917525774,0.04535173611111111,0.05527314814814814,0.004960706018518515,0.049,6880.0,11.466666666666669,10.75,16.4,1.0,1.0,1035.3,0.4336872532806999,2.0514939451226115,0.8065201998341935,0.9961758447829002,0.9979450552205826,0.9808507446028445,0.996213420712143,-0.3726108090691111,1.0,1.0,140.38472677652226,4.153257289060587,0.040541630657413764,111.63879041313002,0.0,0.0,0.9696638655462184,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,49.3,0.0,0.0,0.0,0.0,49.3,4.3,0.8106398487665911,0.0,14.07323234435059,0.2,0.5750000000000001,0.4,0.7,0.08357558139534883,0.05014534883720929,20.40475679891312,12.24285407934787,joint_bundle_cg,-0.025,-0.06736073156766026,0.017360731567660256
joint_bundle_v1.2_main,small-uav-compact-800m,20,2026,141.13452879991382,proposed_c2f_adaptive_pd,0.51,0.441184632709161,0.5784384471724727,0.06862690723165588,0.444875,0.575,0.06506249999999997,0.35,0.15,0.55,0.04639175257731959,0.041685185185185186,0.0512962962962963,0.004805555555555556,0.045,8128.0,13.54666666666667,12.7,16.45,1.0,1.0,1035.3,0.4336872532806999,1.980143627665592,0.7931824713042203,0.9157231990044835,0.9958968592470974,0.9517396240671356,0.9984482402761614,-0.551839825569721,1.0,1.0,192.76318872095908,2.8030275233077373,0.08420256523350723,150.4853473308481,1035.3,108.35,0.9714285714285715,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,14545.25,14545.25,0.0,0.0,0.0,0.0,0.0,nan,0.0,12.092005053713356,0.25,0.51,0.4,0.6,0.06274606299212598,0.03764763779527558,23.715943494212485,14.229566096527487,joint_bundle_cg,0.04,-0.012051310717103185,0.09205131071710318
joint_bundle_v1.2_main,small-uav-compact-800m,20,2026,141.13453339994885,sense_sinr_budgeted,0.52,0.4510366005581654,0.5882095592051018,0.06858647932346817,0.45499999999999996,0.585,0.065,0.2,0.05,0.4,0.04735042735042735,0.04253703703703703,0.0526667824074074,0.005064872685185184,0.04616666666666667,9856.0,16.42666666666667,15.4,19.9,0.9949999999999999,1.0,1035.3,0.4336872532806999,1.9062958693718375,0.7739948228587841,0.9235678201369852,0.9932832065712768,0.9134696732276092,0.993041243275621,-0.7546617375664104,1.0,1.0,240.84101077635592,3.0286227188213033,0.07890049401548394,181.3698779092576,0.0,0.0,0.9747222222222222,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,8.048439120891342,0.2,0.52,0.3,0.65,0.05275974025974026,0.03165584415584415,24.43597917779585,14.661587506677508,joint_bundle_cg,0.03,-0.03531613808804715,0.09531613808804715
joint_bundle_v1.2_main,small-uav-compact-800m,20,2026,141.13453749998007,local_only_bundle,0.49,0.4215615528275274,0.5588153672908391,0.06862690723165588,0.42000000000000004,0.5599999999999998,0.0699999999999999,0.45,0.25,0.65,0.05504273504273504,0.049407175925925924,0.06081956018518519,0.005706192129629632,0.05366666666666667,0.0,0.0,0.0,10.0,1.0,1.0,1052.1,0.4336872532806999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,92.07965090678445,1.7813911020853328,0.02814356471835646,81.61907111313029,0.0,0.0,0.975,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,326.8,0.0,0.0,0.0,0.0,326.8,2.0,0.834027409099592,0.0,5.071357814369264,0.1,0.48999999999999994,0.35,0.65,490000000000.0,490000000000.0,92079650906784.45,92079650906784.45,joint_bundle_cg,0.06000000000000001,-0.004223556917675397,0.12422355691767542
