N,L,area_m,collision_penalty_enabled,frac_valid_links,frac_colliding_links,collision_count_max,penalty_median,penalty_min,penalty_loss_db_worst
64,64,600.0,1,0.9333333333333333,0.11904761904761904,3.0,1.0,0.3333333333333333,4.771212547196624
64,128,600.0,1,0.9333333333333333,0.04380952380952381,2.0,1.0,0.5,3.010299956639812
64,256,600.0,1,0.9333333333333333,0.022857142857142857,2.0,1.0,0.5,3.010299956639812
128,64,600.0,1,0.9333333333333333,0.05142857142857143,2.0,1.0,0.5,3.010299956639812
256,64,600.0,1,0.9333333333333333,0.02666666666666667,2.0,1.0,0.5,3.010299956639812
128,128,600.0,1,0.9333333333333333,0.01904761904761905,2.0,1.0,0.5,3.010299956639812
256,256,600.0,1,0.9333333333333333,0.007619047619047619,2.0,1.0,0.5,3.010299956639812
