method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,selected_observations_mean,selected_observations_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,paired_reference_method,paired_reference_delta_P_D,paired_reference_delta_ci95_low,paired_reference_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f_adaptive_pd,0.98,0.9728812108707509,0.9852783562327568,0.0061985726810029895,0.048594377510040164,0.046899247086093734,0.0503475403426448,0.0017241466282755316,0.0484,0.04671148675614253,0.05014633842683707,0.0017174258353472721,467.2,890.7503353914609,0.7786666666666666,1.4845838923191013,0.73,1.3917973990491574,12.055,3.0613681581933263,1.0,1.0,853.65,0.5290964551576377,4.113627380883928,3.628548804951178,3.718608035271461,0.9997352627600726,0.9994763943792508,0.999534658402667,3.964374828820633,1.0,1.0,89360.61892517691,241.0168524009477,27.60248537807673,7544.5452821530025,853.65,61.06,0.996205882352941,0.75,4773.18152902774,0.945,0.9799999999999999,0.96,0.995,,,,proposed_c2f_adaptive_pd,0.0,0.0,0.0,2.0976027397260273,1.2585616438356164,191268.44804190262,114761.06882514158
proposed_c2f_full_pd,0.973,0.9649387029310226,0.9792477038188923,0.007154500443934841,0.048719236564540434,0.047021579542772834,0.050474939080599954,0.0017266797689135596,0.0485,0.04680979798792056,0.050248014390545555,0.0017191082013124984,467.2,895.3368974860805,0.7786666666666666,1.4922281624768006,0.73,1.3989639023220006,12.055,3.0613681581933263,1.0,1.0,853.65,0.5290964551576377,4.097256161032674,3.6287406077341178,3.717548503039341,0.9997393430709154,0.9994844721410244,0.9995418353367125,3.9426478548247097,1.0,1.0,88559.21468856742,173.80952317818281,21.176021991630492,5587.376872373508,853.65,853.65,0.9958725490196078,0.66,4252.210380645832,0.925,0.9730000000000001,0.95,0.99,,,,proposed_c2f_adaptive_pd,0.007000000000000001,0.0029468347253389007,0.011053165274661101,2.0826198630136985,1.2495719178082192,189553.1136313515,113731.8681788109
