split,scene_id,one_cpi_h0,one_cpi_h1,two_cpi_h0,two_cpi_h1
train,0,8.53308520931265,7.561079826865175,14.473157992981116,13.697866977382514
train,1,5.699168785339861,11.186871686794014,10.465099682849063,16.013533901019102
train,2,5.212428648885835,4.033529849068284,13.180166755103414,12.096772441737384
train,3,9.428137116967651,7.190316664470492,12.889089794496925,13.949521044014247
train,4,11.29175866673034,12.455007557424484,16.212951851135124,22.01633704058323
train,5,2.513537227405388,3.49104958788989,8.272612150013796,11.175306232711293
train,6,5.963205953151909,7.875370029979528,11.062972890354914,21.462851506829026
train,7,2.3221442710515525,10.912673386076293,6.339384226377623,21.34419630660835
train,8,6.651692976639733,11.141032811856272,13.425541487166006,15.88953296997446
train,9,3.9026952647353474,18.87526875632708,11.386152710123046,31.026433167088342
train,10,7.404147275182465,17.449186917291755,12.81680354501972,30.782564293000558
train,11,4.02275796896919,7.854145447987886,16.46525246507653,11.809451645523911
train,12,4.337065775287114,11.7644252839781,9.032537366966224,23.395747487208652
train,13,4.596317972906597,151.17455777875006,9.244913392931128,355.2810492011745
train,14,5.630462266548383,4.617568426852074,11.349456665389246,10.621479122475451
train,15,5.584384751892768,9.40643496662641,14.11463825142949,15.268278796842687
train,16,2.841602461056338,10.669609522122173,10.960264250503558,17.84164888481991
train,17,6.867272159351714,8.00109503527766,12.82233224046976,16.367411146099386
train,18,6.359774913328486,7.537954496241855,12.24537596761441,16.090323487049464
train,19,2.2827478177808453,4.45608168605381,11.522100603327601,13.551400262935857
calibration,20,4.59340829182019,14.628381989750533,15.639120727782093,23.704874768764356
calibration,21,5.465690700154166,28.216864642338706,14.951863915320578,61.8454458506169
calibration,22,7.964223099669249,7.857792355773054,13.42775640830634,11.30289128238146
calibration,23,10.73461519346962,7.775631076361109,14.656468449821709,15.83358006058501
calibration,24,3.8647664371720403,14.322069176302723,14.86455424829417,29.137150421509602
calibration,25,5.428994557919734,5.35731537228555,15.890439641605028,12.510323582109404
calibration,26,3.84563141663028,14.660299158506767,13.510749864321538,21.63006336443387
calibration,27,3.866117220677766,10.564135023078407,8.196856064526978,20.340659458679582
calibration,28,3.854496889858667,4.247274106727593,10.016063066046883,9.782203219907263
calibration,29,5.046340911434399,4.5906910626471875,8.480800031269622,13.466526318388368
calibration,30,5.501700533912815,13.691577434530812,13.192573627501302,34.01160434381791
calibration,31,10.538019284035947,8.302840614588515,17.969488550747855,22.243609269601215
calibration,32,3.5497431883687156,11.42783666252624,7.3329236175012635,25.969501732660405
calibration,33,3.650932739369927,5.885971084125653,8.86416120732773,16.546429443871762
calibration,34,8.279639919924975,13.962714901832712,16.614863519824485,32.8469216549001
calibration,35,2.67789198152545,12.665380421467816,12.304179935622637,20.441030649318503
calibration,36,9.059531905980906,3.7918933269720116,13.999046663454472,13.375102940840879
calibration,37,6.915847006973832,103.61502906938492,11.59656346528013,193.5758982994007
calibration,38,3.3813669295200817,21.937440539898947,9.896177135274083,46.458429477764795
calibration,39,4.29195812137251,11.191373032570024,9.868735542872582,19.733338320256145
test,40,7.9503420694106985,7.5478520962614555,16.014357129801525,13.276661978297206
test,41,6.70086613969748,5.846216269088983,10.885837443207091,12.322621086042878
test,42,4.780010497506976,8.55149726070234,8.782351309384453,20.61158794426204
test,43,9.094385936868708,12.418356704508126,15.283023811280634,31.012938158259423
test,44,11.81946583646372,7.061349203502603,18.850888693162865,12.151312802818715
test,45,7.950457040741183,8.750651662312803,12.843239260957052,36.72391615797951
test,46,3.9164761423445533,6.469143514441716,13.680744607467979,9.65139061713634
test,47,7.306196564803169,12.49663603408938,14.824243683677045,24.906388057285724
test,48,2.936951843297746,4.2761083093296,7.954662375935095,13.138268866512508
test,49,4.558239766028947,6.69926997078769,13.465865836145946,12.758526246200903
test,50,6.634638123174167,10.401665922771995,10.458132065049258,22.22582111154918
test,51,5.7839862792627645,10.138995693276906,14.320214416058207,19.663286507422676
test,52,3.3811644096280604,4.69941027993514,14.943422903615065,12.29902505408643
test,53,4.470605702485103,5.8040381623716275,15.900187961009348,11.725297767917422
test,54,6.915515222375214,6.982629148730683,12.30795904659913,22.32578435969437
test,55,7.557969193070517,4.0745735342402245,12.21534698976906,13.071165244674933
test,56,5.556820811815313,140.94168108130407,12.199072910491505,333.2009921790683
test,57,6.709536222196602,22.215451917692345,12.63395320489279,51.04400457072873
test,58,9.296098452341054,5.501730921795339,14.376819889416966,13.202179640706522
test,59,8.030591952993023,6.845143681999602,15.648800899909775,17.557479353651935
test,60,6.3049205565598925,8.463981624406562,15.384352738835997,16.017243192402695
test,61,7.731198671197962,11.84827677313061,16.084182721838726,20.200799508340985
test,62,4.463773752184454,8.159979137696588,13.95655187382097,12.825672897774194
test,63,5.74640612567062,9.35578024538654,15.620409373912047,30.510368817083766
test,64,7.125069073217179,9.889034024842141,14.450286444217227,20.818285859665792
test,65,5.007372852076175,9.107564093599777,11.412310463266499,22.200071200538325
test,66,9.233486229926486,7.753393692686516,12.949731444399685,15.793213571075245
test,67,9.048557273268504,45.664980930105415,17.78035153632405,72.08248082788685
test,68,5.8542663361362175,17.157211102605967,11.041746608152291,34.167316188701236
test,69,9.962722288032513,6.583602716379203,20.967677623544887,23.07580816625678
test,70,3.0160555961756152,5.250263309201773,11.819774382832225,18.131013120578732
test,71,6.504673991766346,8.346740835507651,12.954082845684912,14.673660455861977
test,72,5.976881342809089,17.42819980530823,12.511091859115393,28.52851198738759
test,73,2.7431534005001956,8.35192827535309,10.774275222212308,15.367360244981661
test,74,9.520080708104768,6.884908083271834,15.45991638843597,13.896711157068651
test,75,7.502824689810733,2.336687159716377,17.014822009197673,19.004503088927436
test,76,6.938828582075149,50.17957303446352,16.15941608952132,91.39939525472515
test,77,6.3196402806721474,8.761309074371079,12.672934672770793,18.930585170691366
test,78,13.753210611751403,6.6941883010494765,20.99352254314345,11.83019044166106
test,79,4.160815810027953,6.571266600887885,12.008887657419255,16.461807914602424
