experiment,case,raw_gamma,interference_gamma,num_interferers,clutter_gamma,multipath_ratio,sync_error_k,sync_error_l,report_success,target_k,target_l,interferer_k,interferer_l,captured_energy,local_window_energy,leakage_projection,clutter_projection,multipath_projection,gamma_effective,predicted_pd,exact_success_pd,exact_success_pfa,exact_mixture_pd,exact_mixture_pfa,empirical_pd,empirical_pfa,threshold,calibrated_threshold,calibrated_exact_pd,calibrated_exact_pfa,calibrated_empirical_pd,calibrated_empirical_pfa,n_trials
waveform_detection_grid,0,0.25,0.5,1.0,0.0,0.0,0.05106357927425722,-0.02336379881754908,1.0,-0.3210651863245638,0.13991316571515455,-0.37998206426629066,-0.093185885490359,0.8734714928019557,0.8812939652873937,0.7664270932568535,0.13613348204771708,0.4429399420531617,0.15786996428191372,0.15913816063469413,0.15692544210785303,0.048976935389819135,0.15692544210785303,0.048976935389819135,0.1588,0.0488,0.9746177387722809,0.967659284980374,0.15921908663022624,0.04999999999999999,0.1612,0.0502,5000.0
waveform_detection_grid,1,0.5,0.5,2.0,0.5,0.0,0.041176416461901594,-0.005130234850734644,1.0,-0.32264680817695135,0.15278480268513195,-0.6857018269369267,0.993316762977435,0.872320623842997,0.8768135975342329,0.1451772938171611,0.13695438209401573,0.4542018687478823,0.38223939181542155,0.4259423482880329,0.39472560630543524,0.048976935389819024,0.39472560630543524,0.048976935389819024,0.3976,0.0466,1.9767273216652808,1.9626141312524576,0.39817349738507973,0.05000000000000007,0.4014,0.0474,5000.0
waveform_detection_grid,2,1.0,0.5,3.0,1.0,0.0,0.04386081441651345,-0.010438623451269096,1.0,0.2527320970790866,0.01515369632235175,0.8393435621551126,-0.07776132195746255,0.9264335691972917,0.9317186850204626,0.23256042577478522,0.12587350131524724,0.5067150617953452,0.7458284418462539,0.7533967008566549,0.7402404123987248,0.048976935389819024,0.7402404123987248,0.048976935389819024,0.7306,0.0532,3.053739352228404,3.031936646070217,0.7429189133103109,0.04999999999999999,0.7334,0.0538,5000.0
waveform_detection_grid,3,0.25,1.0,1.0,0.0,0.15,0.051346930253699075,0.14596882439323486,1.0,0.025816843345248364,-0.06908793931556856,0.31954196019592007,-0.9459750710553168,0.9460949631974016,0.993088326078985,0.0002103551819861596,0.11909510560280975,0.6498081538804029,0.26083667822294926,0.2776482395059378,0.25927093458519956,0.048976935389819024,0.25927093458519956,0.048976935389819024,0.259,0.0466,1.478782886005851,1.4682248569743899,0.26226880066105474,0.05000000000000007,0.2628,0.0476,5000.0
waveform_detection_grid,4,0.5,1.0,2.0,0.5,0.15,-0.0935623615609909,0.10811665476033497,1.0,-0.30460240012844597,0.09486587100605282,-0.42103871941728577,-0.26514942225267746,0.8510114465457711,0.8993628982843771,0.28481634204308637,0.14283601223741707,0.5473447770401308,0.34400882279913797,0.3798761570083835,0.3514966922796795,0.048976935389819135,0.3514966922796795,0.048976935389819135,0.3598,0.048,1.8296248513599274,1.8165619247598532,0.3548524948651672,0.04999999999999999,0.3622,0.0498,5000.0
waveform_detection_grid,5,1.0,1.0,3.0,1.0,0.15,-0.03659082489215541,0.04052296635189845,1.0,0.4468197909796484,0.06337737450254555,0.3257927222955621,0.7841866527101453,0.8512205529571627,0.8583069363568506,0.1522450785073419,0.14508443608174604,0.5085359944532192,0.7149308958864775,0.7341771817510561,0.7179802744174021,0.048976935389819135,0.7179802744174021,0.048976935389819135,0.7168,0.0496,2.9799709483023142,2.9586949245649388,0.720787891416516,0.04999999999999999,0.719,0.0508,5000.0
waveform_detection_grid,6,0.25,2.0,1.0,0.0,0.3,0.11554536206601865,0.04751567285698375,1.0,-0.18617967273762992,-0.23844695368820001,0.17533392836390982,-0.7282413916549562,0.8691714854146246,0.9003529830182495,0.2464054055646793,0.13494820265022284,0.6266234484629377,0.17704161037555255,0.17967646449705454,0.17446949931622283,0.048976935389819135,0.17446949931622283,0.048976935389819135,0.1774,0.0496,1.075172441890467,1.0674960602101469,0.1769111121171301,0.05000000000000007,0.1794,0.0508,5000.0
waveform_detection_grid,7,0.5,2.0,2.0,0.5,0.3,-0.061135624186807035,0.12947304962081058,1.0,0.23124065835844465,0.04848306462463026,0.4499465256851325,-0.18165716514107588,0.8965430265756844,0.9384142675790068,0.2596150913080426,0.1298068110577576,0.5751306185509651,0.3374343616414572,0.3718444468151533,0.3440738362978541,0.048976935389819135,0.3440738362978541,0.048976935389819135,0.3524,0.0472,1.8034803624496178,1.7906040990003955,0.34740918973544765,0.05000000000000007,0.3584,0.0478,5000.0
waveform_detection_grid,8,1.0,2.0,3.0,1.0,0.3,-0.0017320631831912933,-0.023234654191179167,1.0,-0.03002908759383016,0.17563922284962308,0.1088904204993284,0.024926380236062418,0.9613989397082757,0.9626089583953931,0.5054451626972382,0.11700663156004254,0.4516997382340807,0.5154896516927275,0.5719751196636421,0.5400064688210351,0.048976935389819024,0.5400064688210351,0.048976935389819024,0.5482,0.0492,2.4314288491013993,2.414069237613008,0.5434485525765329,0.04999999999999999,0.551,0.0498,5000.0
waveform_detection_grid,9,0.25,0.5,1.0,0.0,0.0,-0.07883230669042306,-0.08023652413995819,0.99,-0.17345533618873,-4.4977588806061064e-05,-0.9052526558984175,0.728422353007229,0.9371697406193359,0.9645411420814842,0.010735859191729279,0.12261383505483385,0.4708790742014618,0.23304148487113,0.23453223705082024,0.21844883541205157,0.04494252597935673,0.2189629282528966,0.04719168191452873,0.2238,0.0458,1.3908131663948793,1.3629018984613888,0.22690422240377775,0.050000000000000065,0.2324,0.0478,5000.0
