scene,realisation,receiver,target,boost_db,arm,conflict_index,direct_inr_db,kappa_db,eta_survive_q,model_rank,cov_rank,cov_trace_over_noise,cov_max_eig_over_noise,transfer_energy,ncp_unit,identifiable_fraction,statistic,residual_power,whitened_residual_power
0,0,0,1,30.0,no_ic,0.03207358356596697,32.1591841410702,0.0,1.0,0,35,1668.7467980985446,21639294.504776552,0.575108090676,0.5739851226141495,0.9980473791274079,296.2548351976453,1.0322873369488337e-06,1020961.6593504664
0,0,0,1,30.0,plain_ls,0.03207358356596697,32.1591841410702,14.274522105444996,0.9970194029689,5,35,1.0004495493179202,2.5953704303846337,0.5751080914923685,0.5739851306525302,0.9980473916878403,296.2556627568189,3.9123348841727766e-08,1020956.829644498
0,0,0,1,30.0,protected_ls,0.03207358356596697,32.1591841410702,13.132109072391758,0.9999949490365789,5,40,22.32484009999008,208046.62950955142,0.4786213128271206,0.46923053292701283,0.9803795199912049,398.78696464025063,5.0638248256061587e-08,1010335.3874058619
0,0,0,1,30.0,tp_uic_full,0.03207358356596697,32.1591841410702,14.274512499254573,0.9983064360529178,50,35,1.0004503291284423,2.595371164376366,0.5755544297453937,0.5744307044143632,0.9980475776521646,296.3932843070355,3.91234332273207e-08,1020957.6488917976
0,0,0,1,30.0,perfect_channel,0.03207358356596697,32.1591841410702,inf,1.0,0,30,1.0001443735366702,2.5952930485581134,0.5772810227288578,0.5761552877369663,0.9980499359106418,6.228632953975802,6.227145622078503e-10,16254.236111536793
0,1,0,1,30.0,no_ic,0.03703550074086702,32.35061942298008,0.0,1.0,0,35,1668.7467980985434,21638828.00967679,0.5762070246677177,0.5750889762106515,0.9980596410505218,4236.440900890525,1.0792114524363166e-06,2182232.6608645106
0,1,0,1,30.0,plain_ls,0.03703550074086702,32.35061942298008,11.137521549353986,0.9984895113116172,5,35,1.0004495493179202,2.5956318546658617,0.5762070385627504,0.5750890224325712,0.9980596972002149,4236.445730067657,8.36059899846493e-08,2182228.1989211305
0,1,0,1,30.0,protected_ls,0.03703550074086702,32.35061942298008,10.589262630013106,0.999994547649086,5,40,22.509175395505856,186824.6124224609,0.5364707677056395,0.535412450733058,0.9980272606891375,3191.781376225237,9.47568954068458e-08,2168452.291871988
0,1,0,1,30.0,tp_uic_full,0.03703550074086702,32.35061942298008,11.137488655465349,0.9994916781877413,50,35,1.0004508177046807,2.59564142621387,0.576429242866292,0.5753102993346886,0.9980588362831151,4236.347902027976,8.360662791953396e-08,2182236.431236375
0,1,0,1,30.0,perfect_channel,0.03703550074086702,32.35061942298008,inf,1.0,0,30,1.0001443735366702,2.5952930485581134,0.5772810227288578,0.5761552877369663,0.9980499359106418,7.812859939957047,6.331789008349507e-10,16525.251919480877
