method,experiment_seed,trial,candidate_columns,exact_over_columns,power_externality_model,worst_detection_deficit,total_detection_deficit,pd_design_target,network_evidence_loss,worst_evidence_retention,total_energy,remote_reports,cpu_cycles,receiver_cpu_cycles,fusion_cpu_cycles,max_uav_cpu_cycles,worst_pd,mean_pd,max_pfa,mean_pfa,design_worst_pd,design_mean_pd,target_rcs_m2,fusion_candidate_limit,transport_mode,geometry_role,design_aspect_angles_deg,evaluation_aspect_angles_deg,heldout_worst_pd,heldout_mean_pd,heldout_scenario_pfa_mean,heldout_max_pfa,lossless_heldout_worst_pd,lossless_heldout_mean_pd,lossless_worst_pd_headroom,coherent_tx_oracle,coherent_phase_error_deg,coherent_oracle_worst_pd,coherent_oracle_mean_pd,coherent_oracle_worst_pd_gain,columns
fixed_nominal_global,20250915,0,16,True,full_load_envelope,0.68046875,1.3375,0.95,0.0,1.0,64.0,1.0,148.0,145.0,3.0,74.0,0.26953125,0.28125,0.09375,0.05078125,0.26953125,0.28125,0.05,2,receiver_local_llr,development,"[0.0, 45.0, 90.0, 135.0]","[22.5, 67.5]",0.25,0.6015625,0.06103515625,0.068359375,,,,False,,,,,"[{""target"":0,""fusion"":2,""robust_pd"":0.29296875,""robust_information"":0.7628300036225051,""generated_information"":[2.1775262369555684,8.8345923835522,6.180629509515789,0.7628300036225051],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,36.0,36.0],""fusion_cpu_cycles"":2.0,""local_aggregation_cpu_cycles"":[0.0,0.0,0.0],""fusion_inputs"":2,""bundle"":[[2,1,""nominal""],[1,2,""nominal""]]},{""target"":1,""fusion"":0,""robust_pd"":0.26953125,""robust_information"":0.20946073079496164,""generated_information"":[0.20946073079496164,1.3088984363745442,3.3832143697157635,1.5714712415406078],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[73.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""local_aggregation_cpu_cycles"":[1.0,0.0,0.0],""fusion_inputs"":1,""bundle"":[[2,0,""nominal""],[1,0,""nominal""]]}]"
active_modes_global,20250915,0,80,True,full_load_envelope,0.67265625,1.13828125,0.95,0.0,1.0,84.0,1.0,125.0,122.0,3.0,57.0,0.27734375,0.380859375,0.0703125,0.04296875,0.27734375,0.380859375,0.05,2,receiver_local_llr,development,"[0.0, 45.0, 90.0, 135.0]","[22.5, 67.5]",0.294921875,0.638671875,0.05224609375,0.078125,,,,False,,,,,"[{""target"":0,""fusion"":1,""robust_pd"":0.484375,""robust_information"":0.989676051305094,""generated_information"":[2.8063237610630263,11.24769980125899,7.895638969191253,0.989676051305094],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[0.0,10.0,56.0],""fusion_cpu_cycles"":2.0,""local_aggregation_cpu_cycles"":[0.0,0.0,0.0],""fusion_inputs"":2,""bundle"":[[2,1,""eco""],[1,2,""intensive""]]},{""target"":1,""fusion"":0,""robust_pd"":0.27734375,""robust_information"":0.32097388815738626,""generated_information"":[0.32097388815738626,2.827394122149423,5.655298882318519,1.8967806517869352],""network_evidence_loss"":0.0,""robust_evidence_retention"":1.0,""receiver_cpu_cycles"":[56.0,0.0,0.0],""fusion_cpu_cycles"":1.0,""local_aggregation_cpu_cycles"":[0.0,0.0,0.0],""fusion_inputs"":1,""bundle"":[[2,0,""intensive""]]}]"
