area_m,rcs_m2,trial,label,family,pd,worst_pd,weak_pd,pfa,reports,observations,bits,delay_ms,n_looks,rho_mean,rho_std,sensing_w,power_seconds,per_target
500.0,0.05,1,base,baseline,0.4,0.0,0.0,0.023333333333333334,8.0,52.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,0;0;1;1;0;0;1;1;0;0
500.0,0.05,1,looks64,looks,0.7,0.0,1.0,0.03,8.0,45.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;1;1;1;0
500.0,0.05,1,looks128,looks,0.7,0.0,1.0,0.023333333333333334,8.0,36.0,5120.0,8.533333333333335,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;0;1;1;1;0;1;1;1;0
500.0,0.05,1,maxmin,maxmin,0.5,0.0,1.0,0.016666666666666666,8.0,60.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;0;0;1;1;0;0
500.0,0.05,1,maxmin_looks64,maxmin,0.7,0.0,1.0,0.02,8.0,60.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;0;1;1;1;0
500.0,0.05,1,maxmin_looks128,maxmin,0.7,0.0,1.0,0.02,8.0,60.0,5120.0,8.533333333333335,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;1;0;1;1;1;0
500.0,0.05,1,gain15,radar,1.0,1.0,1.0,0.05,2.0,13.0,1280.0,2.1333333333333333,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;1;1;1;1;1;1
500.0,0.05,0,base,baseline,0.5,0.0,1.0,0.07,8.0,47.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;0;0;1;1;0;0;0
500.0,0.05,0,looks64,looks,0.8,0.0,1.0,0.06666666666666667,4.0,36.0,2560.0,4.266666666666667,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;0;1;1;1;0;1
500.0,0.05,0,looks128,looks,0.8,0.0,1.0,0.056666666666666664,4.0,27.0,2560.0,4.266666666666667,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;1;1;1;1;0;0
500.0,0.05,0,maxmin,maxmin,0.8,0.0,1.0,0.056666666666666664,8.0,60.0,5120.0,8.533333333333335,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;0;1;1;1;0;1
500.0,0.05,0,maxmin_looks64,maxmin,0.8,0.0,1.0,0.06,8.0,60.0,5120.0,8.533333333333335,64,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;0;1;1;1;0;1
500.0,0.05,0,maxmin_looks128,maxmin,0.9,0.0,1.0,0.06,8.0,60.0,5120.0,8.533333333333335,128,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;1;1;1;1;0;1
500.0,0.05,0,gain15,radar,1.0,1.0,1.0,0.043333333333333335,5.0,16.0,3200.0,5.333333333333334,16,0.8000000000000003,2.220446049250313e-16,12.000000000000004,0.0,1;1;1;1;1;1;1;1;1;1
