split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,self_fit_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,self_fit_state_error_m,nominal_h0,self_fit_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s
calibration,5,0.0,0.7985468585560118,0.0,0.0,242.38411746912567,242.38411746912567,218.44110921256956,242.38411746912567,242.38411746912567,0.0,0.0,0.0,0.0,0.0,0.0,113.58596254213484,119.88914970781643,0.0,74.14218671995783,110.9031635222658,66.87554536855774,77.62105512984024,74.14218671995783,1030.7061228000093
calibration,13,0.0,1.6724835679360497,0.0,0.0,1412.082698819057,1412.082698819057,1410.0577104512072,1412.082698819057,1412.082698819057,0.0,0.0,0.0,0.0,0.0,0.0,849.2070302589266,562.8756685601307,0.0,74.64945930430068,113.12443705527076,76.8653145414844,88.35313575986183,74.64945930430068,1025.8018193000462
test,21,0.0,4.49660290978988,0.0,0.0,3762.870402675646,3762.870402675646,3761.6176858740264,3762.870402675646,3762.870402675646,0.0,0.0,0.0,0.0,0.0,0.0,1816.4435768139256,1946.4268258617199,0.0,73.78836772519193,121.63105818288028,102.90154376658833,78.336647541523,73.78836772519193,1026.3664732999168
test,29,0.0,5.692120395889679,0.0,0.0,147287.53616810526,147287.53616810526,147284.3617877798,147287.53616810526,147287.53616810526,0.0,0.0,0.0,0.0,0.0,0.0,43253.14242846497,104033.7042195698,0.0,90.39932426504402,123.23720717393724,93.39974177486474,83.16158423424372,90.39932426504402,1025.0436870998237
test,37,0.0,1.913449797398052,0.0,0.0,473.7252377757336,474.7128361585055,411.21934117181985,471.1762589189741,473.7252377757336,0.0,0.0,9.375,9.375,0.0,13.258252147247767,230.96201609473582,241.98246637314173,6.629126073623883,65.20961880261791,106.51782521760379,71.40985343145755,93.6717019619915,65.20961880261791,1027.1106106000952
calibration,5,250.0,0.7985468585560118,-174.43709831407057,-179.0857301176375,98.83947812892137,240.20835406145213,210.8736633488949,240.20835406145213,242.38411746912567,-178.125,-178.125,-178.125,-178.125,3.810986906828323,3.810986906828323,111.30108136944372,118.21069983553758,3.810986906828323,68.282229172039,110.90027363249374,66.56105673539693,75.73306160233706,74.14218671995783,1017.715792800067
calibration,13,250.0,1.6724835679360497,25.378021427895533,-248.70857650753678,155.89389110333838,1396.7767984262432,1329.6146707685532,1396.7767984262432,1412.082698819057,18.75,-234.375,18.75,-234.375,15.791835977683295,15.791835977683295,793.3023735485582,530.3178342228894,15.791835977683295,84.10701819635733,125.65486973087312,75.98833514397467,83.97195226857338,74.64945930430068,1017.1359874000773
test,21,250.0,4.49660290978988,53.52883368064329,244.20209656100423,75.0793866607675,3753.5773683750385,3276.9724657818006,3753.5773683750385,3762.870402675646,56.25,243.75,56.25,243.75,2.7584665011693006,2.7584665011693006,1771.4294309145084,1905.145683964743,2.7584665011693006,69.60430224150996,110.59090699835136,87.59479458957657,81.46267750521012,73.78836772519193,1010.8631500999909
test,29,250.0,5.692120395889679,-207.5869332298201,139.31139634731332,107.2417168269377,124948.29691175697,47965.68377207527,65901.51757670994,147287.53616810509,-178.125,196.875,-215.625,168.75,64.66509085373639,30.51625636315582,29542.301346315704,82824.93758463062,47.5906736084461,101.08683251763327,127.41998642710598,109.91246505748975,109.773946018717,90.3993242650798,1019.4065457000397
test,37,250.0,1.913449797398052,83.9968717428104,-235.4666123623939,113.46786756945961,473.7731687694883,466.5902666673687,471.53096064095394,473.7252377757336,84.375,-243.75,93.75,-225.0,8.292013732123866,14.306414126041759,226.64679719980566,238.7171799115472,11.299213929082812,81.39318527113068,102.9092776983069,81.16660133182309,83.47652264786319,65.20961880261791,1017.4224529999774
calibration,5,400.0,0.7985468585560118,-279.0993573025129,-286.53716818822,65.22200682371133,243.05235670578259,209.75979162669415,243.05235670578259,242.38411746882497,-281.25,-290.625,-281.25,-290.625,4.619051085846016,4.619051085846016,109.34072548209656,115.62626505852941,4.619051085846016,74.12920087373595,108.14510755478182,81.15100756450917,77.27815534154794,74.14218672076055,827.6753954000305
calibration,13,400.0,1.6724835679360497,40.60483428463289,-397.93372241205884,96.31987139457593,1402.9377068052113,1220.6050339124672,1402.9377068052113,1412.082698819022,37.5,-393.75,37.5,-393.75,5.209945216237428,5.209945216237428,820.8626655355937,545.6852986456146,5.209945216237428,84.67119353003537,123.96085649014694,71.6198106601694,82.1068676667208,74.64945930429292,819.5875351999421
test,21,400.0,4.49660290978988,85.64613388902926,390.72335449760675,77.66250625904914,3695.279442285199,3430.7068196590626,3695.279442285199,3762.870402675646,84.375,393.75,84.375,393.75,3.2827373274442686,3.2827373274442686,1743.7137458782731,1865.2595202951948,3.2827373274442686,71.77059532661144,102.77761246866649,97.95341411312572,82.59360108979675,73.78836772519193,824.0966474998277
test,29,400.0,5.692120395889679,-332.13909316771213,222.89823415570132,81.55781602147945,129681.84001960486,77132.82316960626,70979.7786044633,147287.53616810509,-300.0,281.25,-337.5,243.75,66.61718912405973,21.529873684950683,30398.919913582118,92951.86858970774,44.07353140450521,100.72398937998935,117.04374936589683,84.30341676890484,87.73568713423812,90.3993242650798,823.3999727000482
test,37,400.0,1.913449797398052,134.39499478849663,-376.7465797798302,99.78562947156459,473.27401552456826,460.6208119751688,469.37154544260693,473.7252377757336,131.25,-384.375,140.625,-365.625,8.25129003702854,12.747646909704043,225.0027200844749,236.24296337771358,10.499468473366292,71.86517771193172,103.1017222176607,69.12425864626043,81.5202575465139,65.20961880261791,821.3626964997966
calibration,5,550.0,0.7985468585560118,-383.76161629095526,-393.9886062588024,80.23089407810048,242.2639592291418,190.54381577005358,242.2639592291418,242.38411746882497,-384.375,-393.75,-384.375,-393.75,0.65815843173294,0.65815843173294,106.66268906151683,113.26634446363738,0.65815843173294,73.38791634597894,110.8380497250198,86.14614574080659,77.75666919699087,74.14218672076055,822.6876781000756
calibration,13,550.0,1.6724835679360497,55.83164714137018,-547.1588683165809,94.05053104205564,691.8166469924525,505.4927732037526,641.4604708065356,1412.082698819022,37.5,-450.0,28.125,-450.0,98.87312566857796,101.03219283166678,302.5770564730335,220.75219979977788,99.95265925012237,86.29561007225735,122.87711078504574,85.15570695327408,84.22209024291612,74.64945930429292,811.3049252000637
test,21,550.0,4.49660290978988,117.76343409741524,537.2446124342093,83.73441783963517,1192.8308858008268,1423.9807699603743,1153.2108688940702,3762.870402675646,140.625,450.0,150.0,450.0,90.19020786268108,93.00977679785649,486.3248397387931,203.6732538787199,91.59999233026878,78.92796571276403,103.69065087788346,77.35467663031417,78.30046639815279,73.78836772519193,809.9652994999196
test,29,550.0,5.692120395889679,-456.69125310560406,306.4850719640893,110.00951288458077,60911.3455690711,71682.43363853256,60911.3455690711,147287.53616810509,-421.875,365.625,-421.875,365.625,68.6272727740669,68.6272727740669,29279.71132866,30455.455223016717,68.6272727740669,90.62352136310875,110.31220507883695,81.35113585007375,90.89114726368891,90.3993242650798,814.8584346000571
test,37,550.0,1.913449797398052,184.79311783418288,-518.0265471972665,80.75053388845785,374.85310419801124,170.44678693961558,374.85310419801124,473.7252377757336,225.0,-450.0,225.0,-450.0,79.02027902429748,79.02027902429748,126.34547641572453,135.22264297787405,79.02027902429748,79.84632325534653,112.98183744978134,73.48887600711348,80.36324998425411,65.20961880261791,814.5084206999745
