experiment,scenario,raw_gamma,interference_gamma,num_interferers,clutter_gamma,multipath_ratio,sync_error_k,sync_error_l,report_success,target_k,target_l,interferer_k,interferer_l,captured_energy,local_window_energy,leakage_projection,clutter_projection,multipath_projection,gamma_effective,predicted_pd,exact_success_pd,exact_success_pfa,exact_mixture_pd,exact_mixture_pfa,empirical_pd,empirical_pfa,threshold,calibrated_threshold,calibrated_exact_pd,calibrated_exact_pfa,calibrated_empirical_pd,calibrated_empirical_pfa,n_trials
waveform_detection,noise_only,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.31,-0.27,-0.18,0.22,0.8388516369449952,0.8388516369449954,0.3028851824666039,0.14599418689056665,0.5660439176083073,0.4194258184724976,0.4692999266732612,0.43649419808400314,0.048976935389819024,0.43649419808400314,0.048976935389819024,0.4343666666666667,0.04756666666666667,2.112209780807396,2.0971292896836893,0.43998892965112923,0.05000000000000007,0.4379,0.0483,30000.0
waveform_detection,multi_target_leakage,0.5,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.31,-0.27,-0.18,0.22,0.8388516369449952,0.8388516369449954,0.3828681057458509,0.14599418689056665,0.5660439176083073,0.3033013898648563,0.3298620949602694,0.3057885279987594,0.048976935389819135,0.3057885279987594,0.048976935389819135,0.30243333333333333,0.049833333333333334,1.6635050790666315,1.6516281936326878,0.30899583767041733,0.05000000000000007,0.3057666666666667,0.050633333333333336,30000.0
waveform_detection,leakage_comm_representative,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.99,0.31,-0.27,-0.18,0.22,0.8388516369449952,0.8388516369449954,0.3828681057458509,0.14599418689056665,0.5660439176083073,0.3033013898648563,0.3163742916847655,0.2927519886865283,0.04494252597935673,0.2925230499946286,0.04719168191452873,0.3002666666666667,0.046966666666666664,1.7125481264362419,1.678180182012866,0.3015733574208263,0.050000000000000065,0.30983333333333335,0.049466666666666666,30000.0
waveform_detection,leakage_comm_stress,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.9,0.31,-0.27,-0.18,0.22,0.8388516369449952,0.8388516369449954,0.3828681057458509,0.14599418689056665,0.5660439176083073,0.3033013898648563,0.22931413513138602,0.19786552033914706,0.021212171508028278,0.20046226936463887,0.041474255416631946,0.19713333333333333,0.04173333333333333,2.120464346632195,1.959666691306785,0.23323993677491722,0.050000000000000044,0.2313,0.049133333333333334,30000.0
waveform_detection,full_waveform_impairments,0.5,1.0,3.0,1.0,0.25,0.15,-0.12,0.99,0.31,-0.27,-0.18,0.22,0.7415366242064768,0.8388516369449954,0.2465525668339522,0.1657487761826575,0.4222941809949175,0.2999041860449621,0.3123597454115091,0.28903866535741163,0.044942525979356655,0.2888468598988031,0.04719168191452865,0.29306666666666664,0.04806666666666667,1.697791786682598,1.663719977040322,0.2978528481541356,0.049999999999999996,0.3011333333333333,0.050866666666666664,30000.0
