trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,cov_rank_h1,min_ratio_h1,t_h0,thr_h0,det_h0,dof_h0,cov_rank_h0,min_ratio_h0
0,perfect_channel,5,8,2.14762660599707e-13,16.92398108459109,20.66856907571369,0,28,0,1.0,9.618445273964735,20.66856907571369,0,28,0,1.0
0,no_ic,5,8,2.14762660599707e-13,17.275656141920756,20.66856907571369,0,28,14,11.178789519848086,9.020093366389826,20.66856907571369,0,28,14,11.178789519848086
0,tp_uic_stage1,5,8,2.14762660599707e-13,19.019184987539468,20.66856907571369,0,28,28,1.5745854396048533,8.093185206204307,20.66856907571369,0,28,28,1.5745854396048533
1,perfect_channel,2,5,2.982795285253295e-13,9.060931088460048,20.66856907571369,0,28,0,1.0,19.91757916417267,20.66856907571369,0,28,0,1.0
1,no_ic,2,5,2.982795285253295e-13,12.596190039450084,20.66856907571369,0,28,14,13.754786443097856,16.28726210774003,20.66856907571369,0,28,14,13.754786443097856
1,tp_uic_stage1,2,5,2.982795285253295e-13,10.419246779872477,20.66856907571369,0,28,28,1.0371370730475533,15.593756338844733,20.66856907571369,0,28,28,1.0371370730475533
2,perfect_channel,10,8,3.598890258895591e-13,22.67093632989548,20.66856907571369,1,28,0,1.0,17.253800913090753,20.66856907571369,0,28,0,1.0
2,no_ic,10,8,3.598890258895591e-13,25.77357681846064,20.66856907571369,1,28,14,12.695183361267283,15.306599119887942,20.66856907571369,0,28,14,12.695183361267283
2,tp_uic_stage1,10,8,3.598890258895591e-13,17.877670665071776,20.66856907571369,0,28,28,1.3033480813568257,11.718060305213028,20.66856907571369,0,28,28,1.3033480813568257
3,perfect_channel,5,8,4.1877253711577667e-13,9.775140285551892,20.66856907571369,0,28,0,1.0,11.523726064471887,20.66856907571369,0,28,0,1.0
3,no_ic,5,8,4.1877253711577667e-13,11.327102618290892,20.66856907571369,0,28,14,20.486173705883406,10.153452177742505,20.66856907571369,0,28,14,20.486173705883406
3,tp_uic_stage1,5,8,4.1877253711577667e-13,8.121843378197084,20.66856907571369,0,28,28,1.1915229335814346,10.29667592528283,20.66856907571369,0,28,28,1.1915229335814346
4,perfect_channel,9,5,4.790846925835119e-13,9.541861474743387,20.66856907571369,0,28,0,1.0,23.59373838700349,20.66856907571369,1,28,0,1.0
4,no_ic,9,5,4.790846925835119e-13,10.134948018801943,20.66856907571369,0,28,14,19.294524867396646,21.98119322574769,20.66856907571369,1,28,14,19.294524867396646
4,tp_uic_stage1,9,5,4.790846925835119e-13,8.492176719042762,20.66856907571369,0,28,28,1.7257615304672398,24.84377840812495,20.66856907571369,1,28,28,1.7257615304672398
5,perfect_channel,7,6,4.072323342681635e-13,13.733718531698958,20.66856907571369,0,28,0,1.0,16.275158888512124,20.66856907571369,0,28,0,1.0
5,no_ic,7,6,4.072323342681635e-13,12.819489824362662,20.66856907571369,0,28,14,114.68246975233554,14.454335996537067,20.66856907571369,0,28,14,114.68246975233554
5,tp_uic_stage1,7,6,4.072323342681635e-13,9.73468631238045,20.66856907571369,0,28,28,1.877522594547087,13.22737479223741,20.66856907571369,0,28,28,1.877522594547087
6,perfect_channel,14,6,3.291184733556241e-13,9.175475835428358,20.66856907571369,0,28,0,1.0,13.914625766765855,20.66856907571369,0,28,0,1.0
6,no_ic,14,6,3.291184733556241e-13,12.879456208753549,20.66856907571369,0,28,14,282.2333808105772,12.805315255414335,20.66856907571369,0,28,14,282.2333808105772
6,tp_uic_stage1,14,6,3.291184733556241e-13,15.97715671969378,20.66856907571369,0,28,28,1.2511666815436107,15.47293241379317,20.66856907571369,0,28,28,1.2511666815436107
7,perfect_channel,10,8,4.628980229055727e-13,11.907465014968441,20.66856907571369,0,28,0,1.0,15.431374271341646,20.66856907571369,0,28,0,1.0
7,no_ic,10,8,4.628980229055727e-13,12.056679323391709,20.66856907571369,0,28,14,2.983030196520534,16.02587896274388,20.66856907571369,0,28,14,2.983030196520534
7,tp_uic_stage1,10,8,4.628980229055727e-13,15.831385407005296,20.66856907571369,0,28,28,1.0793137124892016,20.302084957897762,20.66856907571369,0,28,28,1.0793137124892016
