trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,eta_survive_q,s_q_energy,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
0,no_ic,5,8,2.573061743434258e-13,15.77989795875064,20.66856907571369,0,28,0.0,1.0,1.0,1.2089012970241371e-13,0.05222013658044144,9.101803800759093e-09,4.3636519172092914e-10,0.12748105195935494,0.12040680679971218,11.178789519848086,0,0,0,11.276084203611333,20.66856907571369,0,28
0,fixed_kappa,5,8,2.573061743434258e-13,16.485537071467032,20.66856907571369,0,28,40.00000000000001,1.0,1.0,1.2089012970241371e-13,0.05410622111267523,1.0852190759677382e-08,5.511579547977452e-10,0.13217480055387146,0.12456409286924541,1.0010178789519852,0,0,0,12.652320493789894,20.66856907571369,0,28
0,plain_ls,5,8,2.573061743434258e-13,17.180655810107133,20.66856907571369,0,28,29.4673599037924,0.47791968135833,0.9828521940434195,1.2089012970241371e-13,0.0448849888693732,6.324860296461005e-09,2.1327554526336318e-10,0.1095699310749936,0.10403188364814028,0.9999999999999962,0,0,0,13.413696262392314,20.66856907571369,0,28
0,ridge_ls,5,8,2.573061743434258e-13,15.051503652691572,20.66856907571369,0,28,29.446583298466173,0.4781406602586826,0.9828853752289748,1.2089012970241371e-13,0.049423015932466466,8.309208514387214e-09,3.307124475560838e-10,0.12064802572950939,0.11452342976542217,0.9999999999999973,0,0,0,13.869029889894778,20.66856907571369,0,28
0,protected_ls,5,8,2.573061743434258e-13,14.101408191358392,20.66856907571369,0,28,7.434292511641019,0.6512293391041892,0.9999630656126725,1.2089012970241371e-13,0.036991663715747324,4.215671319231346e-09,4.240995285339356e-11,0.09018416958388079,0.0854588944246193,1.696479665563559,0,0,0,15.31219412991313,20.66856907571369,0,28
0,tp_uic_stage1,5,8,2.573061743434258e-13,15.34852760019391,20.66856907571369,0,28,7.435984638741747,0.6545926130527407,0.9999694750881378,1.2089012970241371e-13,0.04109524765551185,4.57424793204307e-09,1.1338341968449333e-10,0.10019317207990439,0.09477413120714918,1.414128062468488,0,0,0,13.91187072296276,20.66856907571369,0,28
0,tp_uic_full,5,8,2.573061743434258e-13,14.755095290156106,20.66856907571369,0,28,29.294645083949703,0.47960033796748885,0.9942795442350106,1.2089012970241371e-13,0.04966758994044088,8.383599966262022e-09,3.358855837641133e-10,0.12131910139953828,0.11506308775906474,1.0000011401506024,9,3,126,13.572510157313612,20.66856907571369,0,28
0,perfect_channel,5,8,2.573061743434258e-13,16.650714992406282,20.66856907571369,0,28,inf,1.0,1.0,1.2089012970241371e-13,0.054152727104372134,1.0868630056659725e-08,5.5187170465694e-10,0.13229113700816253,0.1246602522393771,1.0,0,0,0,12.402180708196823,20.66856907571369,0,28
1,no_ic,2,5,4.4082963744794335e-13,22.429189238141383,20.66856907571369,1,28,0.0,1.0,1.0,3.2157655856497295e-13,0.03247153463031106,5.006239902455284e-06,5.292131768277652e-08,0.26325872506877623,0.17214875707650562,13.754786443097856,0,0,0,16.774981783428657,20.66856907571369,0,28
1,fixed_kappa,2,5,4.4082963744794335e-13,37.50851289108837,20.66856907571369,1,28,39.99999999999999,1.0,1.0,3.2157655856497295e-13,0.033987218921541065,6.965761554047449e-06,6.04409601679907e-08,0.2774196854524654,0.17419964610808894,1.0012754786443105,0,0,0,25.69227036474269,20.66856907571369,1,28
