direct_gain_boost_db,receiver,target,arm,threshold,empirical_pfa,pfa_ci95_low,pfa_ci95_high,empirical_pd,pd_ci95_low,pd_ci95_high,auc,n_cal_h0,n_test_h0,n_test_h1,median_conflict_index,median_direct_inr_db,median_kappa_accounted_db,median_kappa_structural_db,median_eta_survive_q,median_eta_survive_risk_q,median_identifiable_fraction,median_protect_dim
0.0,1,1,perfect_channel,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.65625,4,8,8,0.04035813409730849,-1.7798976628333198,nan,nan,1.0,1.0,0.9962685636252578,0.0
0.0,1,1,tp_uic_full,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.65625,4,8,8,0.04035813409730849,-1.7798976628333198,26.594897909769763,30.082485429161395,0.9860710413261778,0.970001978847594,0.9952818144209128,15.0
10.0,1,1,perfect_channel,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.65625,4,8,8,0.04035813409730859,8.220102337166681,nan,nan,1.0,1.0,0.9962685636252578,0.0
10.0,1,1,tp_uic_full,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.578125,4,8,8,0.04035813409730859,8.220102337166681,29.843276753057165,30.384902292409347,0.9860525233312503,0.9699815287716393,0.9948881286292988,15.0
20.0,1,1,perfect_channel,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.65625,4,8,8,0.04035813409730853,18.22010233716668,nan,nan,1.0,1.0,0.9962685636252578,0.0
20.0,1,1,tp_uic_full,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.53125,4,8,8,0.04035813409730853,18.22010233716668,30.331354972203208,30.390086361602528,0.986052205949236,0.9699813144971023,0.9946871360679612,15.0
30.0,1,1,perfect_channel,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.65625,4,8,8,0.04035813409730855,28.22010233716668,nan,nan,1.0,1.0,0.9962685636252578,0.0
30.0,1,1,tp_uic_full,inf,0.0,0.0,0.32440756488388023,0.0,0.0,0.32440756488388023,0.546875,4,8,8,0.04035813409730855,28.22010233716668,30.384178438679,30.390102716853754,0.9860521911498814,0.9699813131791617,0.9944335270749307,15.0
