split,scene_id,boost_db,tp_uic_full_1cpi_h0,tp_uic_full_1cpi_h1,refined_tp_uic_1cpi_h0,refined_tp_uic_1cpi_h1,perfect_channel_1cpi_h0,perfect_channel_1cpi_h1
train,0,10.0,7.0298918803306885,2.892935250669222,7.06639902593708,2.797733982113786,6.990624220371099,2.4624079857046133
train,1,10.0,18.670508640271215,25.37019679647066,6.267427070740014,16.099620765446176,6.754713405120109,17.93767228132549
calibration,2,10.0,7.971428464584387,17.720282048182135,7.86191811333422,18.25136321379657,8.502208133732326,17.908506663148223
calibration,3,10.0,6.0856272944635545,6.197629660500206,6.140529268862729,6.193562370209868,6.15193970669236,6.335553786952908
calibration,4,10.0,7.883665216552829,5.98125480484965,7.817341835623627,5.919676727920975,7.865709362488289,5.890904628322641
test,5,10.0,7.562447011624835,7.506047500007309,7.891460728839229,7.777493587861505,6.804430911847261,7.613088673072347
test,6,10.0,5.266361154317449,7.938928960661086,5.25295169435981,7.931233521342157,5.408001937822485,7.9727511773533015
test,7,10.0,4.670946801446858,45.439916652779836,4.836177624261573,44.74648644315354,3.9332346766689237,43.37228349563191
test,8,10.0,5.195983365533748,8.584884881086577,5.27608398764755,8.633356955115138,5.063109658195562,8.638979013229212
test,9,10.0,5.644313166010616,9.819498321345673,5.665611088405757,9.768325277508636,5.191973823060208,11.95764994401455
test,10,10.0,12.988676577720529,11.092873527342011,12.702350176462263,10.846822803161457,12.040054771016909,15.298822349646528
test,11,10.0,34.05562505700153,51.05046179058806,5.528929244260361,37.81346648472106,6.264930025529596,66.84889589261485
test,12,10.0,8.07592232412338,5.968416529929105,8.159897504758275,5.919271703109183,8.116810260664165,6.304040686980803
test,13,10.0,4.6235872717181445,3.7921118780339285,4.731653891521111,3.8164066880328575,4.221208837880357,3.9063721650823244
test,14,10.0,4.73714588606224,4.413185125138702,4.7062849401302,4.4098242329923085,4.76306031079418,4.347854740183181
test,15,10.0,2.235628363421803,17.914950258558644,1.8514059477812173,19.732991085720485,1.879598992913412,23.346685004569693
test,16,10.0,13.209174190308655,50.86438456457222,13.01544910464718,51.55813046249036,12.022806380147367,61.238283356547214
test,17,10.0,10.958562477903445,13.04620672154265,10.89709266562167,13.292906917112244,10.500953648558331,13.359794535992412
test,18,10.0,11.544878822778433,5.74278938692925,11.43052509260472,5.720409567633408,11.75607849613819,5.714502326725598
test,19,10.0,6.544552885337166,8.855953988977763,6.6327186519122,8.957290540023912,6.80424930831592,8.741597933324943
test,20,10.0,7.025300085606291,8.472706268086412,6.895130890354184,8.467386003460389,6.085931742814512,6.972771750266684
test,21,10.0,11.360181635725251,6.200884849665598,11.555520432337,6.3614787256084355,10.699034041653348,6.6486224423766505
test,22,10.0,5.171327953886125,41.777194422368886,4.767552838729268,42.82983601375328,5.242107678139002,51.53118440788957
test,23,10.0,6.930280947410418,5.5751435714541735,5.3944444911522655,4.650236101301551,10.409666091112705,17.45000069971227
test,24,10.0,9.103356633501798,15.907301741654102,8.633433527708634,15.466519478739327,8.712572629768253,15.722777025408655
test,25,10.0,8.683721001323374,5.230764995608546,8.68303359948616,5.408970416553435,8.082469423820221,5.003516108918515
test,26,10.0,9.453892872913235,8.039867589017657,9.389130500216066,8.0276549344057,9.618612316531596,8.36276765107619
test,27,10.0,7.916603169198514,8.087241905406835,8.031735024767547,8.03503279397086,7.763398224795015,8.241082908601784
test,28,10.0,3.1954908249378136,8.167874152903593,3.080113963141495,8.18502940356722,3.296292741237626,8.501622722808335
