model,method,P_D,P_D_ci95_low,P_D_ci95_high,D_mean,selected_links_mean,B_mean_bits,T_mean_ms,selected_chi_mean,selected_rate_mean_mbps,worst_target_satisfied_prob,actual_worst_target_P_D
legacy,proposed_lagrangian,0.6506,,,7.715197577301142,33.015,21129.6,29.21240224812582,0.8012242256112749,1.3814015162172892,0.585,0.627
legacy,topk_deflection,0.6593,,,7.680298915340163,33.015,21129.6,32.63999629078347,0.7873943631557747,1.271596066408554,0.585,0.645
legacy,sense_sinr,0.6408,,,6.063312971797966,33.015,21129.6,42.38811452820278,0.7491861196226296,0.9896716042789317,0.494,0.624
legacy,single_best,0.6385,,,10.543374946585036,10.0,6400.0,4.401163274146782,0.9039871115728471,2.7005326066535282,0.511,0.627
legacy,nearest,0.1842,,,3.637619139177251,33.015,21129.6,7.437360049032494,0.9525466314470189,4.4373747269001615,0.091,0.165
legacy,shortest_bistatic,0.5497,,,4.976017695407213,33.015,21129.6,39.79818832871092,0.7613347086765424,1.0620097533564437,0.37,0.529
legacy,random,0.1374,,,0.4809401112275924,33.015,21129.6,45.28988435470308,0.7364422135461652,0.9128054463507297,0.022,0.123
legacy,all_neighbor,0.6646,,,11.381933369185257,430.98,275827.2,665.6111917078593,0.7116439779700551,0.8075716541980015,0.568,0.635
legacy + guard fix,proposed_lagrangian,0.9629,,,44.34474870229593,13.97,8940.8,5.157829736897398,0.9320346545613578,4.045544203111605,0.981,0.957
legacy + guard fix,topk_deflection,0.9608,,,44.27148480772546,13.97,8940.8,5.486920248993686,0.9301131331616511,4.0208294988208895,0.98,0.948
legacy + guard fix,sense_sinr,0.8867,,,19.138321431987766,13.97,8940.8,12.435481301730261,0.8344637908101058,1.7265287254784354,0.797,0.874
legacy + guard fix,single_best,0.9568,,,50.061631838579615,10.0,6400.0,1.8887840301752747,0.963650807392897,4.951811685861344,0.957,0.951
legacy + guard fix,nearest,0.4029,,,54.044348147676935,13.97,8940.8,1.4934705454382025,0.9875833410831572,15.782285339844803,0.317,0.383
legacy + guard fix,shortest_bistatic,0.8349,,,18.42173731660839,13.97,8940.8,10.904603199435554,0.8534085175795072,1.921007445845857,0.734,0.819
legacy + guard fix,random,0.2998,,,2.276884450154148,13.97,8940.8,14.294447906128408,0.8072860740762928,1.383158122732586,0.143,0.279
legacy + guard fix,all_neighbor,0.9809,,,49.46299678227416,446.84,285977.6,686.8822983255664,0.7128970977900821,0.8159753079727748,0.978,0.973
coupled,proposed_lagrangian,0.6447,,,7.07460434297355,33.098,21182.72,30.218208952341634,0.7955028523995544,1.3061213797489244,0.573,0.625
coupled,topk_deflection,0.6495,,,7.052575918421301,33.098,21182.72,33.72183604150952,0.7815618921716679,1.2069887200253355,0.574,0.639
coupled,sense_sinr,0.6334,,,5.536849219964646,33.098,21182.72,43.710175292333176,0.7428209175234017,0.9428864460220637,0.484,0.62
coupled,single_best,0.6242,,,8.381481711439537,10.0,6400.0,5.040391483577,0.8889143726077693,2.2773088710358866,0.484,0.612
coupled,nearest,0.1764,,,2.720782154551412,33.098,21182.72,8.41913688364857,0.9442847274879012,3.697531281239385,0.083,0.157
coupled,shortest_bistatic,0.5423,,,4.522982133922879,33.098,21182.72,41.08464694031568,0.7547613137093786,1.0141032879262055,0.361,0.522
coupled,random,0.135,,,0.4566937932312996,33.098,21182.72,46.46316003604619,0.7311165397930112,0.8830872308869238,0.02,0.121
coupled,all_neighbor,0.6619,,,11.023747103268189,430.98,275827.2,667.2412187468844,0.7111186649849441,0.8045666445492738,0.565,0.629
