experiment,condition,area_xy_m,wall_time_s,seconds_per_trial,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
target_local_v1_geometry,area_2500m,2500.0,41.17885159997968,0.4117885159997968,proposed_c2f_adaptive_pd,0.992,0.9842934787948114,0.9959408529961804,0.005823687100684483,0.0500334672021419,0.049833333333333334,6521.6,10.869333333333335,10.19,1.0,1.0,785.62,0.3931535935319351,2.87242671111145,1.069404926756669,1.2857999033167768,0.9998543006267279,0.9991655176138201,0.9994579881858927,1.7754569187521512,1.0,1.0,47126005.01117166,16736.00832555953,364.79947552933373,1264032.7058203106,785.62,101.88,0.996,0.94,761785.7920764654,0.97,0.992,0.97,1.0,0.1521099116781158,0.09126594700686946,7226141.592733633,4335684.955640179
target_local_v1_geometry,area_4000m,4000.0,43.77102309995098,0.4377102309995098,proposed_c2f_adaptive_pd,0.979,0.9681094652438844,0.9862243659103536,0.009057450333234573,0.04897822445561139,0.04873333333333333,7782.4,12.970666666666668,12.16,1.0,1.0,518.54,0.5314911618169282,3.0003562409235167,1.0357534246777742,1.2679896079802966,0.9996451511627328,0.9964110956288924,0.9997316200834342,2.0192498078846386,1.0,1.0,5895562.047935251,2154.9429726272338,34.81204360853234,148128.90648869783,518.54,119.14,0.9953766233766234,0.88,102373.45452654648,0.97,0.9790000000000001,0.96,1.0,0.12579666940789475,0.07547800164473684,757550.6332153643,454530.37992921856
target_local_v1_geometry,area_5500m,5500.0,48.08374559995718,0.48083745599957184,proposed_c2f_adaptive_pd,0.913,0.8939131380174493,0.9289258437501923,0.017506352866371477,0.0504847876964226,0.050333333333333334,10156.8,16.928000000000008,15.87,1.0,1.0,284.15,0.7042246676066314,3.001678166931108,0.9467101888203199,1.1818082983839766,0.9986829700222676,0.9869283024151386,0.998442341302859,1.9595040218952005,1.0,1.0,732748.9783071987,351.91508887039134,5.706401741238873,31874.788915354464,284.15,142.02,0.9969940476190476,0.56,26216.195870586616,0.9,0.9129999999999999,0.87,0.95,0.08989051669817266,0.053934310018903565,72143.68485223681,43286.21091134206
