split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,raw_stat_h0,raw_stat_h1,target_direction_inflation_h0,whitened_residual_power_h0,whitened_residual_ratio_h0,dof_real,identifiable_fraction,ncp_unit,glrt_neighbourhood_size,glrt_selected_offset_delay,glrt_selected_offset_doppler,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,s_q_energy,post_ic_sinr,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,1,0,30.0,tp_uic_full,tp_uic_full,0.03716533680734029,32.1591841410702,0,1,8.121984509350037,8.035138288741647,8.121984509350037,8.035138288741647,1.6243969018700075,16153.174105140293,0.9859115054406917,10,0.9985211057269222,0.5557191918634286,9,0.25,0.25,39.0965233340951,39.114947411576765,1.0319046799795836e-06,1.2705368004798635e-10,1.26515821827623e-10,5.378582203633407e-13,0.9950283496851621,0.9965959932551364,0.9930805931173482,0.9783131393861081,0.18125879892163121,2.2927676706634022e-14,3.022845935944932e-05,15,15,23.43896230627552
calibration,0,0,1,0,30.0,perfect_channel,perfect_channel,0.03716533680734029,32.1591841410702,0,1,7.965811106598508,7.859673536097593,7.965811106598508,7.859673536097593,1.5931622213197016,16187.609096295118,0.9880132505062938,10,0.9986970948315728,0.5768342698793353,9,0.25,0.25,inf,inf,1.0319046799795836e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.18125879892163121,2.2927676706634022e-14,3.6529092350318645e-05,0,15,nan
calibration,0,0,1,1,30.0,tp_uic_full,tp_uic_full,0.03716533680734029,32.35061942298008,0,1,5.147674752833488,8.735139748223341,5.147674752833488,8.735139748223341,1.0295349505666977,16219.43230146842,0.9899555848064221,10,0.9980277803807569,0.543184359822714,9,0.25,-0.25,39.3787242341648,39.398830483173285,1.0784080232143685e-06,1.2442587023411438e-10,1.2385115526654853e-10,5.747149675658554e-13,0.9930606441080307,0.9958765836653045,0.9930805931173482,0.9783131393861081,0.15466894297473358,2.5470613740071273e-14,3.363182946619552e-05,15,15,23.34819668811571
calibration,0,0,1,1,30.0,perfect_channel,perfect_channel,0.03716533680734029,32.35061942298008,0,1,5.1951030194665275,8.228321112290137,5.1951030194665275,8.228321112290137,1.0390206038933054,16249.16325014417,0.9917702179043073,10,0.9983959830806879,0.5766895625265436,9,0.25,0.0,inf,inf,1.0784080232143685e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.15466894297473358,2.5470613740071273e-14,4.058057924644175e-05,0,15,nan
calibration,1,0,1,0,30.0,tp_uic_full,tp_uic_full,0.16082024679836263,27.002313720225196,0,1,3.2618647566117547,4.9749321111232545,3.2618647566117547,4.9749321111232545,0.652372951322351,16558.481157519996,1.0106494847119138,10,0.9210085603585069,0.23700347063143035,9,-0.25,0.25,32.922880411613185,32.934283177832334,3.1474043449512687e-07,1.6057003382580034e-10,1.601489966979316e-10,4.210371278687521e-13,0.8710372646771943,0.2896972562270137,0.9245828525289073,0.6778781862649218,0.045442060591627614,1.4518082810000354e-14,1.604337154372447e-05,15,15,24.458188633884916
calibration,1,0,1,0,30.0,perfect_channel,perfect_channel,0.16082024679836263,27.002313720225196,0,1,5.138417506123553,6.619417988213017,5.138417506123553,6.619417988213017,1.0276835012247107,16595.02368475631,1.0128798635715521,10,0.9501609057099953,0.4163374101420273,9,-0.25,0.25,inf,inf,3.1474043449512687e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.045442060591627614,1.4518082810000354e-14,2.3130664066046744e-05,0,15,nan
calibration,1,0,1,1,30.0,tp_uic_full,tp_uic_full,0.16082024679836263,24.99095955970999,0,1,5.165821520184109,9.146122596703009,5.165821520184109,9.146122596703009,1.033164304036822,16406.62505259008,1.00138092362,10,0.9156791385441826,0.2628681298040317,9,0.0,0.25,31.855714285046236,31.871472998978835,1.9806928049584288e-07,1.2919499678534883e-10,1.2872705216527628e-10,4.679446200725469e-13,0.7945793838845787,0.22581267367888674,0.9245828525289073,0.6778781862649218,0.042990555526269625,1.838940179286206e-14,1.9306117092178436e-05,15,15,23.514000599936654
calibration,1,0,1,1,30.0,perfect_channel,perfect_channel,0.16082024679836263,24.99095955970999,0,1,4.95430885338039,6.778131559989392,4.95430885338039,6.778131559989392,0.990861770676078,16439.46784615204,1.0033854886567408,10,0.9501609057099953,0.4163374101420273,9,-0.25,0.25,inf,inf,1.9806928049584288e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.042990555526269625,1.838940179286206e-14,2.929857067306807e-05,0,15,nan
calibration,2,0,1,0,30.0,tp_uic_full,tp_uic_full,0.009495056029634198,26.388528125180134,0,1,6.309729304429258,8.058615973462352,6.309729304429258,8.058615973462352,1.2619458608858516,16241.952728388258,0.9913301225822911,10,0.967122016891432,1.2725714276828983,9,0.25,-0.25,33.83855069061311,33.85295566732388,2.732586890672491e-07,1.1290649131225838e-10,1.1253261572269926e-10,3.7387558955911043e-13,0.9912618198388061,0.9967747992286863,0.9920778347728785,0.981821172047409,0.06794204445462265,5.153412935814697e-14,6.897981867557276e-05,15,15,22.933308068791124
calibration,2,0,1,0,30.0,perfect_channel,perfect_channel,0.009495056029634198,26.388528125180134,0,1,6.079850895918387,8.135017287634733,6.079850895918387,8.135017287634733,1.2159701791836774,16295.519943006033,0.9945996058963643,10,0.9678316133683631,1.3057564440445597,9,0.25,-0.25,inf,inf,2.732586890672491e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06794204445462265,5.153412935814697e-14,8.210578832753369e-05,0,15,nan
calibration,2,0,1,1,30.0,tp_uic_full,tp_uic_full,0.009495056029634198,25.686094088880935,0,1,9.91207870173425,5.850223710897606,9.91207870173425,5.850223710897606,1.98241574034685,16320.163879558553,0.9961037524144625,10,0.7539668483380545,0.9159912422894195,9,-0.25,0.25,33.29858408212409,33.317154830956774,2.3245054934980182e-07,1.0876074371690666e-10,1.0829666776190634e-10,4.640759550003206e-13,0.990766324043917,0.9993378189684633,0.9920778347728785,0.981821172047409,0.07201929635475872,5.0675909907147187e-14,6.817883531808952e-05,15,15,22.770840640980957
calibration,2,0,1,1,30.0,perfect_channel,perfect_channel,0.009495056029634198,25.686094088880935,0,1,9.727108442777292,6.0050512837208245,9.727108442777292,6.0050512837208245,1.9454216885554583,16351.77736187714,0.9980332862473841,10,0.805277393655438,1.04055654851111,9,-0.25,0.25,inf,inf,2.3245054934980182e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07201929635475872,5.0675909907147187e-14,8.073844622900612e-05,0,15,nan
calibration,3,0,1,0,30.0,tp_uic_full,tp_uic_full,0.3811454053047992,27.544463728654378,0,1,2.79041422119879,8.116862202969308,2.79041422119879,8.116862202969308,0.5580828442397581,16237.77100310825,0.9910748903264313,10,0.9908570547314905,0.4418850476209829,9,-0.25,-0.25,33.809538197122976,33.82444720080511,3.5658867063757545e-07,1.4832478283530217e-10,1.4781646798824723e-10,5.083148470549354e-13,0.7938302847614401,0.7634762114929456,0.7969186781228528,0.7095991131930943,0.13030666916301387,3.790305636584134e-14,3.877495893287398e-05,15,15,24.112246126963
calibration,3,0,1,0,30.0,perfect_channel,perfect_channel,0.3811454053047992,27.544463728654378,0,1,3.411625006399882,6.864581338215724,3.411625006399882,6.864581338215724,0.6823250012799764,16283.992452512184,0.9938960237129019,10,0.9727222037832692,0.8895329842110298,9,0.25,-0.25,inf,inf,3.5658867063757545e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.13030666916301387,3.790305636584134e-14,6.0388336073603725e-05,0,15,nan
calibration,3,0,1,1,30.0,tp_uic_full,tp_uic_full,0.3811454053047992,27.88752725754022,0,1,5.648590260029354,10.41732335263508,5.648590260029354,10.41732335263508,1.1297180520058707,16267.878721659183,0.9929125196325185,10,0.9602745584158031,0.4432040109595031,9,0.0,0.25,32.976735145694946,32.98826675656832,3.8589921378012813e-07,1.9444661141665891e-10,1.939309916073696e-10,5.156198092893248e-13,0.7566869939732176,0.7661981224983315,0.7969186781228528,0.7095991131930943,0.12077302702308268,4.4967077224828746e-14,4.138903457028052e-05,15,15,25.28811270727688
calibration,3,0,1,1,30.0,perfect_channel,perfect_channel,0.3811454053047992,27.88752725754022,0,1,5.634076355560467,9.330164288836865,5.634076355560467,9.330164288836865,1.1268152711120933,16303.589160204616,0.995092111828895,10,0.9727153814694838,0.8877968127628731,9,0.25,0.25,inf,inf,3.8589921378012813e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12077302702308268,4.4967077224828746e-14,7.164295526700263e-05,0,15,nan
calibration,4,0,1,0,30.0,tp_uic_full,tp_uic_full,0.9864752491153166,27.896077708586034,0,1,9.982800355484116,6.5573219341871,9.982800355484116,6.5573219341871,1.9965600710968232,16244.26896131042,0.9914714942206067,10,0.9946101004006864,0.6714305394251519,9,0.0,-0.25,25.862171203647243,25.86480138863688,3.8665972600583294e-07,1.0025633364317836e-09,1.0019563453650043e-09,6.069910667792659e-13,0.9382978692645979,0.9397534711509271,0.036012865061832766,0.02310441326321939,0.006099034506062722,1.2009254301352521e-12,0.0006912114604997357,15,15,32.41445834324626
calibration,4,0,1,0,30.0,perfect_channel,perfect_channel,0.9864752491153166,27.896077708586034,0,1,10.644105026600815,10.051470977266039,10.644105026600815,10.051470977266039,2.1288210053201633,16252.784777699431,0.9919912584045063,10,0.9998414566145997,31.98341292094349,9,0.25,-0.25,inf,inf,3.8665972600583294e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.006099034506062722,1.2009254301352521e-12,0.0019133519939490227,0,15,nan
calibration,4,0,1,1,30.0,tp_uic_full,tp_uic_full,0.9864752491153166,28.197179013004895,0,1,8.616865759512661,9.900776310441984,8.616865759512661,9.900776310441984,1.7233731519025324,16235.1408062818,0.9909143558521607,10,0.9950888988327842,0.7351550599660065,9,0.25,-0.25,26.091954703380207,26.094567186780445,4.144184378305669e-07,1.019162883701177e-09,1.0185499941608814e-09,6.128895402956423e-13,0.945544860618361,0.946170129268216,0.036012865061832766,0.02310441326321939,0.00801129992310853,1.2429910128178111e-12,0.0007136815764058321,15,15,32.48577614793216
calibration,4,0,1,1,30.0,perfect_channel,perfect_channel,0.9864752491153166,28.197179013004895,0,1,9.170010047007453,11.593410712267445,9.170010047007453,11.593410712267445,1.8340020094014906,16255.554442145545,0.9921603053067349,10,0.9998414566145997,31.98341292094349,9,0.25,-0.25,inf,inf,4.144184378305669e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.00801129992310853,1.2429910128178111e-12,0.001980372197271087,0,15,nan
calibration,5,0,1,0,30.0,tp_uic_full,tp_uic_full,0.32841811325081544,32.15545827463501,0,1,5.178852167403217,19.147306349313908,5.178852167403217,19.147306349313908,1.0357704334806432,16665.747663826387,1.017196512684716,10,0.9996202759840417,4.129189671429173,9,-0.25,0.25,22.216426238945704,22.216706993802624,1.031019775745617e-06,6.189055419441507e-09,6.188655333491181e-09,4.0008595032549047e-13,0.8773526534736025,0.9168973372754723,0.8701347865453375,0.6229834164257033,0.028409672552882848,1.8776807705613095e-13,2.4166908140183847e-05,15,15,40.32184478850727
calibration,5,0,1,0,30.0,perfect_channel,perfect_channel,0.32841811325081544,32.15545827463501,0,1,4.669464848840549,18.532614481113104,4.669464848840549,18.532614481113104,0.9338929697681098,16638.656438091806,1.0155429954890018,10,0.9995408192547798,5.5920699858738745,9,-0.25,0.25,inf,inf,1.031019775745617e-06,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.028409672552882848,1.8776807705613095e-13,0.0002991579790219449,0,15,nan
calibration,5,0,1,1,30.0,tp_uic_full,tp_uic_full,0.32841811325081544,32.88465148049363,0,1,6.139752185336896,15.1410210009148,6.139752185336896,15.1410210009148,1.227950437067379,16388.45923734891,1.0002721702483466,10,0.9964399952891924,4.220388498007938,9,0.25,0.25,23.84927201654591,23.849819328314922,1.2195126680852858e-06,5.026423930864827e-09,5.025790524789204e-09,6.334060756229919e-13,0.8967978878566176,0.9279535975610624,0.8701347865453375,0.6229834164257033,0.014102214998706643,2.4035385846242075e-13,3.812271204416869e-05,15,15,39.41819221676569
