receiver,illuminator,target,rho,trial,m_rx,axis
0,1,0,0.9825539894544911,0,8,0
0,1,1,0.9730008789967649,0,8,0
0,1,2,0.7517105317971018,0,8,0
0,1,3,0.3039602898268534,0,8,0
0,1,4,0.053342392778716885,0,8,0
0,1,5,0.9923876555087903,0,8,0
0,1,6,0.7610806177691927,0,8,0
0,1,7,0.9878527691764389,0,8,0
0,1,8,0.5009295616093712,0,8,0
0,1,9,0.8345350733596621,0,8,0
0,2,0,0.9196748834825357,0,8,0
0,2,1,0.9885879461162844,0,8,0
0,2,2,0.9059959064874565,0,8,0
0,2,3,0.3546433125736379,0,8,0
0,2,4,0.2852715030462757,0,8,0
0,2,5,0.9950952924761365,0,8,0
0,2,6,0.9766704222368703,0,8,0
0,2,7,0.9550756405173174,0,8,0
0,2,8,0.31019176409589333,0,8,0
0,2,9,0.9644484595491242,0,8,0
0,3,0,0.9750450514335764,0,8,0
0,3,1,0.938622186486116,0,8,0
0,3,2,0.8371797756705897,0,8,0
0,3,3,0.6545142714375844,0,8,0
0,3,4,0.9090415214152504,0,8,0
0,3,5,0.9661543262318677,0,8,0
0,3,6,0.9958764601046651,0,8,0
0,3,7,0.8560478850462474,0,8,0
0,3,8,0.3274651708891346,0,8,0
0,3,9,0.029651490856714258,0,8,0
0,4,0,0.8582985713274339,0,8,0
0,4,1,0.971340018693278,0,8,0
0,4,2,0.837353703214882,0,8,0
0,4,3,0.8843767419855391,0,8,0
0,4,4,0.16006675722880825,0,8,0
0,4,5,0.9970284358730914,0,8,0
0,4,6,0.9898750375165946,0,8,0
0,4,7,0.9359996776894891,0,8,0
0,4,8,0.34386639547454534,0,8,0
0,4,9,0.897645910648181,0,8,0
0,5,0,0.7840919094316626,0,8,0
0,5,1,0.9786505336651615,0,8,0
0,5,2,0.7812390797396639,0,8,0
0,5,3,0.5171968864313631,0,8,0
0,5,4,0.7825027129231572,0,8,0
0,5,5,0.9665766731365452,0,8,0
0,5,6,0.9966345008137615,0,8,0
0,5,7,0.9792312335884801,0,8,0
0,5,8,0.30906695016913033,0,8,0
0,5,9,0.011735191779457255,0,8,0
0,6,0,0.9082499141473488,0,8,0
0,6,1,0.9663949256948157,0,8,0
0,6,2,0.8968173488574362,0,8,0
0,6,3,0.3387827371880928,0,8,0
0,6,4,0.9734176607658982,0,8,0
0,6,5,0.98134724541197,0,8,0
0,6,6,0.9891627116840281,0,8,0
0,6,7,0.9599628121206223,0,8,0
0,6,8,0.33060552917529973,0,8,0
