trial,m_rx,axis,target,n_links,n_receivers,rho_mean,rho_p10,rho_p50,rho_p90,spread_p90_p10,rho_min,rho_max,spread_receiver_level,spearman_rho_sinr,top1,medrank1,headroom1,top2,medrank2,headroom2,top3,medrank3,headroom3,headroom_vs_mean1
0,1,0,0,210,15,0.04435072007099858,1.8177142535602544e-08,1.4450914389896319e-05,0.07164253074646056,0.07164251256931801,0.0,0.8800495842984074,6.356077082190214e-05,0.09253271049230141,0.8800495842984074,1.4315737785541849e-05,0.8800352685606219,0.8793093946590673,1.4450914389896319e-05,0.8792949437446774,0.8734841002226977,1.431167126760465e-05,0.8734697885514301,0.8356988642274088
0,1,0,1,210,15,0.13608457213478212,1.623740598977186e-07,0.0018336859394679772,0.5124067229358202,0.5124065605617604,0.0,0.9593910295546568,0.06425885051870917,-0.25610622851830134,0.9593910295546568,0.0018151842456182177,0.9575758453090386,0.9417644775227545,0.0018336859394679772,0.9399307915832865,0.9342193945681982,0.001809926773856274,0.932409467794342,0.8233064574198747
0,1,0,2,210,15,0.08283565353113416,3.148628406890453e-08,9.72000353793856e-05,0.35315210340986114,0.35315207192357706,0.0,0.8542105875429254,0.014369310170576237,0.08016832257291225,0.8542105875429254,9.506055864472174e-05,0.8541155269842807,0.8520183701815838,9.72000353793856e-05,0.8519211701462044,0.8480229354469223,9.595589454181042e-05,0.8479269795523805,0.7713749340117912
0,1,0,3,210,15,0.1630645509796543,1.6924214660596352e-06,0.010190139871717685,0.6864290229800883,0.6864273305586223,2.634482076935285e-09,0.9170676781235618,0.11652047541333514,-0.49934983948453643,0.9170676781235618,0.008626053817558432,0.9084416243060034,0.902607802984833,0.010190139871717685,0.8924176631131153,0.892272309208864,0.00960904538944655,0.8826632638194175,0.7540031271439075
0,1,0,4,210,15,0.0072978931815921725,1.5222819427229696e-08,1.4551950090480048e-06,0.0009973483555570039,0.0009973331327375766,0.0,0.5147692014127413,0.00014347529324674194,0.017826772877907824,0.5147692014127413,1.3980360595855501e-06,0.5147678033766817,0.4556372162672971,1.4551950090480048e-06,0.45563576107228804,0.37094731498929195,1.3384171197265242e-06,0.3709459765721722,0.5074713082311492
0,1,0,5,210,15,0.03242774758809696,3.3838951030151776e-08,4.612843426826663e-05,0.054698439807080855,0.054698405968129825,0.0,0.8555531390300093,0.004751978189250126,-0.3953293401534858,0.8555531390300093,4.207243098364177e-05,0.8555110665990256,0.8433479542427771,4.612843426826663e-05,0.8433018258085088,0.8228733525411879,4.442756968921676e-05,0.8228289249714986,0.8231253914419123
0,1,0,6,210,15,0.04040111376443542,2.9611683483032895e-08,1.5400935412968053e-05,0.07310159000495302,0.07310156039326954,0.0,0.6539930773119966,0.006610100867768618,0.0733887713683174,0.6539930773119966,1.5365186706750578e-05,0.6539777121252899,0.6378858405113199,1.5400935412968053e-05,0.637870439575907,0.6253295103305332,1.493963526488784e-05,0.6253145706952683,0.6135919635475612
0,1,0,7,210,15,0.28634486025883277,5.429748177743223e-08,0.026270905329435212,0.8864106359056017,0.8864105816081199,0.0,0.9525516400985037,0.665564228159001,-0.1879155018092409,0.9525516400985037,0.025627669040517498,0.9269239710579862,0.9525450873901471,0.026270905329435212,0.9262741820607119,0.9492294126826534,0.024923866758528163,0.9243055459241252,0.6662067798396709
0,1,0,8,210,15,0.0351678895174726,1.898780648889043e-05,0.0017497956202521259,0.09472605396631491,0.09470706615982602,0.0,0.6757208022476988,0.03171886181052782,-0.47537391518434174,0.6757208022476988,0.0017362855902327556,0.6739845166574661,0.657640324004687,0.0017497956202521259,0.6558905283844348,0.6505943944150784,0.0017451479301123045,0.6488492464849661,0.6405529127302262
0,1,0,9,210,15,0.2080745617808744,3.429804963372974e-08,0.003318694793952859,0.8711736918549058,0.8711736575568562,0.0,0.9553055172258765,0.15366893187413982,-0.05985817624630296,0.9553055172258765,0.0032912907682740578,0.9520142264576025,0.9526733721339207,0.003318694793952859,0.9493546773399678,0.9484000864389642,0.003209844280465927,0.9451902421584983,0.7472309554450021
