family,area_side_m,rcs_m2,report_budget,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms
compact_600m,600.0,20.0,0,joint,0.9890000000000001,0.04956666666666667,0.0,10.12,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,20.0,0,balanced,0.9969999999999999,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
compact_600m,600.0,20.0,0,robust,0.99,0.050333333333333334,0.0,11.23,10.0,0.9881550116550116,0.0,0.0
compact_600m,600.0,20.0,8,v1,0.9880000000000001,0.04946666666666667,0.05,10.09,10.0,0.9890000000000001,32.0,0.05333333333333334
compact_600m,600.0,20.0,8,joint,0.9890000000000001,0.049433333333333336,0.0,10.1,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,20.0,8,balanced,0.998,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
compact_600m,600.0,20.0,8,robust,0.99,0.0502,0.67,10.88,10.0,0.9894125874125873,428.8,0.7146666666666667
compact_600m,600.0,50.0,0,v1,0.9890000000000001,0.049266666666666674,0.0,10.0,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,50.0,0,joint,0.9890000000000001,0.049266666666666674,0.0,10.0,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,50.0,0,balanced,0.9969999999999999,0.05083333333333333,0.0,60.0,10.0,0.9833333333333333,0.0,0.0
compact_600m,600.0,50.0,0,robust,0.9890000000000001,0.05053333333333335,0.0,10.21,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,50.0,8,v1,0.9890000000000001,0.049266666666666674,0.0,10.0,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,50.0,8,joint,0.9890000000000001,0.049266666666666674,0.0,10.0,10.0,0.9890000000000001,0.0,0.0
compact_600m,600.0,50.0,8,balanced,0.998,0.05163333333333333,8.0,60.0,10.0,0.9818333333333332,5120.0,8.533333333333331
compact_600m,600.0,50.0,8,robust,0.9890000000000001,0.05030000000000001,0.15,10.15,10.0,0.9890000000000001,96.0,0.16
baseline_4km,4000.0,0.05,0,v1,0.083,0.04769999999999999,0.0,59.53,10.0,0.9976666666666668,0.0,0.0
baseline_4km,4000.0,0.05,0,joint,0.087,0.04829999999999999,0.0,58.73,10.0,0.9976638418079097,0.0,0.0
baseline_4km,4000.0,0.05,0,balanced,0.084,0.047566666666666674,0.0,60.0,10.0,0.9975,0.0,0.0
baseline_4km,4000.0,0.05,0,robust,0.08399999999999999,0.04783333333333334,0.0,60.0,10.0,0.9976666666666668,0.0,0.0
baseline_4km,4000.0,0.05,8,v1,0.09299999999999999,0.04709999999999999,7.0,48.38,10.0,0.9963820707070706,4480.0,7.466666666666666
baseline_4km,4000.0,0.05,8,joint,0.095,0.04833333333333333,7.06,46.28,10.0,0.9963315151002127,4518.4,7.530666666666669
baseline_4km,4000.0,0.05,8,balanced,0.096,0.048066666666666674,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,0.05,8,robust,0.09599999999999997,0.04819999999999999,5.6,45.02,10.0,0.9977617021276595,3584.0,5.9733333333333345
baseline_4km,4000.0,0.1,0,v1,0.11299999999999999,0.047799999999999995,0.0,59.37,10.0,0.9976666666666667,0.0,0.0
baseline_4km,4000.0,0.1,0,joint,0.113,0.048533333333333324,0.0,58.39,10.0,0.9976547619047619,0.0,0.0
baseline_4km,4000.0,0.1,0,balanced,0.11,0.04756666666666669,0.0,60.0,10.0,0.9975,0.0,0.0
baseline_4km,4000.0,0.1,0,robust,0.11399999999999999,0.04783333333333333,0.0,60.0,10.0,0.9976666666666667,0.0,0.0
baseline_4km,4000.0,0.1,8,v1,0.136,0.047433333333333334,7.56,51.03,10.0,0.9968056774642982,4838.4,8.064
baseline_4km,4000.0,0.1,8,joint,0.13799999999999998,0.04733333333333333,7.43,50.37,10.0,0.9968358671159163,4755.2,7.925333333333332
baseline_4km,4000.0,0.1,8,balanced,0.13999999999999999,0.048066666666666674,8.0,60.0,10.0,0.9975,5120.0,8.533333333333331
baseline_4km,4000.0,0.1,8,robust,0.14,0.048100000000000004,6.58,47.18,10.0,0.996033130699088,4211.2,7.018666666666669
baseline_4km,4000.0,0.2,0,v1,0.16699999999999998,0.04786666666666667,0.0,58.31,10.0,0.9976515151515151,0.0,0.0
baseline_4km,4000.0,0.2,0,joint,0.16899999999999998,0.04823333333333332,0.0,57.12,10.0,0.9976396103896102,0.0,0.0
baseline_4km,4000.0,0.2,0,balanced,0.17,0.04756666666666669,0.0,60.0,10.0,0.9975,0.0,0.0
