experiment,group,variant,interference_model,coupling,eps_mode,sense_gate_by_active_tx,direct_cancellation_db,near_far_db,sense_inr_db,comm_inr_db,sense_sinr_db,raw_sinr_db,comm_sinr_db,sense_sinr_no_cancel_db,guard_over_n0_db,sense_inr_table_db,inr_ratio_db,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA_active,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
interference_consistency,bookkeeping,legacy,active_set,legacy,legacy,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-22.019284319927714,-19.36627435778947,-13.903338390527505,-41.320291370868084,14.16698771296449,-16.328619959821143,33.32701227395069,proposed_lagrangian,0.6506,0.6411988854938196,0.6598854499478769,0.009343282227028626,0.04426327898369511,0.04425,21129.6,29.21240224812582,33.015,0.9997,1.0,430.98,0.38695495381822903,1.3814015162172892,0.27389511919499354,0.35759392699494835,0.8012242256112749,0.5740897531024625,0.63574175357225,-3.7103975347386298,1.0,1.0,7.715197577301142,4.098238078259158,0.2219252493807476,15.4832756988601,0.006,7.013766790073157,0.585,0.6506000000000001,0.627,0.665,0.03079092836589429,0.02227136250123834,0.36513694425361304,0.2641069197859661
interference_consistency,bookkeeping,legacy,active_set,legacy,legacy,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-22.019284319927714,-19.36627435778947,-13.903338390527505,-41.320291370868084,14.16698771296449,-16.328619959821143,33.32701227395069,all_neighbor,0.6646,0.6552846024404319,0.6737889806518874,0.009252189105727782,0.04794,0.04794,275827.2,665.6111917078593,430.98,1.0,1.0,430.98,0.32313412146855786,0.8075716541980015,0.20802849636792461,0.23576396076439754,0.7116439779700551,0.5100413355987397,0.5419290811045542,-6.471923752532332,1.0,1.0,11.381933369185257,4.641962043740417,0.21530652630796085,28.671379782752343,0.006,10.025321481839708,0.568,0.6646,0.635,0.685,0.002409479558216158,0.0009984808072333268,0.04126472432445116,0.01709997294363532
interference_consistency,bookkeeping,legacy+guard,active_set,legacy,noise_relative,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-9.95108176771654,-5.040361082483583,-13.760880064344601,-41.320291370868084,-30.0,-2.002706684515256,33.32701227395069,proposed_lagrangian,0.9629,0.9590141544995893,0.9664303267484943,0.003708086124452503,0.04405666666666667,0.04405666666666667,8940.8,5.157829736897398,13.97,1.0,1.0,446.84,0.5846356363700483,4.045544203111605,1.590148690577967,1.934102714731382,0.9320346545613578,0.826790990299796,0.8618326550093192,3.892932900358233,1.0,1.0,44.34474870229593,22.208895938398552,7.015466434924603,96.49955775173581,0.871,41.95868815440321,0.981,0.9629,0.957,0.969,0.1076972977809592,0.18668704651332976,4.959818886709907,8.597559625721717
interference_consistency,bookkeeping,legacy+guard,active_set,legacy,noise_relative,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-9.95108176771654,-5.040361082483583,-13.760880064344601,-41.320291370868084,-30.0,-2.002706684515256,33.32701227395069,all_neighbor,0.9809,0.9780267134524145,0.9834039433464694,0.0026886149470274345,0.04847666666666667,0.04847666666666667,285977.6,686.8822983255664,446.84,1.0,1.0,446.84,0.3349497117006758,0.8159753079727748,0.20808102428521671,0.23636681209737562,0.7128970977900821,0.5101155471405499,0.5425507993734544,-6.432847546182444,1.0,1.0,49.46299678227416,39.85480992881715,11.64235362091128,89.10647079719257,0.863,47.50723828941146,0.978,0.9809000000000001,0.973,0.986,0.003429988922209292,0.0014280467008556917,0.1729610877994436,0.07201087712240015
interference_consistency,bookkeeping,coupled,active_set,shared_spectrum,legacy,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-22.027794963812457,-19.36627435778947,-13.903338390527505,-41.320291370868084,14.16698771296449,-16.041590449671265,33.32701227395069,proposed_lagrangian,0.6447,0.6352654292219184,0.654023437567016,0.009379004172548777,0.044193257977393215,0.04418,21182.72,30.218208952341634,33.098,0.9997,1.0,430.98,0.3683129869709521,1.3061213797489244,0.2663066043285689,0.3454900889819149,0.7955028523995544,0.5677197602869872,0.6285204553095425,-3.961158336034466,1.0,1.0,7.07460434297355,3.9271931589409776,0.21320420875353704,14.452664932380372,0.006,6.490975709233031,0.573,0.6447,0.625,0.66,0.030435184905432355,0.021334818387707313,0.33397997721603034,0.23411726201679245
interference_consistency,bookkeeping,coupled,active_set,shared_spectrum,legacy,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-22.027794963812457,-19.36627435778947,-13.903338390527505,-41.320291370868084,14.16698771296449,-16.041590449671265,33.32701227395069,all_neighbor,0.6619,0.6525673699526932,0.6711082868070061,0.009270458427156458,0.04781,0.04781,275827.2,667.2412187468844,430.98,1.0,1.0,430.98,0.32256292656898605,0.8045666445492738,0.20767951825553466,0.23517535319872243,0.7111186649849441,0.5096163548768644,0.541295690225054,-6.4867771308569315,1.0,1.0,11.023747103268189,4.567042565280266,0.21065152903204978,28.105418862903154,0.006,9.82397111632639,0.565,0.6618999999999999,0.629,0.681,0.0023996908209197644,0.0009919950707528,0.03996613496880724,0.01652138206325351
interference_consistency,bookkeeping,coupled+guard,active_set,shared_spectrum,noise_relative,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-10.06552104072998,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,-1.7156771743653798,33.32701227395069,proposed_lagrangian,0.9481,0.94357758173567,0.9522782662817557,0.004350342273042873,0.04235,0.04235,9535.36,6.940672989058459,14.899,1.0,1.0,446.84,0.5042112879979547,2.9125515592399513,1.1167332656950306,1.3468546897307014,0.9103376927297658,0.787201375051539,0.8256837607047012,1.4250061956271511,1.0,1.0,25.10187907102537,15.845713434282164,5.819990062774671,50.84701232915413,0.826,24.33276668752656,0.973,0.9480999999999999,0.935,0.955,0.0994299114034499,0.13660058635446748,2.632504600877719,3.616634742855185
interference_consistency,bookkeeping,coupled+guard,active_set,shared_spectrum,noise_relative,False,40.0,41.31898297706922,-3.9072272880820114,29.41978498586868,-10.06552104072998,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,-1.7156771743653798,33.32701227395069,all_neighbor,0.9757,0.9724943932867947,0.9785402572418582,0.0030229319775317842,0.04865333333333333,0.04865333333333333,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,41.57199497503818,35.45835051593154,9.928966664138894,76.2747112865287,0.822,40.20764932403373,0.973,0.9757,0.966,0.982,0.003411805679885418,0.0014172365268299676,0.14536801125346244,0.060384697931552704
interference_consistency,cancellation_sweep,kappa_dc_0dB,active_set,shared_spectrum,noise_relative,False,0.0,41.31898297706922,36.09277271191799,29.41978498586868,-43.932916650851155,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,36.088722332868784,-6.672987726049307,proposed_lagrangian,0.0021,0.0013739811491914563,0.0032084184761684647,0.0009172186634885042,0.04255663430420712,0.0017533333333333333,306.56,0.07816531934962911,0.479,0.0412,1.0,446.84,0.8363322196826931,1.6749147854872553,1.5800178357232961,1.5987361230227266,0.32446885808245046,0.3229939898569933,0.3233235126746505,2.2643747224325264,0.332,0.332,0.0005992727466561071,0.0,0.0,0.0,0.0,9.27688804888933e-05,0.0,0.0021000000000000003,0.0,0.004,0.006850208768267223,0.02686613471898985,0.0019548302017748796,0.007666734450039072
interference_consistency,cancellation_sweep,kappa_dc_0dB,active_set,shared_spectrum,noise_relative,False,0.0,41.31898297706922,36.09277271191799,29.41978498586868,-43.932916650851155,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,36.088722332868784,-6.672987726049307,all_neighbor,0.0465,0.042544188721841285,0.05080411059549295,0.004129960936825834,0.04578666666666667,0.04578666666666667,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,0.0004102425708748959,1.3095761323175462e-06,1.891830362927694e-08,0.00010787221927220662,0.0,7.405456319950085e-05,0.0,0.0465,0.04,0.055,0.00016260014770387612,6.754278825212e-05,1.4345269380360418e-06,5.95890905303407e-07
interference_consistency,cancellation_sweep,kappa_dc_10dB,active_set,shared_spectrum,noise_relative,False,10.0,41.31898297706922,26.092772711917984,29.41978498586868,-33.94538017280232,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,26.091334950503402,3.3270122739506967,proposed_lagrangian,0.0318,0.028536599305156334,0.035422989979024246,0.003443195336933956,0.04202760891590679,0.02212333333333333,5360.64,4.295651721363415,8.376,0.5264,1.0,446.84,0.5827610837056693,2.373860315402263,0.9143135195391588,1.1300082256761566,0.8965013411969259,0.7731976512845004,0.8148538008438578,0.16422328740674091,0.997,0.997,0.08076115086127753,0.0005267164762968956,0.0,0.11429075460100237,0.0,0.042963041442790506,0.0,0.03180000000000001,0.023,0.038,0.005932127507163324,0.0074028347879904165,0.015065580016803502,0.018800674752012813
interference_consistency,cancellation_sweep,kappa_dc_10dB,active_set,shared_spectrum,noise_relative,False,10.0,41.31898297706922,26.092772711917984,29.41978498586868,-33.94538017280232,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,26.091334950503402,3.3270122739506967,all_neighbor,0.0559,0.05156549661771045,0.060575583265041776,0.004505043323665664,0.04589666666666667,0.04589666666666667,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,0.0618546581118004,0.0012147888784066296,1.8366861884909708e-05,0.07317345604875022,0.0,0.030019858805048257,0.0,0.055900000000000005,0.044,0.066,0.0001954698549816489,8.119659921061308e-05,0.00021629196871293557,8.98459371022067e-05
interference_consistency,cancellation_sweep,kappa_dc_20dB,active_set,shared_spectrum,noise_relative,False,20.0,41.31898297706922,16.092772711917988,29.41978498586868,-24.078971393960423,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,16.117368143885653,13.327012273950693,proposed_lagrangian,0.3578,0.34846093602185063,0.3672482771268261,0.009393670552487743,0.04464479760934529,0.04382333333333333,22108.16,34.07408221967481,34.544,0.9816,1.0,446.84,0.3876121532739463,1.2133044753401927,0.26202450413168904,0.3384916348019908,0.7895611708804381,0.5631841343192162,0.6234965498199695,-4.252558018066517,1.0,1.0,1.9329091340525006,0.6471641021105208,0.01058898228394359,5.1267002130033745,0.0,1.6269127595700772,0.204,0.3578,0.329,0.377,0.01618406959240389,0.010500649663673164,0.08742967004275799,0.05672666754723079
interference_consistency,cancellation_sweep,kappa_dc_20dB,active_set,shared_spectrum,noise_relative,False,20.0,41.31898297706922,16.092772711917988,29.41978498586868,-24.078971393960423,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,16.117368143885653,13.327012273950693,all_neighbor,0.3545,0.34518162178308814,0.36393012584794177,0.00937425203242681,0.046783333333333336,0.046783333333333336,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,2.4148288002798464,0.6029821908269996,0.013570864016391883,6.785088979017693,0.0,1.9229287836237892,0.189,0.35450000000000004,0.322,0.377,0.0012396075776564318,0.0005149229771048719,0.008444118701184451,0.0035076187166112396
interference_consistency,cancellation_sweep,kappa_dc_30dB,active_set,shared_spectrum,noise_relative,False,30.0,41.31898297706922,6.092772711917988,29.41978498586868,-15.212169590561274,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,6.368852912429529,23.327012273950693,proposed_lagrangian,0.8494,0.8422557803511965,0.8562758717293402,0.00701004568907182,0.04373,0.04373,17173.12,21.44550923875061,26.833,1.0,1.0,446.84,0.4187445888832891,1.5767560650139862,0.38053977783338155,0.49735510728938265,0.8290324456144987,0.6187647694120558,0.681548044467757,-2.7739806771808895,1.0,1.0,10.990568338333091,8.229700015888303,1.9007274462489039,21.206878659307034,0.27,10.636423426642239,0.84,0.8493999999999999,0.828,0.866,0.04946101814929379,0.03960735977605935,0.6399866965544463,0.5124881025661944
interference_consistency,cancellation_sweep,kappa_dc_30dB,active_set,shared_spectrum,noise_relative,False,30.0,41.31898297706922,6.092772711917988,29.41978498586868,-15.212169590561274,-5.040361082483583,-13.760880064344605,-41.320291370868084,-30.0,6.368852912429529,23.327012273950693,all_neighbor,0.8659,0.8590804035982427,0.8724385760705278,0.006679086236142551,0.04829,0.04829,285977.6,688.4524788409291,446.84,1.0,1.0,446.84,0.33419486819407984,0.8131130425204697,0.20776623890619686,0.2357970824216266,0.7124086829540937,0.5097339773264296,0.5419435468189231,-6.446777165530684,1.0,1.0,17.85557697117005,13.713344401127486,1.8279113836747742,38.51216158249372,0.265,16.897126712542832,0.828,0.8659000000000001,0.852,0.883,0.0030278595246620715,0.0012577483945701228,0.062436977480649004,0.02593581622544449
