trial,area_m,rcs_m2,kappa_db,sense_sinr_db,residual_over_echo_db,residual_over_n0_db,echo_over_n0_db
0,4000.0,50.0,0.0,-42.52477715439122,42.52388716436074,37.3497009813399,-5.563253608377645
0,4000.0,50.0,10.0,-32.53719052073567,32.525975906872134,27.35157695879203,-5.563253608377645
0,4000.0,50.0,20.0,-22.692912667130727,22.552801466934373,17.37029229854769,-5.563253608377644
0,4000.0,50.0,30.0,-13.732425950691967,12.816291106605535,7.553139306788546,-5.563253608377645
0,4000.0,50.0,40.0,-8.282126555378643,4.645761913793184,-0.9476496697989596,-5.563253608377645
0,4000.0,50.0,45.0,-7.245550150592585,2.0844623086989906,-3.639686958929598,-5.563253608377644
0,4000.0,50.0,50.0,-6.80699303560191,0.6972701376413217,-5.015613434882578,-5.563253608377645
0,4000.0,50.0,55.0,-6.659764170178891,0.06119094096857974,-5.560312595551052,-5.563253608377645
0,4000.0,50.0,60.0,-6.597353338337978,-0.13703335714805345,-5.747819778420723,-5.563253608377645
0,4000.0,50.0,70.0,-6.57243241637791,-0.260131754243598,-5.828316214490287,-5.563253608377644
0,4000.0,50.0,80.0,-6.5699075227666786,-0.27274261784564446,-5.836448530446475,-5.563253608377645
1,4000.0,50.0,0.0,-39.274090921685946,39.27319142936794,36.531123372774545,-0.609259328255856
1,4000.0,50.0,10.0,-29.284377174322373,29.275321640010038,26.53338836086585,-0.609259328255856
1,4000.0,50.0,20.0,-19.418235148561266,19.309379569345918,16.555973508391588,-0.609259328255856
1,4000.0,50.0,30.0,-10.571022774180435,9.599619834285907,6.775591043940028,-0.609259328255856
1,4000.0,50.0,40.0,-4.985853053144276,1.5136292332324457,-1.4834767500254595,-0.6092593282558566
1,4000.0,50.0,45.0,-3.5773117153001204,-1.1385888980618795,-3.9465651439240466,-0.609259328255856
1,4000.0,50.0,50.0,-2.5101064101534303,-2.7990635997713342,-5.146175451563871,-0.609259328255856
1,4000.0,50.0,55.0,-1.918223976670324,-3.9484958851790273,-5.6066669648318275,-0.6092593282558566
1,4000.0,50.0,60.0,-1.6744419655102902,-4.697291317008013,-5.763070417611653,-0.609259328255856
1,4000.0,50.0,70.0,-1.619737078659417,-5.215490194727899,-5.829867361415213,-0.609259328255856
1,4000.0,50.0,80.0,-1.6178853077483022,-5.22505186171977,-5.8366039108989405,-0.6092593282558566
2,4000.0,50.0,0.0,-40.37639813811723,40.37523666669932,35.675744079637404,-5.419318797175623
2,4000.0,50.0,10.0,-30.400079220834545,30.377630814560398,25.67850198401429,-5.419318797175623
2,4000.0,50.0,20.0,-20.562654964968683,20.418809540079543,15.70598512933304,-5.419318797175622
2,4000.0,50.0,30.0,-12.014481151782658,10.786373005344434,5.971654697498268,-5.419318797175623
2,4000.0,50.0,40.0,-7.458370991751813,3.187864321217507,-2.005118805523693,-5.419318797175623
2,4000.0,50.0,45.0,-6.774802870775606,1.0532948072173185,-4.229664207117442,-5.419318797175623
2,4000.0,50.0,50.0,-6.543467378288135,0.08959054422988354,-5.261945723677506,-5.419318797175622
2,4000.0,50.0,55.0,-6.469638771982675,-0.24594756053075723,-5.647020974023852,-5.419318797175623
2,4000.0,50.0,60.0,-6.4319472387190455,-0.35155411735832764,-5.776258149691661,-5.419318797175623
2,4000.0,50.0,70.0,-6.426270068116873,-0.41506314154325374,-5.831204749525276,-5.419318797175623
2,4000.0,50.0,80.0,-6.425749879343609,-0.417754809789366,-5.836737838762657,-5.419318797175623
3,4000.0,50.0,0.0,-38.7575713478375,38.754825764597626,34.45796397216961,-4.602422333297891
3,4000.0,50.0,10.0,-28.78434181853137,28.761266950040458,24.461614138008095,-4.602422333297891
3,4000.0,50.0,20.0,-19.011921858724243,18.81599428981932,14.497948048223982,-4.602422333297891
3,4000.0,50.0,30.0,-10.651543156274652,9.227161141046654,4.845487308125283,-4.602422333297891
3,4000.0,50.0,40.0,-6.4389232390463285,1.9920753652217196,-2.6770946764076333,-4.602422333297891
3,4000.0,50.0,45.0,-5.913054641814469,0.008480186563146025,-4.5713401170612435,-4.602422333297891
3,4000.0,50.0,50.0,-5.698224607546692,-0.7774644902509826,-5.3957730800937505,-4.602422333297891
3,4000.0,50.0,55.0,-5.638965756522666,-1.0996671486373226,-5.692799854989361,-4.602422333297891
3,4000.0,50.0,60.0,-5.621024281675667,-1.190191389437263,-5.791119038651357,-4.602422333297891
3,4000.0,50.0,70.0,-5.610032202691633,-1.2289558539990795,-5.832707447666861,-4.602422333297891
3,4000.0,50.0,80.0,-5.608919290010813,-1.2343315886474855,-5.836888276726741,-4.602422333297891
4,4000.0,50.0,0.0,-40.74063211394865,40.736940487486535,35.64591892322362,-5.793260746175825
4,4000.0,50.0,10.0,-30.768864152565484,30.745608858824088,25.648695826607216,-5.793260746175825
4,4000.0,50.0,20.0,-21.015170220903986,20.809419204730446,15.676367639127548,-5.793260746175825
4,4000.0,50.0,30.0,-12.598637144033574,11.30843434692027,5.943800334080253,-5.793260746175825
4,4000.0,50.0,40.0,-8.259478517261675,3.9302914000599887,-2.022579090826819,-5.793260746175825
