experiment,rho_total,rho_tx,rho_rx,rho_target,rho_dd,method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_D_cluster_ci95_low,P_D_cluster_ci95_high,P_D_cluster_ci95_half_width,P_D_weak,P_D_weak_cluster_ci95_low,P_D_weak_cluster_ci95_high,P_FA_active,P_FA_cluster_ci95_low,P_FA_cluster_ci95_high,P_FA_cluster_ci95_half_width,P_FA_overall,B_mean_bits,T_mean_ms,selected_links_mean,selected_observations_mean,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,belief_capture_rate_mean,receiver_capacity_max_utilization_mean,receiver_capacity_binding_rate,fusion_capacity_max_utilization_mean,fusion_capacity_binding_rate,report_capacity_utilization_mean,report_capacity_binding_rate,assignment_capacity_max_utilization_mean,assignment_capacity_binding_rate,cpu_capacity_max_utilization_mean,cpu_capacity_binding_rate,selector_score_evaluations_mean,coordination_messages_mean,detection_runtime_mean_ms,detection_runtime_p90_ms,bid_rounds_mean,bundle_column_count_mean,bundle_pricing_iterations_mean,bundle_lp_worst_deficit_bound_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms,paired_delta_vs_first_rho,paired_delta_vs_first_rho_ci95_low,paired_delta_vs_first_rho_ci95_high
v1.4_correlation_sensitivity,0.0,0.0,0.0,0.0,0.0,rcs_robust_bundle_cg,0.685,0.617649158589664,0.7453778192205573,0.0638643303154467,0.63,0.7350000000000001,0.05250000000000005,0.6,0.35,0.8,0.049238578680203045,0.04253703703703703,0.055907407407407406,0.006685185185185186,0.0485,13216.0,22.026666666666674,20.65,42.35,1.0,1.0,1078.0,0.4336872532806999,1.8437099986695393,0.7045229851447005,0.8507341047279187,0.9924393217225104,0.897453394850108,0.9905204795654111,-0.9414003143386964,1.0,1.0,497.42926833603383,11.193884962723535,0.2785708237166758,290.752868427663,0.0,0.0,0.9852332194703758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550000000000001,0.7,1231.0,0.0,0.0,0.0,0.0,1231.0,2.0,0.8394015439372329,0.0,16.165959690190924,0.35,0.685,0.6,0.8,0.05183111380145279,0.031098668280871662,37.638413161019514,22.583047896611696,0.0,0.0,0.0
v1.4_correlation_sensitivity,0.3,0.09,0.09,0.06,0.06,rcs_robust_bundle_cg,0.66,0.5918836703220929,0.7220856077840445,0.06510096873097582,0.595,0.725,0.065,0.6,0.35,0.8,0.048561759729272416,0.04233333333333335,0.05446435185185185,0.00606550925925925,0.04783333333333333,12832.0,21.38666666666667,20.05,40.55,1.0,1.0,1096.9,0.4336872532806999,1.8072209248013924,0.6931349315346018,0.8616052470572573,0.990656667370331,0.8872542923455974,0.9842115098258007,-1.089245662793949,1.0,1.0,465.3371027073411,8.300142051014703,0.20425091925223554,243.29787540288902,0.0,0.0,0.9845985467640734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9524999999999999,0.75,1152.1,0.0,0.0,0.0,0.0,1152.1,2.0,0.8486300247603265,0.0,13.975172309134441,0.35,0.6599999999999999,0.45,0.85,0.05143391521197008,0.03086034912718204,36.26380164489878,21.758280986939262,-0.024999999999999988,-0.06968356580032056,0.019683565800320595
v1.4_correlation_sensitivity,0.6,0.18,0.18,0.12,0.12,rcs_robust_bundle_cg,0.67,0.602165564130804,0.7314267938569671,0.06463061486308153,0.6199999999999999,0.7150000000000001,0.0475000000000001,0.55,0.3,0.75,0.046464646464646465,0.04133333333333334,0.051870370370370365,0.005268518518518513,0.046,12352.0,20.586666666666673,19.3,39.7,1.0,1.0,1099.7,0.4336872532806999,1.6760900319443934,0.7202031331379244,0.8037985611544775,0.9924148507851157,0.9187474288717832,0.9904829604318495,-1.4838807732424448,1.0,1.0,281.59996614151834,7.4118733799551455,0.21299253524782508,247.65685347586137,0.0,0.0,0.9872340325350185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9574999999999999,0.8,1130.85,0.0,0.0,0.0,0.0,1130.85,2.05,0.8529886989166426,0.0,12.506226019882808,0.3,0.6699999999999999,0.55,0.85,0.05424222797927461,0.03254533678756476,22.797924720006343,13.6787548320038,-0.01499999999999999,-0.05830481922859224,0.028304819228592258
