trial,arm,p_d,p_fa,n_selected,kappa_db_median,rinr_db_median
0,measured,0.6666666666666666,0.05555555555555555,9,34.72062442712779,8.074517045995051
0,structural_delta0,1.0,0.044444444444444446,3,66.12974217403357,-5.765163974253557
0,structural_delta,1.0,0.05555555555555555,4,46.58116241494928,-1.5783678529892868
1,measured,0.3333333333333333,0.03333333333333333,13,39.62166741176911,6.259868310680895
1,structural_delta0,0.6666666666666666,0.03333333333333333,13,75.89517591582121,-5.8184003575282475
1,structural_delta,0.3333333333333333,0.03333333333333333,13,48.18023759763378,-0.3339508601792276
2,measured,0.3333333333333333,0.044444444444444446,18,37.24942989408326,5.226004037561122
2,structural_delta0,0.3333333333333333,0.08888888888888889,9,67.2302392383231,-5.78256895749501
2,structural_delta,0.6666666666666666,0.07777777777777778,13,43.87437744161089,-0.10064772423233137
3,measured,0.3333333333333333,0.011111111111111112,13,34.56350999948488,8.161237238465606
3,structural_delta0,1.0,0.022222222222222223,4,66.23202638592768,-5.753414627181618
3,structural_delta,1.0,0.022222222222222223,4,49.77511145572215,-3.306677742095806
4,measured,0.6666666666666666,0.03333333333333333,13,35.267806151578185,7.018332400476774
4,structural_delta0,1.0,0.044444444444444446,8,66.40281624446413,-5.766215850596767
4,structural_delta,1.0,0.05555555555555555,8,49.189585830509195,-3.6802729821564153
5,measured,0.3333333333333333,0.044444444444444446,16,38.056966887719284,7.772661292704326
5,structural_delta0,1.0,0.044444444444444446,13,76.11364636213497,-5.812366724237922
5,structural_delta,0.3333333333333333,0.07777777777777778,13,47.337628978323416,0.8079516241059311
6,measured,0.6666666666666666,0.03333333333333333,8,38.91918235917501,6.890125168522264
6,structural_delta0,1.0,0.05555555555555555,8,70.09059581574098,-5.798643611917122
6,structural_delta,0.6666666666666666,0.0,8,46.53919655275448,-1.31062556256527
7,measured,0.6666666666666666,0.07777777777777778,13,35.92005186877079,7.969167571955196
7,structural_delta0,1.0,0.044444444444444446,8,66.34535421068847,-5.769812454431843
7,structural_delta,0.6666666666666666,0.06666666666666667,8,46.30898348876055,-2.8632294364182753
8,measured,0.6666666666666666,0.044444444444444446,13,34.331843211115455,8.546779556103814
8,structural_delta0,1.0,0.03333333333333333,3,70.70688410544328,-5.803686158106368
8,structural_delta,1.0,0.011111111111111112,3,45.69392604763498,-1.6822191186697302
9,measured,0.6666666666666666,0.06666666666666667,10,34.34953940833386,8.561843509773553
9,structural_delta0,1.0,0.06666666666666667,8,67.65000361570151,-5.791319902082517
9,structural_delta,0.6666666666666666,0.022222222222222223,8,47.4833286183403,-2.7393657634635913
10,measured,0.3333333333333333,0.03333333333333333,15,42.301292720433985,6.891931921413212
10,structural_delta0,1.0,0.022222222222222223,7,74.24841017811337,-5.784972002087682
10,structural_delta,1.0,0.011111111111111112,10,50.3026918278222,-0.9225820116693112
11,measured,0.0,0.044444444444444446,11,37.0927663315276,6.50553230744733
11,structural_delta0,0.6666666666666666,0.044444444444444446,13,68.12802860586567,-5.718332493870708
11,structural_delta,0.3333333333333333,0.05555555555555555,13,49.622275652096604,-2.3258041351409977
12,measured,1.0,0.03333333333333333,3,38.242378809396584,6.942296699564368
12,structural_delta0,1.0,0.07777777777777778,3,66.10331426036834,-5.7504069264451
12,structural_delta,1.0,0.07777777777777778,3,45.762413327354636,-0.6114494830407167
13,measured,0.0,0.03333333333333333,15,38.523214678312485,6.448995799513494
13,structural_delta0,0.6666666666666666,0.05555555555555555,5,72.24700884366732,-5.81139359239519
13,structural_delta,0.6666666666666666,0.044444444444444446,9,47.42300981978374,-1.2899315289184203
14,measured,0.6666666666666666,0.03333333333333333,14,37.660511722558034,7.14358911322269
14,structural_delta0,0.6666666666666666,0.03333333333333333,10,68.22505574058249,-5.792713017375254
14,structural_delta,0.6666666666666666,0.03333333333333333,10,46.128318138636345,-1.1442674334083305
15,measured,0.6666666666666666,0.011111111111111112,10,32.412780371356185,7.795367425736634
15,structural_delta0,0.6666666666666666,0.03333333333333333,13,65.11641292195294,-5.78189587344729
15,structural_delta,0.3333333333333333,0.06666666666666667,13,46.383585462854214,-2.674099927583253
16,measured,0.3333333333333333,0.044444444444444446,13,35.43369236643265,8.234789700105493
16,structural_delta0,0.6666666666666666,0.07777777777777778,8,64.87468831522787,-5.737906742054957
16,structural_delta,0.6666666666666666,0.07777777777777778,8,48.644895680774454,-3.0557737792650315
17,measured,0.6666666666666666,0.022222222222222223,13,35.80377424004314,6.804834011652632
17,structural_delta0,1.0,0.011111111111111112,8,65.44396068003678,-5.764656875018748
17,structural_delta,0.6666666666666666,0.022222222222222223,8,44.78106382082804,-0.6622404416228072
18,measured,0.6666666666666666,0.06666666666666667,15,40.207231961266814,6.967085406195439
18,structural_delta0,1.0,0.03333333333333333,3,76.5438418701332,-5.822489329221481
18,structural_delta,1.0,0.03333333333333333,4,48.396607729370515,-2.051476712952837
19,measured,0.6666666666666666,0.1,14,38.00990360261969,5.938716424434549
19,structural_delta0,1.0,0.05555555555555555,8,67.17708400430759,-5.77176338571697
19,structural_delta,0.6666666666666666,0.08888888888888889,10,45.28802883429142,-0.04488728111455964
