method,P_D,P_D_ci95_low,P_D_ci95_high,P_D_ci95_half_width,P_FA,P_FA_ci95_low,P_FA_ci95_high,P_FA_ci95_half_width,P_FA_overall,P_FA_overall_ci95_low,P_FA_overall_ci95_high,P_FA_overall_ci95_half_width,B_mean_bits,B_std_bits,T_mean_ms,T_std_ms,selected_links_mean,selected_links_std,active_target_ratio_mean,feasible_target_ratio_mean,feasible_links_mean,comm_feasible_edge_ratio_mean,selected_rate_mean_mbps,selected_rate_min_mbps_mean,selected_rate_p10_mbps_mean,selected_chi_mean,selected_chi_min_mean,selected_chi_p10_mean,selected_gamma_comm_mean_db,selected_rate_satisfaction_ratio_mean,selected_chi_ge_min_ratio_mean,D_mean,D_median,D_p10,D_p90,fine_eval_full_mean,fine_eval_c2f_mean,local_swaps_mean,belief_capture_rate_mean,all_targets_satisfied_prob,worst_target_D_mean,worst_target_satisfied_prob,actual_mean_target_P_D,actual_worst_target_P_D,actual_best_target_P_D,paired_proposed_delta_P_D,paired_proposed_delta_ci95_low,paired_proposed_delta_ci95_high,P_D_per_kbit,P_D_per_ms,D_per_kbit,D_per_ms
proposed_c2f,0.92,0.8500173312059693,0.9589070305141891,0.054444849654109895,0.050505050505050504,0.04319366169505064,0.05897775187317706,0.007892045089063209,0.05,0.04276021368549695,0.05839079241282729,0.00781528936366517,9344.0,2641.8902323904376,15.573333333333336,4.403150387317398,14.6,4.127953488110059,1.0,1.0,676.0,0.5433774018269528,2.6019208611608304,2.0453356167845738,2.1231515716197937,0.9898553893149685,0.9449840310795377,0.9717398092829349,0.05254941011473395,1.0,1.0,821.7827769557605,196.54126356058507,7.289513844179708,2403.599656055022,676.0,230.9,0.0,0.99,0.7,261.3558513366392,0.9,0.9200000000000002,0.8,1.0,0.0,0.0,0.0,0.09845890410958905,0.05907534246575342,87.94764308173806,52.76858584904283
proposed_c2f_swap,0.92,0.8500173312059693,0.9589070305141891,0.054444849654109895,0.050505050505050504,0.04319366169505064,0.05897775187317706,0.007892045089063209,0.05,0.04276021368549695,0.05839079241282729,0.00781528936366517,9344.0,2641.8902323904376,15.573333333333336,4.403150387317398,14.6,4.127953488110059,1.0,1.0,676.0,0.5433774018269528,2.6019208611608304,2.0453356167845738,2.1231515716197937,0.9898553893149685,0.9449840310795377,0.9717398092829349,0.05254941011473395,1.0,1.0,821.7827769557605,196.54126356058507,7.289513844179708,2403.599656055022,676.0,230.9,0.0,0.99,0.7,261.3558513366392,0.9,0.9200000000000002,0.8,1.0,0.0,0.0,0.0,0.09845890410958905,0.05907534246575342,87.94764308173806,52.76858584904283
