rcs_m2,trial,method,pd,pfa,reports,observations,seconds,objective,rho_vector,table_builds,fine_entry_updates,unique_refined_entries,full_entries,coarse_power_checks,fine_power_checks
0.1,21,cached_serial,0.6,0.04,7,29,13.986607600003481,4.854410077731671,"[0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95]",94,197938,2100,2100,0,0
0.1,19,integrated_c2f,0.7,0.043333333333333335,8,50,44.72520460002124,-0.7698354861362906,"[0.2, 0.95, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2, 0.95]",94,7899,491,2100,90,60
0.1,19,cached_serial,0.7,0.05333333333333334,8,50,24.653201499953866,-0.6374815780197265,"[0.2, 0.95, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2]",94,198372,2100,2100,0,0
0.1,22,cached_serial,0.8,0.05333333333333334,8,42,19.798072200035676,-0.09916988113445638,"[0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2]",94,198300,2100,2100,0,0
0.1,22,integrated_c2f,0.9,0.07666666666666666,8,39,32.791328500024974,-0.11499727442533628,"[0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2, 0.95, 0.95]",94,7010,487,2100,90,60
0.1,20,cached_serial,0.8,0.05333333333333334,8,42,23.001919899950735,0.444696802543792,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2]",94,198418,2100,2100,0,0
0.1,20,integrated_c2f,0.7,0.04666666666666667,8,42,35.64033770002425,0.2915346239077053,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2]",94,7938,511,2100,90,60
0.1,23,integrated_c2f,0.8,0.04,8,29,25.563063600100577,0.2227217726500855,"[0.95, 0.95, 0.8, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2]",94,6155,422,2100,90,59
0.1,23,cached_serial,0.7,0.03666666666666667,8,26,15.336887200013734,0.28258392041993957,"[0.95, 0.95, 0.8, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198113,2100,2100,0,0
0.1,24,cached_serial,0.5,0.05333333333333334,8,32,13.88780060003046,-0.4344762566926163,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2]",94,197991,2100,2100,0,0
0.1,24,integrated_c2f,0.4,0.04,8,30,23.6490199000109,-0.4753610669502241,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2]",94,6134,481,2100,90,59
0.1,25,integrated_c2f,0.7,0.06333333333333334,7,29,28.750934400013648,0.8838818454156563,"[0.2, 0.8, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2]",94,5770,399,2100,90,60
0.1,25,cached_serial,0.6,0.08,8,29,18.082558699999936,0.778839314981855,"[0.2, 0.8, 0.95, 0.8, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198065,2100,2100,0,0
0.1,27,integrated_c2f,0.3,0.05,6,35,26.794106899993494,0.34116127105449345,"[0.5, 0.2, 0.2, 0.95, 0.95, 0.2, 0.5, 0.2, 0.5, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2]",94,6408,430,2100,90,59
0.1,27,cached_serial,0.3,0.06333333333333334,7,37,17.612561400048435,0.382683057365598,"[0.95, 0.2, 0.2, 0.8, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198131,2100,2100,0,0
0.1,28,cached_serial,0.8,0.043333333333333335,8,38,18.26403829990886,2.4547438078989763,"[0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.95, 0.2]",91,198183,2100,2100,0,0
0.1,28,integrated_c2f,0.8,0.06333333333333334,8,38,33.01847810007166,2.202007376940544,"[0.5, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.95, 0.2]",94,6809,446,2100,90,60
0.1,29,integrated_c2f,0.7,0.04,8,36,32.30709100002423,1.657873170879457,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.8, 0.2, 0.2, 0.2]",94,6811,485,2100,90,60
0.1,29,cached_serial,0.4,0.04,8,36,17.686089200084098,1.657873170879457,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.8, 0.2, 0.2, 0.2]",93,198138,2100,2100,0,0
0.1,26,cached_serial,0.5,0.03333333333333333,8,51,23.00767950003501,-1.5851694224732635,"[0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198429,2100,2100,0,0
0.1,26,integrated_c2f,0.5,0.03666666666666667,8,49,41.236581000033766,-1.5459529078682879,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,8241,520,2100,90,59
0.2,0,cached_serial,0.7,0.04666666666666667,4,23,15.146393300034106,3.7283952957858144,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2]",94,198059,2100,2100,0,0
0.2,0,integrated_c2f,0.7,0.03333333333333333,7,29,23.28752330003772,4.225867395065839,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2]",94,5722,451,2100,90,58
0.2,2,cached_serial,0.9,0.06,5,17,9.813919999985956,7.040414930551102,"[0.5, 0.2, 0.95, 0.2, 0.5, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.8, 0.95, 0.2, 0.95]",91,197863,2100,2100,0,0
0.2,2,integrated_c2f,0.9,0.07666666666666666,3,17,16.77599990007002,6.973601324834844,"[0.5, 0.2, 0.95, 0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.8, 0.8]",85,4815,386,2100,90,60
0.2,1,integrated_c2f,0.8,0.03666666666666667,6,38,32.67376219993457,2.604443370060716,"[0.95, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5, 0.2, 0.2]",94,6568,491,2100,90,60
0.2,1,cached_serial,0.8,0.03333333333333333,6,35,19.80452649993822,2.5648918110918153,"[0.95, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198142,2100,2100,0,0
0.2,4,cached_serial,0.8,0.04,8,28,13.28366570000071,3.332211234408407,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.5, 0.8, 0.2, 0.2]",94,198048,2100,2100,0,0
0.2,4,integrated_c2f,0.8,0.04666666666666667,8,30,23.925505799939856,3.2207007095418336,"[0.8, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.8, 0.2, 0.5]",94,5972,407,2100,90,60
0.2,6,cached_serial,0.7,0.03666666666666667,8,36,16.049238799954765,1.0507769843430186,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2]",94,198153,2100,2100,0,0
0.2,6,integrated_c2f,0.6,0.043333333333333335,8,35,27.23177300009411,1.0873321475174242,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.95, 0.2]",94,6580,490,2100,90,60
0.2,3,integrated_c2f,0.9,0.043333333333333335,4,30,31.325494699995033,7.176081573672619,"[0.8, 0.2, 0.8, 0.2, 0.8, 0.5, 0.5, 0.8, 0.5, 0.5, 0.2, 0.2, 0.5, 0.5, 0.5]",82,6333,393,2100,90,60
0.2,3,cached_serial,1.0,0.06333333333333334,3,30,16.587661999976262,7.179077737377973,"[0.8, 0.2, 0.8, 0.2, 0.8, 0.8, 0.2, 0.95, 0.5, 0.5, 0.8, 0.2, 0.2, 0.5, 0.2]",91,198182,2100,2100,0,0
0.2,5,integrated_c2f,0.9,0.02666666666666667,8,45,35.72831420006696,4.034866033410443,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.5, 0.2, 0.2, 0.8, 0.2, 0.5, 0.2]",94,7572,507,2100,90,59
0.2,5,cached_serial,0.9,0.056666666666666664,8,38,20.803979599964805,4.104483239469194,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2]",94,198366,2100,2100,0,0
0.2,7,integrated_c2f,0.8,0.043333333333333335,6,40,30.102958900039084,1.7485940552550319,"[0.5, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2]",94,6763,493,2100,90,57
0.2,7,cached_serial,0.7,0.02666666666666667,6,40,18.503809400019236,1.7358759230879224,"[0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2]",94,198124,2100,2100,0,0
0.2,11,integrated_c2f,0.9,0.04666666666666667,1,20,15.553963500075042,2.386019926205568,"[0.5, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2]",94,5091,382,2100,90,60
0.2,11,cached_serial,1.0,0.043333333333333335,1,19,10.030408499995247,2.386019926205568,"[0.5, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2]",94,197890,2100,2100,0,0
0.2,9,integrated_c2f,0.7,0.043333333333333335,8,35,27.36720159999095,1.0849230910383698,"[0.95, 0.5, 0.2, 0.2, 0.95, 0.5, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2]",94,6750,493,2100,90,58
0.2,9,cached_serial,0.9,0.05,8,35,14.914667600067332,1.1539924843910028,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198186,2100,2100,0,0
0.2,10,cached_serial,0.5,0.06,8,41,19.195255600032397,-1.2154752591491549,"[0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198299,2100,2100,0,0
0.2,10,integrated_c2f,0.5,0.04,8,41,30.859019199968316,-1.2305891808300797,"[0.95, 0.95, 0.95, 0.2, 0.95, 0.5, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,7217,498,2100,90,60
0.2,12,cached_serial,0.8,0.04,8,30,14.445849999901839,3.9642741221836872,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5, 0.95, 0.8, 0.95]",94,198074,2100,2100,0,0
0.2,12,integrated_c2f,0.6,0.04,8,32,26.16081120003946,3.9295793320685,"[0.5, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2, 0.95]",94,6122,426,2100,90,60
0.2,13,integrated_c2f,0.8,0.01,6,21,21.898602500092238,4.412363736134003,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,5313,411,2100,90,58
0.2,13,cached_serial,1.0,0.01,6,21,11.772903900011443,4.5329967811502385,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,197918,2100,2100,0,0
0.2,8,cached_serial,0.7,0.06666666666666667,8,51,28.019965000101365,0.5915343543566944,"[0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.95, 0.5, 0.2, 0.2, 0.2, 0.2]",94,198413,2100,2100,0,0
0.2,8,integrated_c2f,0.8,0.04666666666666667,8,51,46.31606510002166,0.7931407817312344,"[0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95]",94,7960,510,2100,90,60
0.2,14,cached_serial,0.8,0.05333333333333334,8,32,14.506935100071132,5.908244563345416,"[0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198091,2100,2100,0,0
0.2,14,integrated_c2f,0.9,0.056666666666666664,8,30,25.920681199990213,5.44014252177689,"[0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.5, 0.5]",94,5944,444,2100,90,58
0.2,15,integrated_c2f,0.8,0.05,8,28,23.346350400010124,4.007995332086615,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.5, 0.2, 0.2, 0.2]",94,5706,435,2100,90,60
0.2,15,cached_serial,0.8,0.05333333333333334,8,28,13.891650300007313,4.1414396453347875,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198023,2100,2100,0,0
0.2,17,integrated_c2f,0.8,0.04666666666666667,8,25,18.739443499944173,5.252741824170515,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,5411,407,2100,90,60
0.2,17,cached_serial,0.9,0.04666666666666667,8,25,10.367305199964903,5.252741824170515,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,197851,2100,2100,0,0
0.2,16,cached_serial,0.7,0.05,5,34,18.469130799989216,1.7457855289448454,"[0.2, 0.95, 0.5, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198154,2100,2100,0,0
0.2,16,integrated_c2f,0.6,0.02666666666666667,5,31,28.692087900009938,1.3874128136345416,"[0.2, 0.95, 0.5, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",94,6311,470,2100,90,60
0.2,21,integrated_c2f,0.7,0.05,2,24,17.16663630004041,7.0825638526475885,"[0.5, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.95]",94,5153,372,2100,90,59
0.2,21,cached_serial,0.7,0.05,3,25,10.501005899976008,7.097133663183297,"[0.5, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2, 0.8, 0.95]",94,197838,2100,2100,0,0
0.2,18,cached_serial,0.8,0.05,8,38,18.187009699991904,2.9645280380123196,"[0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198259,2100,2100,0,0
0.2,18,integrated_c2f,0.8,0.05333333333333334,8,37,33.11535580002237,2.740461887044212,"[0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,6880,491,2100,90,58
0.2,20,cached_serial,0.6,0.05,8,41,18.8059607000323,4.438224319921918,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2]",94,198330,2100,2100,0,0
0.2,20,integrated_c2f,0.8,0.043333333333333335,8,40,33.55280900001526,4.438224319921918,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2]",94,7403,495,2100,90,60
0.2,19,integrated_c2f,1.0,0.07,8,45,40.13554649997968,2.603258360433227,"[0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.5, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2]",94,7931,501,2100,90,60
0.2,19,cached_serial,1.0,0.06,8,44,23.978899399982765,2.725840565078768,"[0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2]",91,198339,2100,2100,0,0
0.2,22,cached_serial,0.9,0.06,8,31,15.673982799984515,1.8231315470588354,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,198199,2100,2100,0,0
0.2,22,integrated_c2f,1.0,0.04,8,32,26.646184099954553,1.7611119346663453,"[0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,6101,466,2100,90,60
0.2,23,integrated_c2f,0.8,0.03666666666666667,8,25,22.113433300051838,2.4000738502102714,"[0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,5470,423,2100,90,59
0.2,23,cached_serial,0.8,0.04,8,25,12.403980399947613,2.605974266384863,"[0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,197965,2100,2100,0,0
0.2,24,cached_serial,0.4,0.05333333333333334,6,28,12.250393600086682,0.829145155186774,"[0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2]",94,197933,2100,2100,0,0
0.2,24,integrated_c2f,0.5,0.04,8,26,19.63998229999561,1.0080085625261066,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95]",94,5753,434,2100,90,59
0.2,25,integrated_c2f,0.8,0.06333333333333334,5,21,19.9485885000322,3.167781819638111,"[0.2, 0.8, 0.95, 0.5, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2]",94,5108,401,2100,90,60
0.2,25,cached_serial,0.7,0.07333333333333333,5,21,10.683756400016136,2.905181145874656,"[0.2, 0.8, 0.95, 0.5, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2]",94,197916,2100,2100,0,0
0.2,27,integrated_c2f,0.7,0.07666666666666666,3,27,26.688538299989887,1.0314180095341747,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.5, 0.95, 0.5, 0.2, 0.2]",94,5840,393,2100,90,59
0.2,27,cached_serial,0.6,0.05333333333333334,5,27,16.503485799999908,1.113332976705049,"[0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.5, 0.2, 0.2, 0.2, 0.2]",94,198029,2100,2100,0,0
0.2,28,cached_serial,1.0,0.04,8,31,15.281946599949151,6.5237429256543615,"[0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.95, 0.2]",94,198087,2100,2100,0,0
0.2,28,integrated_c2f,0.9,0.056666666666666664,8,32,27.335560300038196,6.5237429256543615,"[0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.8, 0.2, 0.8, 0.95, 0.2]",94,6223,429,2100,90,60
0.2,29,integrated_c2f,0.8,0.05333333333333334,8,35,24.899081300012767,5.6718869330993975,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.2]",94,6664,521,2100,90,60
0.2,29,cached_serial,0.8,0.06666666666666667,5,36,14.772224699961953,4.87805438877348,"[0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2]",94,198092,2100,2100,0,0
0.2,26,cached_serial,0.5,0.05,8,41,19.10676900006365,-0.19209282433819333,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,198340,2100,2100,0,0
0.2,26,integrated_c2f,0.7,0.04,8,40,33.16528880002443,-0.3569071550565897,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.8, 0.2, 0.2, 0.2, 0.2]",94,7508,532,2100,90,60
