rcs_m2,trial,method,pd,pfa,reports,observations,seconds,objective,rho_vector,table_builds,fine_entry_updates,unique_refined_entries,full_entries,coarse_power_checks,fine_power_checks
0.05,11,integrated_c2f,0.9,0.03333333333333333,1,39,37.80875779991038,0.35517077901616734,"[0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95]",94,6896,444,2100,90,60
0.05,11,cached_serial,0.8,0.03333333333333333,4,35,23.519511200021952,0.33452093675704303,"[0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2]",94,198203,2100,2100,0,0
0.05,13,integrated_c2f,0.6,0.023333333333333334,8,33,30.394987700041384,0.07684188712557125,"[0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,6656,470,2100,90,60
0.05,13,cached_serial,0.5,0.013333333333333334,8,37,19.040772500098683,0.12187523761587979,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.5, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198284,2100,2100,0,0
0.05,12,cached_serial,0.4,0.06666666666666667,8,46,19.925073500024155,-1.0922392745122471,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.8, 0.2]",94,198265,2100,2100,0,0
0.05,12,integrated_c2f,0.4,0.06,8,46,35.98548040003516,-1.1301839933914741,"[0.95, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.5, 0.95, 0.2, 0.95, 0.2, 0.8, 0.2]",94,7554,464,2100,90,59
0.05,14,cached_serial,0.7,0.05333333333333334,8,45,21.220290699973702,-0.542797230255988,"[0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]",91,198294,2100,2100,0,0
0.05,14,integrated_c2f,0.7,0.056666666666666664,8,45,36.89263979997486,-0.4618451841596483,"[0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2]",91,7483,485,2100,90,59
0.05,15,integrated_c2f,0.4,0.05,8,44,35.15420799993444,-0.652978343191868,"[0.95, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]",91,7360,453,2100,90,60
0.05,15,cached_serial,0.3,0.043333333333333335,8,45,20.578414699994028,-0.6378605375661432,"[0.95, 0.2, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8, 0.2, 0.2]",91,198291,2100,2100,0,0
0.05,16,cached_serial,0.7,0.07333333333333333,8,51,21.206471599987708,-0.8744095945010659,"[0.2, 0.95, 0.8, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.5, 0.2]",91,198277,2100,2100,0,0
0.05,16,integrated_c2f,0.7,0.07333333333333333,8,50,39.0203822000185,-0.8702958123859399,"[0.2, 0.95, 0.8, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.95, 0.2, 0.5, 0.2]",94,7831,451,2100,90,59
0.05,17,integrated_c2f,0.7,0.03333333333333333,8,30,30.452391400001943,-0.42104946256153536,"[0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,6175,421,2100,90,60
0.05,17,cached_serial,0.7,0.03333333333333333,8,30,18.538150200038217,-0.42104946256153536,"[0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198113,2100,2100,0,0
0.05,18,cached_serial,0.7,0.03666666666666667,8,50,20.808641799958423,-2.078131548043969,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.95]",94,198266,2100,2100,0,0
0.05,18,integrated_c2f,0.8,0.03333333333333333,8,50,37.68989150004927,-2.078131548043969,"[0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.95]",94,7747,480,2100,90,58
0.05,21,integrated_c2f,0.6,0.05333333333333334,5,35,30.249491800088435,1.2892490049811427,"[0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95]",94,6330,432,2100,90,59
0.05,21,cached_serial,0.5,0.03666666666666667,7,32,18.559565300005488,1.3844840202892386,"[0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95]",94,198255,2100,2100,0,0
0.05,19,integrated_c2f,0.8,0.07,8,55,43.087773800012656,-2.8204899607477625,"[0.2, 0.8, 0.2, 0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.8, 0.95, 0.2, 0.95]",91,8041,461,2100,90,60
0.05,19,cached_serial,0.8,0.05,8,55,23.423801099997945,-2.8118952516589055,"[0.2, 0.8, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95]",94,198343,2100,2100,0,0
0.05,20,cached_serial,0.6,0.056666666666666664,8,56,25.85954460001085,-1.95615142309394,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2]",91,198497,2100,2100,0,0
0.05,20,integrated_c2f,0.5,0.04,8,52,42.944760300102644,-1.9621677809709677,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.95, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2]",91,8465,489,2100,90,60
0.05,22,cached_serial,0.6,0.05333333333333334,8,50,20.707131100003608,-1.3832282513948335,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.8, 0.8, 0.2, 0.2]",94,198298,2100,2100,0,0
0.05,22,integrated_c2f,0.5,0.06333333333333334,8,50,38.57442949991673,-1.3689064748824016,"[0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.8, 0.8, 0.8, 0.8, 0.2, 0.2]",94,7853,482,2100,90,59
0.05,23,integrated_c2f,0.6,0.04,8,38,35.80300230009016,-0.7233173578038159,"[0.95, 0.95, 0.8, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.5, 0.2, 0.2, 0.2]",94,6778,441,2100,90,59
0.05,23,cached_serial,0.6,0.03666666666666667,8,38,22.135526099940762,-0.6763070017818582,"[0.95, 0.95, 0.8, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198190,2100,2100,0,0
