trial,arm,p_d,p_fa,n_selected,kappa_db_median,rinr_db_median
0,measured,0.6666666666666666,0.05555555555555555,9,34.72062442712779,8.074517045995051
0,structural_delta0,1.0,0.044444444444444446,3,66.48292305348423,-5.775843331359286
0,structural_delta,1.0,0.05555555555555555,5,45.76994293970402,-1.0581506528608358
1,measured,0.3333333333333333,0.03333333333333333,13,39.62166741176911,6.259868310680895
1,structural_delta0,0.6666666666666666,0.03333333333333333,13,76.643828191524,-5.822552526689304
1,structural_delta,0.3333333333333333,0.044444444444444446,13,48.224446586173656,0.7936164159943997
2,measured,0.3333333333333333,0.044444444444444446,18,37.24942989408326,5.226004037561122
2,structural_delta0,0.6666666666666666,0.06666666666666667,9,69.70379534413189,-5.800720171730555
2,structural_delta,0.6666666666666666,0.06666666666666667,13,43.893915352595954,-0.920786842761145
3,measured,0.3333333333333333,0.011111111111111112,13,34.56350999948488,8.161237238465606
3,structural_delta0,1.0,0.022222222222222223,4,66.16573135845712,-5.749332506760711
3,structural_delta,1.0,0.022222222222222223,5,46.783649805305814,-1.368271643409702
4,measured,0.6666666666666666,0.03333333333333333,13,35.267806151578185,7.018332400476774
4,structural_delta0,1.0,0.044444444444444446,8,66.70669667867737,-5.776436711911064
4,structural_delta,1.0,0.011111111111111112,8,46.13539953805622,-1.568090022565591
5,measured,0.3333333333333333,0.044444444444444446,16,38.056966887719284,7.772661292704326
5,structural_delta0,1.0,0.044444444444444446,13,73.4600039084122,-5.803771179077302
5,structural_delta,1.0,0.07777777777777778,16,46.25216087878272,1.9949918299773435
6,measured,0.6666666666666666,0.03333333333333333,8,38.91918235917501,6.890125168522264
6,structural_delta0,1.0,0.05555555555555555,8,70.21286792706562,-5.803764890696099
6,structural_delta,0.6666666666666666,0.011111111111111112,8,47.55471720242217,-1.9182037622453865
7,measured,0.6666666666666666,0.07777777777777778,13,35.92005186877079,7.969167571955196
7,structural_delta0,1.0,0.044444444444444446,8,66.48554622137067,-5.769478248980561
7,structural_delta,0.6666666666666666,0.1,8,45.53325387558586,-0.8693112295815609
8,measured,0.6666666666666666,0.044444444444444446,13,34.331843211115455,8.546779556103814
8,structural_delta0,1.0,0.03333333333333333,3,67.9672968869881,-5.786334601347294
8,structural_delta,1.0,0.011111111111111112,3,46.89433350898362,-1.2155825152390536
9,measured,0.6666666666666666,0.06666666666666667,10,34.34953940833386,8.561843509773553
9,structural_delta0,1.0,0.06666666666666667,8,68.50318928007826,-5.79478055825319
9,structural_delta,0.6666666666666666,0.022222222222222223,8,46.53360705799436,-1.891418503251648
10,measured,0.3333333333333333,0.03333333333333333,15,42.301292720433985,6.891931921413212
10,structural_delta0,1.0,0.022222222222222223,7,74.86468324213573,-5.791760118192706
10,structural_delta,0.6666666666666666,0.022222222222222223,9,46.3092521716081,0.9533824675611071
11,measured,0.0,0.044444444444444446,11,37.0927663315276,6.50553230744733
11,structural_delta0,0.6666666666666666,0.044444444444444446,13,67.80838970907783,-5.715442225100835
11,structural_delta,0.6666666666666666,0.044444444444444446,13,49.86158138192938,-0.760410290219584
12,measured,1.0,0.03333333333333333,3,38.242378809396584,6.942296699564368
12,structural_delta0,1.0,0.07777777777777778,3,64.85908919336211,-5.718815979158428
12,structural_delta,1.0,0.07777777777777778,3,46.26185225425208,-0.23369279827638997
13,measured,0.0,0.03333333333333333,15,38.523214678312485,6.448995799513494
13,structural_delta0,0.6666666666666666,0.05555555555555555,5,73.5484320211876,-5.814058876764025
13,structural_delta,0.6666666666666666,0.022222222222222223,9,46.16049754451256,0.02130247623812359
14,measured,0.6666666666666666,0.03333333333333333,14,37.660511722558034,7.14358911322269
14,structural_delta0,0.6666666666666666,0.03333333333333333,10,68.74997695668148,-5.793108287669396
14,structural_delta,1.0,0.044444444444444446,11,46.648779210741836,-0.6571482788823158
15,measured,0.6666666666666666,0.011111111111111112,10,32.412780371356185,7.795367425736634
15,structural_delta0,0.6666666666666666,0.03333333333333333,13,64.57803296182539,-5.769910009088381
15,structural_delta,0.6666666666666666,0.05555555555555555,13,46.97686257264887,-3.314736229071063
16,measured,0.3333333333333333,0.044444444444444446,13,35.43369236643265,8.234789700105493
16,structural_delta0,0.6666666666666666,0.07777777777777778,8,65.20485140810132,-5.722273315214366
16,structural_delta,0.6666666666666666,0.1,8,44.14784041487259,-0.5035138950921088
17,measured,0.6666666666666666,0.022222222222222223,13,35.80377424004314,6.804834011652632
17,structural_delta0,1.0,0.011111111111111112,8,66.1246333972381,-5.763857401713004
17,structural_delta,0.6666666666666666,0.011111111111111112,8,46.66852516208343,-0.7196523954745468
18,measured,0.6666666666666666,0.06666666666666667,15,40.207231961266814,6.967085406195439
18,structural_delta0,1.0,0.03333333333333333,3,77.32581343154939,-5.822317601456703
18,structural_delta,0.6666666666666666,0.06666666666666667,4,48.789770100125054,-0.9070379238225081
19,measured,0.6666666666666666,0.1,14,38.00990360261969,5.938716424434549
19,structural_delta0,1.0,0.05555555555555555,8,70.87615051676885,-5.805887522485516
19,structural_delta,1.0,0.1111111111111111,11,45.46904787871786,0.13080647562639391
