trial,area_m,rcs_m2,kappa_db,sense_sinr_db,echo_db,echo_over_n0_db,field_db,near_far_db,residual_over_n0_db,direct_over_echo_db,sense_sinr_prod_db
0,600.0,0.1,0.0,-51.11780409180612,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,48.28071287352142,51.23621348352628,-51.117787420330494
0,600.0,0.1,10.0,-41.118404217834396,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,38.28086430377712,41.236364913781976,-41.11823752535177
0,600.0,0.1,20.0,-31.124400443800514,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,28.2823783160002,31.237878926005056,-31.12273574280532
0,600.0,0.1,30.0,-21.199786187957166,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,18.29748947953891,21.252990089543765,-21.180987363123048
0,600.0,0.1,40.0,-11.874968044201282,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,8.445777836114518,11.401278446119372,-11.696882204412784
0,600.0,0.1,50.0,-5.87177513880542,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,-0.29718799843971067,2.658312611565144,-5.108958082130853
0,600.0,0.1,60.0,-4.183531386825921,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,-4.840166754196459,-1.8846661441916046,-3.0136414347538105
0,600.0,0.1,80.0,-3.9651408210138257,-137.11814754817615,-2.9555006100048544,-85.88195089055978,51.23619665761638,-5.826157926565339,-2.870657316560485,-2.7168418806930177
1,600.0,0.1,0.0,-49.341178673494035,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,49.91651851865594,48.964110712772154,-49.34117130215747
1,600.0,0.1,10.0,-39.341444024183915,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,39.9166224231824,38.964214617298616,-39.341370319060246
1,600.0,0.1,20.0,-29.34409566771691,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,29.91766133174518,28.96525352586139,-29.343359439675886
1,600.0,0.1,30.0,-19.399957680381828,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,19.928036771335627,18.975628965451836,-19.37971157992695
1,600.0,0.1,40.0,-9.95057841504805,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,10.03045024597515,9.07804244009136,-9.80297824196157
1,600.0,0.1,50.0,-3.116561723369066,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,0.9402818268959174,-0.012125978987872044,-2.462574932819912
1,600.0,0.1,60.0,-0.5638257119711991,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,-4.450627153126463,-5.403034959010252,0.5204651065456138
1,600.0,0.1,80.0,-0.06616054437215838,-133.2102391322875,0.9524078058837895,-84.24613996461619,48.96409916767131,-5.821046787439461,-6.773454593323251,1.1780829530059926
2,600.0,0.1,0.0,-50.32433201502919,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,48.180054579299735,51.12686057005622,-50.32430885059324
2,600.0,0.1,10.0,-40.325165809132706,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,38.180209560245764,41.12701555100225,-40.32493422417029
2,600.0,0.1,20.0,-30.334043028870532,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,28.181759065598932,31.12856505635542,-30.331257194298992
2,600.0,0.1,30.0,-20.428365053423985,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,18.197223788490696,21.144029779247184,-20.405124468359826
2,600.0,0.1,40.0,-11.248106613024095,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,8.348915713688115,11.2957217044446,-11.014450652163363
2,600.0,0.1,50.0,-5.587929804327337,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,-0.3695027972929884,2.5773031934634982,-4.748955091739831
2,600.0,0.1,60.0,-4.127109208444003,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,-4.860628232504062,-1.9138222417475759,-2.926712131577729
2,600.0,0.1,80.0,-3.954333853776521,-137.1094529289278,-2.9468059907564865,-85.98260957931808,51.12684334960971,-5.826414095381307,-2.8796081046248205,-2.70533127054744
3,600.0,0.1,0.0,-49.726708026429485,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,47.55088662158964,49.341584629187764,-49.72667624669539
3,600.0,0.1,10.0,-39.727851786685584,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,37.551065762136375,39.3417637697345,-39.72753413603129
3,600.0,0.1,20.0,-29.739256320762312,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,27.552856761309354,29.343554768907477,-29.736094408257255
3,600.0,0.1,30.0,-19.84017584496084,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,17.5707262471936,19.361424254791725,-19.818024430773683
3,600.0,0.1,40.0,-10.683784933559547,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,7.745490014957143,9.536188022555269,-10.463807146544399
3,600.0,0.1,50.0,-4.722519164905997,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,-0.8105760095889549,0.98012199800917,-3.9467338116957
3,600.0,0.1,60.0,-3.0352985102487366,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,-4.980225802055321,-3.189527794457196,-1.8625591251349376
3,600.0,0.1,80.0,-2.7988623030967426,-135.95334494576943,-1.790698007598125,-86.611780221543,49.34156472422644,-5.827887793291281,-4.0371897856931565,-1.550071778093289
4,600.0,0.1,0.0,-51.22839379826281,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,49.02650303381606,51.80680909675756,-51.22838362734513
4,600.0,0.1,10.0,-41.22875993530198,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,39.02663057041588,41.80693663335738,-41.228658233691284
4,600.0,0.1,20.0,-31.23373932711941,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,29.027905730465513,31.808211793407015,-31.231649465904617
4,600.0,0.1,30.0,-21.322151302960187,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,19.040636780749868,21.82094284369137,-21.297511953534322
4,600.0,0.1,40.0,-12.20126344293677,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,9.165935843046366,11.946241905987868,-12.015383521021587
4,600.0,0.1,50.0,-6.1617361190343445,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,0.25290344383250357,3.0332095067740052,-5.4095202232662265
4,600.0,0.1,60.0,-4.15190462284244,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,-4.676367502892907,-1.896061439951405,-3.0235210892072857
4,600.0,0.1,80.0,-3.788887328611725,-136.9429530011128,-2.7803060629415017,-85.13615807531976,51.80679492579306,-5.824063707939418,-3.0437576449979162,-2.540235611727608
5,600.0,0.1,0.0,-49.09378264489306,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,48.86540892737046,50.728928458357124,-49.09372048332203
5,600.0,0.1,10.0,-39.09601969443383,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,38.86554128348334,40.72906081447,-39.09539844144543
5,600.0,0.1,20.0,-29.111725782505076,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,28.866864622805792,30.730384153792457,-29.10918676331956
5,600.0,0.1,30.0,-19.2277578593605,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,18.880075885302027,20.74359541628869,-19.202215854949674
5,600.0,0.1,40.0,-10.102923413877143,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,9.010024099114535,10.873543630101198,-9.94921299019582
5,600.0,0.1,50.0,-4.5193799489637785,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,0.13199935634788026,1.9955188873345435,-3.664477038051139
5,600.0,0.1,60.0,-3.049342586928457,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,-4.713623687407229,-2.850104156420566,-1.8800364577713573
5,600.0,0.1,80.0,-2.8725434388560593,-136.02616646915797,-1.8635195309866632,-85.2972527172846,50.728913751873364,-5.824546912115217,-3.9610273811285537,-1.6240391277002413
