direct_gain_boost_db,receiver,target,arm,scene_id,threshold,scene_pfa,scene_pd,scene_conflict_index,scene_direct_inr_db
30.0,1,1,tp_uic_full,20,13.786368633934883,0.0,0.0,0.3556848410216591,23.034660093147586
30.0,1,1,tp_uic_full,21,13.786368633934883,0.0,1.0,0.0006769888228119804,31.602063489479
30.0,1,1,tp_uic_full,22,13.786368633934883,0.0,0.0,0.012854660697023242,30.293204527136524
30.0,1,1,tp_uic_full,23,13.786368633934883,0.0,0.0,0.003997111425712678,25.122953750362328
30.0,1,1,tp_uic_full,24,13.786368633934883,0.0,0.0,0.0006764704043836649,28.540790022122522
30.0,1,1,tp_uic_full,25,13.786368633934883,0.0,0.0,0.1071658348392568,33.84496551945946
30.0,1,1,tp_uic_full,26,13.786368633934883,0.0,0.0,0.03259821994881736,29.663434837834494
30.0,1,1,tp_uic_full,27,13.786368633934883,0.0,0.0,0.0013785260807496333,33.409823311397474
30.0,1,1,tp_uic_full,28,13.786368633934883,0.0,0.0,0.11767333311616256,28.647269082093267
30.0,1,1,tp_uic_full,29,13.786368633934883,0.0,0.0,0.3787304042487862,29.371182303909215
30.0,1,1,tp_uic_full,30,13.786368633934883,0.0,0.0,0.0014203555967504428,31.60589354144628
30.0,1,1,tp_uic_full,31,13.786368633934883,0.0,1.0,0.32395264881837094,28.29331489855474
30.0,1,1,tp_uic_full,32,13.786368633934883,0.0,0.0,0.0011113278691338286,32.3453798816075
30.0,1,1,tp_uic_full,33,13.786368633934883,0.0,0.0,0.14784026077545293,26.874264453959775
30.0,1,1,tp_uic_full,34,13.786368633934883,0.0,0.0,0.007941229353087538,34.00274210398945
30.0,1,1,tp_uic_full,35,13.786368633934883,0.0,0.0,0.014651407505893718,29.756494284541187
30.0,1,1,tp_uic_full,36,13.786368633934883,0.0,0.0,0.0015975793972620499,31.15205400942162
30.0,1,1,tp_uic_full,37,13.786368633934883,0.0,0.0,0.13627230837315116,26.834849045293403
30.0,1,1,tp_uic_full,38,13.786368633934883,0.0,0.0,4.573821542853964e-05,27.38989368575696
30.0,1,1,tp_uic_full,39,13.786368633934883,0.0,0.0,0.00217269586577159,25.116676564654604
30.0,1,1,tp_uic_full,40,13.786368633934883,0.0,0.0,0.02043246992862372,35.42839617674291
30.0,1,1,tp_uic_full,41,13.786368633934883,0.0,0.0,0.53234661230091,24.748687453569715
30.0,1,1,tp_uic_full,42,13.786368633934883,0.0,1.0,0.23744818820842462,31.462664577024732
30.0,1,1,tp_uic_full,43,13.786368633934883,0.0,0.0,0.0845905778744298,28.306006756129104
30.0,1,1,tp_uic_full,44,13.786368633934883,0.0,0.0,0.007804810624276611,25.125760777264702
30.0,1,1,tp_uic_full,45,13.786368633934883,0.0,0.0,0.04564401740067189,29.849267883017134
30.0,1,1,tp_uic_full,46,13.786368633934883,0.0,0.0,0.0008317561269554571,30.10592525380133
30.0,1,1,tp_uic_full,47,13.786368633934883,0.0,0.0,0.00977065753931646,28.801965666832665
30.0,1,1,tp_uic_full,48,13.786368633934883,0.0,0.0,0.14436393025874442,27.48381892818777
30.0,1,1,tp_uic_full,49,13.786368633934883,0.0,0.0,0.023868580922919623,32.40348870537235
30.0,1,1,tp_uic_full,50,13.786368633934883,0.0,0.0,0.06119195119375194,28.54373981990519
30.0,1,1,tp_uic_full,51,13.786368633934883,0.0,0.0,0.07684395147837794,28.295827303261696
30.0,1,1,tp_uic_full,52,13.786368633934883,0.0,0.0,0.008226077928241909,33.87786804400112
30.0,1,1,tp_uic_full,53,13.786368633934883,0.0,0.0,6.597741122134167e-05,27.89826089136978
30.0,1,1,tp_uic_full,54,13.786368633934883,0.0,0.0,0.008283045497713538,27.031103744943785
30.0,1,1,tp_uic_full,55,13.786368633934883,0.0,0.0,0.000605352897389442,28.389122385364146
30.0,1,1,tp_uic_full,56,13.786368633934883,0.0,0.0,0.2736107236826112,31.729814255958352
30.0,1,1,tp_uic_full,57,13.786368633934883,0.0,1.0,0.29032913398649546,29.566993895295223
30.0,1,1,tp_uic_full,58,13.786368633934883,0.0,0.0,0.164361104844711,26.414836302269556
30.0,1,1,tp_uic_full,59,13.786368633934883,0.0,0.0,0.8237534573872123,25.05098526346121
