experiment,method,n_block,k_bits,P_D,P_D_ci95_low,P_D_ci95_high,selected_chi_mean,selected_chi_min_mean,T_mean_ms,D_mean
fbl_sweep,proposed_lagrangian,256,640.0,0.14,0.13333719943534042,0.1469392895486515,0.404,0.404,0.6654666666666668,25.88006502032052
fbl_sweep,proposed_lagrangian,512,640.0,0.5123,0.5025001225127723,0.5220904307802745,0.9179266806088268,0.9177023927044211,3.909333333333333,110.09301431861739
fbl_sweep,proposed_lagrangian,1024,640.0,0.8653,0.8584680386738371,0.8718514018099065,0.9998666668514159,0.9989064879443331,9.2224,244.12928020013567
fbl_sweep,proposed_lagrangian,2048,640.0,0.9598,0.9557701339458039,0.9634767281796418,0.9999193502672468,0.9990381995086813,13.099733333333333,390.30923981945034
fbl_sweep,proposed_lagrangian,4096,640.0,0.9873,0.9849105904325444,0.9893151510066243,0.9999771557037964,0.9996634499940199,22.30826666666667,498.08482136219516
